Site,Transect_ID,Point_ID,Northing,Easting,Distance_AlongTransect_m,Distance_AlongTransect_ft,Elevation_ft,Elevation_m,Date,...11,...12,...13,FID,MSL,MHHW,z_star
SanPablo,S1,S1-0.5a,2234502.491,5993852.632,0,0,5.598,1.706273812547625,3/6/2026,NA,NA,NA,152,3.395,6.25,0.771628722
SanPablo,S1,S1-0.5b,2234502.444,5993852.147,0.148520802,0.4872719982774074,5.652,1.722733045466091,3/6/2026,NA,NA,NA,152,3.395,6.25,0.790542907
SanPablo,S1,S1-0.5c,2234502.43,5993851.731,0.2752540211017836,0.9030625675647684,5.653,1.7230378460756919,3/6/2026,NA,NA,NA,152,3.395,6.25,0.79089317
SanPablo,S1,S1-2a,2234507.511,5993851.495,1.5688549278331831,5.147151542399369,5.549,1.6913385826771654,3/6/2026,NA,NA,NA,152,3.395,6.25,0.754465849
SanPablo,S1,S1-2b,2234507.314,5993850.998,1.5521291325319586,5.092276995648601,5.644,1.7202946405892812,3/6/2026,NA,NA,NA,152,3.395,6.25,0.787740806
SanPablo,S1,S1-2c,2234507.55,5993850.379,1.6879870418766603,5.538004153223676,5.758,1.7550419100838202,3/6/2026,NA,NA,NA,152,3.395,6.25,0.827670753
SanPablo,S1,S1-6a,2234520.533,5993853.097,5.501038742138109,18.04799127316478,5.993,1.8266700533401066,3/6/2026,NA,NA,NA,152,3.395,6.25,0.909982487
SanPablo,S1,S1-6b,2234520.581,5993852.826,5.514160085295454,18.091040213173503,5.989,1.8254508509017016,3/6/2026,NA,NA,NA,152,3.395,6.25,0.908581436
SanPablo,S1,S1-6c,2234520.51,5993852.46,5.4924523929140205,18.01982089241875,6.004,1.8300228600457198,3/6/2026,NA,NA,NA,152,3.395,6.25,0.913835377
SanPablo,S1,S1-12a,2234540.43,5993853.227,11.565252352582934,37.94366542676585,6.159,1.877266954533909,3/6/2026,NA,NA,NA,152,3.395,6.25,0.968126095
SanPablo,S1,S1-12b,2234540.484,5993852.826,11.580440527951605,37.99349529878789,6.2,1.889763779527559,3/6/2026,NA,NA,NA,152,3.395,6.25,0.982486865
SanPablo,S1,S1-12c,2234540.484,5993852.324,11.580670079830014,37.99424842024231,6.185,1.8851917703835406,3/6/2026,NA,NA,NA,152,3.395,6.25,0.977232925
SanPablo,S1,S1-18a,2234559.905,5993854.474,17.50882620134651,57.44354062891767,6.489,1.9778511557023113,3/6/2026,NA,NA,NA,152,3.395,6.25,1.083712785
SanPablo,S1,S1-18b,2234559.894,5993854.081,17.50204277543799,57.42128533908281,6.523,1.9882143764287528,3/6/2026,NA,NA,NA,152,3.395,6.25,1.095621716
SanPablo,S1,S1-18c,2234559.905,5993853.634,17.502487035120943,57.42274288,6.535,1.9918719837439673,3/6/2026,NA,NA,NA,152,3.395,6.25,1.099824869
SanPablo,S1,S1-24a,2234579.207,5993855.209,23.396272395891394,76.75927035218702,6.48,1.9751079502159004,3/6/2026,NA,NA,NA,152,3.395,6.25,1.08056042
SanPablo,S1,S1-24b,2234579.088,5993854.814,23.356283286032912,76.62807274759298,6.512,1.984861569723139,3/6/2026,NA,NA,NA,152,3.395,6.25,1.091768827
SanPablo,S1,S1-24c,2234579.007,5993854.492,23.32901306518314,76.53860369802169,6.48,1.9751079502159004,3/6/2026,NA,NA,NA,152,3.395,6.25,1.08056042
SanPablo,S1,S1-48a,2234657.97,5993858.584,47.424806082484025,155.5928846,6.605,2.013208026416053,3/6/2026,NA,NA,NA,152,3.395,6.25,1.124343257
SanPablo,S1,S1-48b,2234658.124,5993858.194,47.46731687478312,155.7323554466843,6.614,2.0159512319024637,3/6/2026,NA,NA,NA,152,3.395,6.25,1.127495622
SanPablo,S1,S1-48c,2234658.11,5993857.73,47.45821129693243,155.7024815633525,6.609,2.0144272288544576,3/6/2026,NA,NA,NA,152,3.395,6.25,1.125744308
SanPablo,S2,S2-0.5a,2234492.769,5993735.344,0,0,5.667,1.727305054610109,3/6/2026,NA,NA,NA,152,3.395,6.25,0.795796848
SanPablo,S2,S2-0.5b,2234492.811,5993734.913,0.13199133401435284,0.4330415683454227,5.675,1.7297434594869188,3/6/2026,NA,NA,NA,152,3.395,6.25,0.798598949
SanPablo,S2,S2-0.5c,2234492.787,5993734.836,0.15493587921592908,0.5083187970609273,5.649,1.721818643637287,3/6/2026,NA,NA,NA,152,3.395,6.25,0.789492119
SanPablo,S2,S2-2a,2234497.77,5993735.041,1.5271030701250308,5.010170655901872,5.709,1.7401066802133602,3/6/2026,NA,NA,NA,152,3.395,6.25,0.810507881
SanPablo,S2,S2-2b,2234497.619,5993734.437,1.503910701590914,4.93408036,5.748,1.7519939039878079,3/6/2026,NA,NA,NA,152,3.395,6.25,0.824168126
SanPablo,S2,S2-2c,2234497.583,5993734.161,1.5109653648685641,4.957225534572948,5.743,1.750469900939802,3/6/2026,NA,NA,NA,152,3.395,6.25,0.822416813
