ID ,Northing,Easting
CM A0.5,4198100,543650
CM A2,4198100,543648.6
CM A6,4198098,543645.1
CM  A12,4198095,543639.9
CM A24,4198089,543629.5
CM A48,4198077,543608.9
CM B0.5,4198134,543631.3
CM B2,4198134,543630.1
CM B6,4198132,543626.5
CM B12,4198129,543621.2
CM B24,4198123,543610.6
CM B48,4198112,543589.6
CM C0.5,4198193,543453
CM C2,4198192,543453.3
CM C6,4198188,543453.8
CM C12,4198182,543454.5
CM C24,4198170,543455.9
CM C48 ,4198146,543458.8
CM D0.5,4198184,543425
CM D2,4198182,543424.8
CM D6,4198179,543425
CM D12,4198173,543425.1
CM D24,4198161,543425.3
CM D48,4198137,543425.9
SP A0.5,4218696,546134.4
SP A2,4218698,546134
SP A6,4218702,546132.8
SP A12,4218707,546131.2
SP A24,4218719,546127.8
SP A48,4218742,546121.3
SP A72,4218765,546114.7
SP A150,4218840,546094
SP B0.5,4218689,546094.4
SP B2,4218690,546094.4
SP B6,4218694,546094.1
SP B12,4218700,546093.8
SP B24,4218712,546092.5
SP B48,4218736,546090.1
SP B72,4218759,546084.3
SP B150,4218835,546066.6
SP C0.5,4218346,544872.2
SP C2,4218348,544872.2
SP C6,4218352,544871.5
SP C12,4218357,544870.8
SP C24,4218369,544867.7
SP C48,4218392,544861.4
SP C72,4218416,544857.1
SP C150,4218491,544837.9
SP D0.5,4218340,544839.5
SP D2,4218342,544839.2
SP D6,4218346,544838.3
SP D12,4218352,544836.8
SP D24,4218363,544833.9
SP D48,4218386,544827.7
SP D72,4218409,544821.6
SP D150,4218484,544800.2
