Month ,Season,Year ,Date,Site,Transect,Distance,Species,Avg Ht,Max Ht,Cover 
AUGUST,Summer,2022,8/24/2022,Corte Madera,A,0.5,SAPA,44,54,60
AUGUST,Summer,2022,8/24/2022,Corte Madera,A,12,SAPA,28,41,10
AUGUST,Summer,2022,8/24/2022,Corte Madera,A,2,SAPA,26,37,30
AUGUST,Summer,2022,8/24/2022,Corte Madera,A,24,SAPA,30,45,50
AUGUST,Summer,2022,8/24/2022,Corte Madera,A,6,SAPA,31,39,5
AUGUST,Summer,2022,8/24/2022,Corte Madera,B,0.5,SAPA,26,50,55
AUGUST,Summer,2022,8/24/2022,Corte Madera,B,12,SAPA,28,35,45
AUGUST,Summer,2022,8/24/2022,Corte Madera,B,24,SAPA,27,37,15
AUGUST,Summer,2022,8/24/2022,Corte Madera,B,48,SAPA,21,37,50
AUGUST,Summer,2022,8/24/2022,Corte Madera,B,6,SAPA,22,38,30
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,0.5,SAPA,21,33,10
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,12,SAPA,27,38,90
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,2,SAPA,25,45,40
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,24,SAPA,33,42,40
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,48,SAPA,23,31,20
AUGUST,Summer,2022,8/24/2022,Corte Madera,C,6,SAPA,36,47,90
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,0.5,SAPA,30,44,35
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,12,SAPA,23,36,40
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,2,SAPA,19,22,15
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,24,SAPA,19,31,65
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,48,SAPA,21,29,55
AUGUST,Summer,2022,8/24/2022,Corte Madera,D,6,SAPA,23,36,50
AUGUST,Summer,2022,8/25/2022,San Pablo,A,150,SAPA,40,60,80
AUGUST,Summer,2022,8/25/2022,San Pablo,A,24,SAPA,45,60,45
AUGUST,Summer,2022,8/25/2022,San Pablo,A,48,SAPA,50,95,90
AUGUST,Summer,2022,8/25/2022,San Pablo,A,72,SAPA,40,58,85
AUGUST,Summer,2022,8/25/2022,San Pablo,B,150,SAPA,35,54,85
AUGUST,Summer,2022,8/25/2022,San Pablo,B,24,SAPA,28,45,10
AUGUST,Summer,2022,8/25/2022,San Pablo,B,48,SAPA,45,58,85
AUGUST,Summer,2022,8/25/2022,San Pablo,B,72,SAPA,30,55,80
AUGUST,Summer,2022,8/25/2022,San Pablo,C,150,SAPA,34,62,80
AUGUST,Summer,2022,8/25/2022,San Pablo,C,24,SAPA,30,43,70
AUGUST,Summer,2022,8/25/2022,San Pablo,C,48,SAPA,25,36,60
AUGUST,Summer,2022,8/25/2022,San Pablo,C,72,SAPA,45,64,85
AUGUST,Summer,2022,8/25/2022,San Pablo,D,150,SAPA,35,55,80
AUGUST,Summer,2022,8/25/2022,San Pablo,D,24,SAPA,37,50,35
AUGUST,Summer,2022,8/25/2022,San Pablo,D,48,SAPA,45,65,90
AUGUST,Summer,2022,8/25/2022,San Pablo,D,72,SAPA,40,56,80
FEBRUARY,Winter,2023,2/15/2023,San Pablo,A,150,SAPA,31,62,90
FEBRUARY,Winter,2023,2/15/2023,San Pablo,A,24,SAPA,25,60,80
FEBRUARY,Winter,2023,2/15/2023,San Pablo,A,48,SAPA,47,69,100
FEBRUARY,Winter,2023,2/15/2023,San Pablo,A,72,SAPA,39,64,95
FEBRUARY,Winter,2023,2/15/2023,San Pablo,B,150,SAPA,25,63,100
FEBRUARY,Winter,2023,2/15/2023,San Pablo,B,48,SAPA,28,44,40
FEBRUARY,Winter,2023,2/15/2023,San Pablo,B,72,SAPA,39,55,95
FEBRUARY,Winter,2023,2/15/2023,San Pablo,C,150,SAPA,30,52,100
FEBRUARY,Winter,2023,2/15/2023,San Pablo,C,24,SAPA,34,45,10
FEBRUARY,Winter,2023,2/15/2023,San Pablo,C,48,SAPA,24,41,5
FEBRUARY,Winter,2023,2/15/2023,San Pablo,C,72,SAPA,44,64,100
FEBRUARY,Winter,2023,2/15/2023,San Pablo,D,150,SAPA,35,63,95
FEBRUARY,Winter,2023,2/15/2023,San Pablo,D,24,SAPA,28,49,30
FEBRUARY,Winter,2023,2/15/2023,San Pablo,D,48,SAPA,40,51,80
FEBRUARY,Winter,2023,2/15/2023,San Pablo,D,72,SAPA,39,60,95
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,12,SAPA,17.78,25.4,25
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,18,SAPA,15.24,27.94,5
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,2,SAPA,38.1,43.18,25
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,24,SAPA,25.4,33.02,10
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,30,SAPA,22.86,33.02,30
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,48,SAPA,20.32,35.56,40
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,B,6,SAPA,15.24,25.4,19
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,C,12,SAPA,25.4,35.56,80
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,C,2,SAPA,40.64,53.34,35
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,C,24,SAPA,20.32,38.1,60
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,C,48,SAPA,22.86,38.1,20
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,C,6,SAPA,27.94,48.26,85
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,0.5,SAPA,25,42,30
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,12,SAPA,25,40.5,40
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,2,SAPA,15,36,5
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,24,SAPA,20,35.5,65
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,48,SAPA,15,25,40
FEBRUARY,Winter,2023,2/16/2023,Corte Madera,D,6,SAPA,19,30,70
FEBRUARY,Winter,2023,2/17/2023,Corte Madera,A,12,SAPA,21,37,10
FEBRUARY,Winter,2023,2/17/2023,Corte Madera,A,18,SAPA,28,47,25
FEBRUARY,Winter,2023,2/17/2023,Corte Madera,A,24,SAPA,35,48,50
FEBRUARY,Winter,2023,2/17/2023,Corte Madera,A,30,SAPA,25,36,10
FEBRUARY,Winter,2023,2/17/2023,Corte Madera,A,6,SAPA,21,29,10
JULY,Summer,2023,7/19/2023,Corte Madera,A,12,SAPA,31,50,20
JULY,Summer,2023,7/19/2023,Corte Madera,A,18,SAPA,34,51,15
JULY,Summer,2023,7/19/2023,Corte Madera,A,2,SAPA,35,56,40
JULY,Summer,2023,7/19/2023,Corte Madera,A,24,SAPA,40,56,10
JULY,Summer,2023,7/19/2023,Corte Madera,B,12,SAPA,30,50,35
JULY,Summer,2023,7/19/2023,Corte Madera,B,18,SAPA,25,45,30
JULY,Summer,2023,7/19/2023,Corte Madera,B,2,SAPA,31,44,10
JULY,Summer,2023,7/19/2023,Corte Madera,B,24,SAPA,24,37,15
JULY,Summer,2023,7/19/2023,Corte Madera,B,30,SAPA,25,51,60
JULY,Summer,2023,7/19/2023,Corte Madera,B,48,SAPA,23,31,80
JULY,Summer,2023,7/19/2023,Corte Madera,B,6,SAPA,18,38,10
JULY,Summer,2023,7/19/2023,Corte Madera,C,0.5,SAPA,14,32,10
JULY,Summer,2023,7/19/2023,Corte Madera,C,12,SAPA,37,48,60
JULY,Summer,2023,7/19/2023,Corte Madera,C,2,SAPA,22,41,40
JULY,Summer,2023,7/19/2023,Corte Madera,C,24,SAPA,30,37,20
JULY,Summer,2023,7/19/2023,Corte Madera,C,48,SAPA,39,45,25
JULY,Summer,2023,7/19/2023,Corte Madera,C,6,SAPA,34,50,95
JULY,Summer,2023,7/19/2023,Corte Madera,D,0.5,SAPA,35,46,15
JULY,Summer,2023,7/19/2023,Corte Madera,D,12,SAPA,35,52,35
JULY,Summer,2023,7/19/2023,Corte Madera,D,2,SAPA,30,43,5
JULY,Summer,2023,7/19/2023,Corte Madera,D,24,SAPA,25,37,45
JULY,Summer,2023,7/19/2023,Corte Madera,D,48,SAPA,33,45,25
JULY,Summer,2023,7/19/2023,Corte Madera,D,6,SAPA,35,46,25
JULY,Summer,2023,7/19/2023,San Pablo,A,150,SAPA,38,51,85
JULY,Summer,2023,7/19/2023,San Pablo,A,24,SAPA,46,58,40
JULY,Summer,2023,7/19/2023,San Pablo,A,48,SAPA,34,67,50
JULY,Summer,2023,7/19/2023,San Pablo,A,72,SAPA,51,62,80
JULY,Summer,2023,7/19/2023,San Pablo,B,150,SAPA,40,49,90
JULY,Summer,2023,7/19/2023,San Pablo,B,24,SAPA,40,52,10
JULY,Summer,2023,7/19/2023,San Pablo,B,48,SAPA,41,57,60
JULY,Summer,2023,7/19/2023,San Pablo,B,72,SAPA,36,45,90
JULY,Summer,2023,7/19/2023,San Pablo,C,150,SAPA,34,54,90
JULY,Summer,2023,7/19/2023,San Pablo,C,24,SAPA,56,65,35
JULY,Summer,2023,7/19/2023,San Pablo,C,48,SAPA,39,56,70
JULY,Summer,2023,7/19/2023,San Pablo,C,72,SAPA,55,74,90
JULY,Summer,2023,7/19/2023,San Pablo,D,150,SAPA,30,43,80
JULY,Summer,2023,7/19/2023,San Pablo,D,24,SAPA,28,34,40
JULY,Summer,2023,7/19/2023,San Pablo,D,48,SAPA,44,72,85
JULY,Summer,2023,7/19/2023,San Pablo,D,72,SAPA,42,64,70
