Site,Transect,Distance,Date placed in field,Date removed from field,Month ,Season ,Year ,FluxAvgRep
Corte Madera,A,2,7/27/2022,8/24/2022,AUGUST ,Summer,2022,3.776382385
Corte Madera,A,6,7/27/2022,8/24/2022,AUGUST ,Summer,2022,2.427207709
Corte Madera,A,12,7/27/2022,8/24/2022,AUGUST,Summer,2022,8.203259701
Corte Madera,A,24,7/27/2022,8/24/2022,AUGUST ,Summer,2022,17.84410096
Corte Madera,A,48,7/27/2022,8/24/2022,AUGUST ,Summer,2022,6.314660164
Corte Madera,B,0.5,7/27/2022,8/24/2022,AUGUST ,Summer,2022,0.153742211
Corte Madera,B,2,7/27/2022,8/24/2022,AUGUST ,Summer,2022,3.436230295
Corte Madera,B,6,7/27/2022,8/24/2022,AUGUST ,Summer,2022,3.527699764
Corte Madera,B,12,7/27/2022,8/24/2022,AUGUST ,Summer,2022,8.482613633
Corte Madera,B,24,7/27/2022,8/24/2022,AUGUST ,Summer,2022,24.48829622
Corte Madera,B,48,7/27/2022,8/24/2022,AUGUST ,Summer,2022,6.964542578
Corte Madera,C,0.5,7/27/2022,8/24/2022,AUGUST ,Summer,2022,3.142221286
Corte Madera,C,2,7/27/2022,8/24/2022,AUGUST ,Summer,2022,4.063245342
Corte Madera,C,6,7/27/2022,8/24/2022,AUGUST ,Summer,2022,12.00250945
Corte Madera,C,12,7/27/2022,8/24/2022,AUGUST ,Summer,2022,22.29609154
Corte Madera,C,24,7/27/2022,8/24/2022,AUGUST ,Summer,2022,10.1230977
Corte Madera,C,48,7/27/2022,8/24/2022,AUGUST ,Summer,2022,11.28810839
Corte Madera,D,0.5,7/27/2022,8/24/2022,AUGUST ,Summer,2022,4.190036727
Corte Madera,D,2,7/27/2022,8/24/2022,AUGUST ,Summer,2022,8.64182314
Corte Madera,D,6,7/27/2022,8/24/2022,AUGUST ,Summer,2022,10.99144514
Corte Madera,D,12,7/27/2022,8/24/2022,AUGUST ,Summer,2022,9.275575896
Corte Madera,D,24,7/27/2022,8/24/2022,AUGUST ,Summer,2022,10.2656104
Corte Madera,D,48,7/27/2022,8/24/2022,AUGUST ,Summer,2022,7.164223697
San Pablo,A,0.5,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.436677618
San Pablo,A,2,7/28/2022,8/25/2022,AUGUST ,Summer,2022,16.97697855
San Pablo,A,6,7/28/2022,8/25/2022,AUGUST ,Summer,2022,6.578451581
San Pablo,A,12,7/28/2022,8/25/2022,AUGUST ,Summer,2022,2.49499312
San Pablo,A,24,7/28/2022,8/25/2022,AUGUST ,Summer,2022,1.874307434
San Pablo,A,48,7/28/2022,8/25/2022,AUGUST ,Summer,2022,1.670134511
San Pablo,A,72,7/28/2022,8/25/2022,AUGUST ,Summer,2022,2.722441756
San Pablo,A,150,7/28/2022,8/25/2022,AUGUST ,Summer,2022,7.515605297
San Pablo,B,0.5,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.216170861
San Pablo,B,2,7/28/2022,8/25/2022,AUGUST ,Summer,2022,5.725008762
San Pablo,B,6,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.187586652
San Pablo,B,12,7/28/2022,8/25/2022,AUGUST ,Summer,2022,2.180566818
San Pablo,B,24,7/28/2022,8/25/2022,AUGUST ,Summer,2022,1.875940817
San Pablo,B,48,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.382571794
San Pablo,B,72,7/28/2022,8/25/2022,AUGUST ,Summer,2022,8.835583243
San Pablo,B,150,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.107755039
San Pablo,C,0.5,7/28/2022,8/25/2022,AUGUST ,Summer,2022,8.451533976
San Pablo,C,2,7/28/2022,8/25/2022,AUGUST ,Summer,2022,6.537412821
San Pablo,C,6,7/28/2022,8/25/2022,AUGUST ,Summer,2022,1.595203048
San Pablo,C,12,7/28/2022,8/25/2022,AUGUST ,Summer,2022,107.7941156
San Pablo,C,24,7/28/2022,8/25/2022,AUGUST ,Summer,2022,0
San Pablo,C,48,7/28/2022,8/25/2022,AUGUST ,Summer,2022,2.608147903
San Pablo,C,72,7/28/2022,8/25/2022,AUGUST ,Summer,2022,3.371711651
San Pablo,C,150,7/28/2022,8/25/2022,AUGUST ,Summer,2022,9.436872504
