Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,Adjusted Filter Mass Recovered (g) ,Adjusted Filter Surface Area Recovered (cm2),Date(s) of Procedure,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ","(1) Confirmatory Post-Dry Weight (Optional, g) ","(2) Confirmatory Post-Dry Weight (Optional, g) ","Sediment Mass               (Post-Dry Mass- Adjusted Filter Mass Recovered-Bag Mass, g)",Sediment Density (Sediment Mass/Adj Filter SA; g/cm2),Flux                        (# of Days Deployed) ,Flux-cm                (Sediment Density/Duration;  g/cm2 per day)  ,Flux-m                  (Sediment Density/Duration; g/m2 per day) ,Date(s) of Procedure ,Crucible Number # ,Empty Crucible Weight,Subsample Weight (Filter + Sediment on Filter) ,Post-Burn Weight ,Notes 
P1,B ,1,0.5,a ,0.43813,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,2.99921,2.98969,2.97966,,0.2814678,5,0.05629356,562.9356,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,0.5,b ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.03212,3.03088,,0.3238978,5,0.06477956,647.7956,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,0.5,c,0.4256,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,2.96598,2.96335,,0.2577578,5,0.05155156,515.5156,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,2,a ,0.43795,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025, ,3.08048,3.07653,,0.3722578,5,0.07445156,744.5156,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,2,b ,0.42543,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.05351,3.05126,,0.3452878,5,0.06905756,690.5756,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,2,c,0.43932,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.02526,3.02498,,0.3170378,5,0.06340756,634.0756,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,6,a ,0.42489,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,3.35275,3.3508,3.34489,,0.6425778,5,0.12851556,1285.1556,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,6,b ,0.43737,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.26031,3.25281,,0.5520878,5,0.11041756,1104.1756,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,6,c,0.43518,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.34387,3.34297,,0.6356478,5,0.12712956,1271.2956,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,12,a ,0.43397,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,3.107,3.10692,3.10161,,0.3986978,5,0.07973956,797.3956,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,12,b ,0.42294,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.16118,3.15719,,0.4529578,5,0.09059156,905.9156,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,12,c,0.42441,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.12648,3.12214,,0.4182578,5,0.08365156,836.5156,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,24,a ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,2.93694,2.93389,2.93115,,0.2256678,5,0.04513356,451.3356,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,24,b ,0.43563,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,2.96021,2.95697,,0.2519878,5,0.05039756,503.9756,,,,,,Averaged over 100 zip loc bags 
