Data Check 1,Data Check 2 ,Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,Date(s) of Procedure,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ","(1) Confirmatory Post-Dry Weight (Optional, g) ","(2) Confirmatory Post-Dry Weight (Optional, g) ",Notes 
3/11/2026,,P1,B ,1,0.5,a ,0.43813,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,2.99921,2.98969,2.97966,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,0.5,b ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.03212,3.03088,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,0.5,c,0.4256,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,2.96598,2.96335,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,2,a ,0.43795,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025, ,3.08048,3.07653,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,2,b ,0.42543,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.05351,3.05126,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,2,c,0.43932,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.02526,3.02498,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,6,a ,0.42489,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,3.35275,3.3508,3.34489,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,6,b ,0.43737,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.26031,3.25281,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,6,c,0.43518,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.34387,3.34297,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,12,a ,0.43397,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,3.107,3.10692,3.10161,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,12,b ,0.42294,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.16118,3.15719,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,12,c,0.42441,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.12648,3.12214,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,24,a ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,2.93694,2.93389,2.93115,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,24,b ,0.43563,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,2.96021,2.95697,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,24,c,0.42342,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.00115,3.00162,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,48,a ,0.43645,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,3.0309,3.0259,3.0225,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,48,b ,0.42205,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.0358,3.03432,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,1,48,c,0.43395,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,7/30/2025,,3.02349,3.02308,(re-worked) not sure filter size-pretty confident all a full filter; Averaged over 100 zip loc bags 
3/11/2026,,P1,B ,2,0.5,a ,0.42314,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,0.5,b ,0.43435,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,0.5,c,0.42417,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,2,a ,0.43548,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,2,b ,0.43514,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,2,c,0.43568,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,6,a ,0.42259,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,6,b ,0.43376,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,6,c,0.42445,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,12,a ,0.43321,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,12,b ,0.43595,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,, 
3/11/2026,,P1,B ,2,12,c,0.42329,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,24,a ,0.43371,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,24,b ,0.42358,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,24,c,0.4364,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
3/11/2026,,P1,B ,2,48,a ,0.43656,No M1 ,NA,NA,63.61725116,5.31,NA,NA,,,,
