Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ",Adjusted Filter Mass Recovered (g),Adjusted Filter Surface Area Recovered (cm2),"Sediment Mass               (Post-Dry Mass- Adjusted Filter Mass Recovered-Bag Mass, g)",Sediment Density (Sediment Mass/Adj Filter SA; g/cm2),Flux                        (# of Days Deployed) ,Flux-cm                (Sediment Density/Duration;  g/cm2 per day)  ,Flux-m                  (Sediment Density/Duration; g/m2 per day) 
P1,B ,1,0.5,a ,0.43813,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,2.99921,0.43813,58.30725116,-0.1471422,-0.002523566,5,-0.000504713,-5.047132117
P1,B ,1,0.5,b ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43667,58.30725116,-3.1448922,-0.053936554,5,-0.010787311,-107.873108
P1,B ,1,0.5,c,0.4256,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.4256,58.30725116,-3.1338222,-0.053746698,5,-0.01074934,-107.4933953
P1,B ,1,2,a ,0.43795,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1, ,0.43795,58.30725116,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!
P1,B ,1,2,b ,0.42543,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.42543,58.30725116,-3.1336522,-0.053743782,5,-0.010748756,-107.4875642
P1,B ,1,2,c,0.43932,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43932,58.30725116,-3.1475422,-0.053982003,5,-0.010796401,-107.9640058
P1,B ,1,6,a ,0.42489,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,3.35275,0.42489,58.30725116,0.2196378,0.003766904,5,0.000753381,7.533807395
P1,B ,1,6,b ,0.43737,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43737,58.30725116,-3.1455922,-0.053948559,5,-0.010789712,-107.8971187
P1,B ,1,6,c,0.43518,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43518,58.30725116,-3.1434022,-0.053911,5,-0.0107822,-107.8219994
P1,B ,1,12,a ,0.43397,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,3.107,0.43397,58.30725116,-0.0351922,-0.000603565,5,-0.000120713,-1.20712945
P1,B ,1,12,b ,0.42294,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.42294,58.30725116,-3.1311622,-0.053701077,5,-0.010740215,-107.4021545
P1,B ,1,12,c,0.42441,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.42441,58.30725116,-3.1326322,-0.053726289,5,-0.010745258,-107.4525771
P1,B ,1,24,a ,0.43667,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,2.93694,0.43667,58.30725116,-0.2079522,-0.00356649,5,-0.000713298,-7.132979033
P1,B ,1,24,b ,0.43563,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43563,58.30725116,-3.1438522,-0.053918717,5,-0.010783743,-107.8374349
P1,B ,1,24,c,0.42342,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.42342,58.30725116,-3.1316422,-0.05370931,5,-0.010741862,-107.418619
P1,B ,1,48,a ,0.43645,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,3.0309,0.43645,58.30725116,-0.1137722,-0.001951253,5,-0.000390251,-3.902506043
P1,B ,1,48,b ,0.42205,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.42205,58.30725116,-3.1302722,-0.053685813,5,-0.010737163,-107.3716266
P1,B ,1,48,c,0.43395,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43395,58.30725116,-3.1421722,-0.053889905,5,-0.010777981,-107.7798091
P1,B ,2,0.5,a ,0.42314,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,0.5,b ,0.43435,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,0.5,c,0.42417,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,2,a ,0.43548,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,2,b ,0.43514,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,2,c,0.43568,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,6,a ,0.42259,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,6,b ,0.43376,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,6,c,0.42445,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,12,a ,0.43321,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,12,b ,0.43595,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,12,c,0.42329,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,24,a ,0.43371,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,24,b ,0.42358,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,24,c,0.4364,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,48,a ,0.43656,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,48,b ,0.42331,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,2,48,c,0.4336,No M1 ,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P1,B ,1,18a,E1 ,0.42207,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,2.95631,0.42207,58.30725116,-0.1739822,-0.002983886,5,-0.000596777,-5.967772328
P1,B ,1,18b,E2 ,0.43449,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43449,58.30725116,-3.1427122,-0.053899166,5,-0.010779833,-107.7983317
P1,B ,1,18c ,E3,0.43475,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,1,,0.43475,58.30725116,-3.1429722,-0.053903625,5,-0.010780725,-107.80725
P1,B ,,,E4 ,0.4228,NA,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,B ,1,0.5,a ,0.44001,7/8/2025,6.33622,8/5/2025,63.61725116,5.31,0.75,7.09366,0.3300075,42.40293837,0.4274325,0.010080257,28,0.000360009,3.600091648
