Date,Site,Plot ID,Species,Avg Ht,Max Ht,Cover
8/25/2022,San Pablo,A0.5,SPFO,75,100,1
8/25/2022,San Pablo,A2,SPFO,81,100,5
8/25/2022,San Pablo,A6,SPFO,80,99,10
8/25/2022,San Pablo,A12,SPFO,65,87,20
8/25/2022,San Pablo,A24,SAPA,45,60,45
8/25/2022,San Pablo,A48,SAPA,50,95,90
8/25/2022,San Pablo,A72,SAPA,40,58,85
8/25/2022,San Pablo,A150,SAPA,40,60,80
8/25/2022,San Pablo,B0.5,SPFO,60,110,1
8/25/2022,San Pablo,B2,SPFO,60,95,5
8/25/2022,San Pablo,B6,SPFO,60,100,10
8/25/2022,San Pablo,B12,SPFO,65,90,20
8/25/2022,San Pablo,B24,SPFO,35,40,10
8/25/2022,San Pablo,B24,SAPA,28,45,10
8/25/2022,San Pablo,B48,SAPA,45,58,85
8/25/2022,San Pablo,B72,SAPA,30,55,80
8/25/2022,San Pablo,B150,SAPA,35,54,85
8/25/2022,San Pablo,C0.5,SPFO,65,98,2
8/25/2022,San Pablo,C2,SPFO,80,106,5
8/25/2022,San Pablo,C6,SPFO,70,101,20
8/25/2022,San Pablo,C12,SPFO,70,90,35
8/25/2022,San Pablo,C24,SPFO,53,74,2
8/25/2022,San Pablo,C24,SAPA,30,43,70
8/25/2022,San Pablo,C48,SAPA,25,36,60
8/25/2022,San Pablo,C72,SAPA,45,64,85
8/25/2022,San Pablo,C150,SAPA,34,62,80
8/25/2022,San Pablo,D0.5,SPFO,89,108,2
8/25/2022,San Pablo,D2,SPFO,72,97,5
8/25/2022,San Pablo,D6,SPFO,90,111,10
8/25/2022,San Pablo,D12,SPFO,50,79,35
8/25/2022,San Pablo,D24,SAPA,37,50,35
8/25/2022,San Pablo,D48,SAPA,45,65,90
8/25/2022,San Pablo,D72,SAPA,40,56,80
8/25/2022,San Pablo,D150,SAPA,35,55,80
2/15/2023,San Pablo,A0.5,SPFO,25,32,10
2/15/2023,San Pablo,A2,SPFO,30,48,15
2/15/2023,San Pablo,A6,SPFO,24,51,15
2/15/2023,San Pablo,A9,SPFO,26,58,30
2/15/2023,San Pablo,A24,SPFO,30,41,20
2/15/2023,San Pablo,A24,SAPA,25,60,80
2/15/2023,San Pablo,A48,SAPA,47,69,100
2/15/2023,San Pablo,A72,SAPA,39,64,95
2/15/2023,San Pablo,A150,SAPA,31,62,90
2/15/2023,San Pablo,B6,SPFO,24,56,1
2/15/2023,San Pablo,B9,SPFO,18,44,5
2/15/2023,San Pablo,B12,SPFO,22,33,5
2/15/2023,San Pablo,B18,SPFO,27,36,10
2/15/2023,San Pablo,B24,SPFO,25,41,30
2/15/2023,San Pablo,B24,SPFO,20,40,10
2/15/2023,San Pablo,B48,SAPA,28,44,40
2/15/2023,San Pablo,B72,SAPA,39,55,95
2/15/2023,San Pablo,B150,SAPA,25,63,100
2/15/2023,San Pablo,C2,SPFO,17,35,10
2/15/2023,San Pablo,C6,SPFO,21,55,20
2/15/2023,San Pablo,C12,SPFO,16,48,30
2/15/2023,San Pablo,C24,SPFO,6,20,5
2/15/2023,San Pablo,C24,SAPA,34,45,10
2/15/2023,San Pablo,C48,SAPA,24,41,5
2/15/2023,San Pablo,C72,SAPA,44,64,100
2/15/2023,San Pablo,C150,SAPA,30,52,100
2/15/2023,San Pablo,D2,SPFO,20,27,5
2/15/2023,San Pablo,D12,SPFO,32,44,15
2/15/2023,San Pablo,D24,SAPA,28,49,30
2/15/2023,San Pablo,D48,SAPA,40,51,80
2/15/2023,San Pablo,D72,SAPA,39,60,95
2/15/2023,San Pablo,D150,SAPA,35,63,95
7/19/2023,San Pablo,A0.5,NA,NA,NA,0
7/19/2023,San Pablo,A2,NA,NA,NA,0
7/19/2023,San Pablo,A6,SPFO,46,91,1
7/19/2023,San Pablo,A9,SPFO,72,91,10
7/19/2023,San Pablo,A12,SPFO,89,107,10
7/19/2023,San Pablo,A18,SPFO,50,67,10
