Site,Tran,Dist,Replicate,Date placed in field,Date removed from field,Season ,Year ,Flux
San Pablo,A,0.5,a,7/19/2023,8/16/2023,Summer ,2023,16.27584873
San Pablo,A,0.5,b,7/19/2023,8/16/2023,Summer ,2023,16.00634048
San Pablo,A,0.5,c,7/19/2023,8/16/2023,Summer ,2023,11.34568516
San Pablo,B,0.5,b,7/19/2023,8/16/2023,Summer ,2023,13.21570496
San Pablo,B,0.5,c,7/19/2023,8/16/2023,Summer ,2023,12.82246791
San Pablo,B,0.5,a,7/19/2023,8/16/2023,Summer ,2023,6.065160852
San Pablo,C,0.5,b,7/20/2023,8/16/2023,Summer ,2023,97.48930399
San Pablo,C,0.5,c,7/20/2023,8/16/2023,Summer ,2023,50.09096825
San Pablo,C,0.5,a,7/20/2023,8/16/2023,Summer ,2023,27.34683057
San Pablo,D,0.5,c,7/20/2023,8/16/2023,Summer ,2023,27.98711686
San Pablo,D,0.5,a,7/20/2023,8/16/2023,Summer ,2023,11.9952046
San Pablo,D,0.5,b,7/20/2023,8/16/2023,Summer ,2023,8.162379746
San Pablo,A,2,b,7/19/2023,8/16/2023,Summer ,2023,28.62545216
San Pablo,A,2,a,7/19/2023,8/16/2023,Summer ,2023,22.42982481
San Pablo,A,2,c,7/19/2023,8/16/2023,Summer ,2023,15.67986797
San Pablo,B,2,b,7/19/2023,8/16/2023,Summer ,2023,25.30927554
San Pablo,B,2,c,7/19/2023,8/16/2023,Summer ,2023,21.38609282
San Pablo,B,2,a,7/19/2023,8/16/2023,Summer ,2023,15.46916151
San Pablo,C,2,c,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,2,a,7/20/2023,8/16/2023,Summer ,2023,37.44785491
San Pablo,C,2,b,7/20/2023,8/16/2023,Summer ,2023,14.06978299
San Pablo,D,2,c,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,D,2,a,7/20/2023,8/16/2023,Summer ,2023,24.25910077
San Pablo,D,2,b,7/20/2023,8/16/2023,Summer ,2023,6.336801583
San Pablo,A,6,c,7/19/2023,8/16/2023,Summer ,2023,9.696172116
San Pablo,A,6,a,7/19/2023,8/16/2023,Summer ,2023,8.271453459
San Pablo,A,6,b,7/19/2023,8/16/2023,Summer ,2023,4.037723726
San Pablo,B,6,c,7/19/2023,8/16/2023,Summer ,2023,19.35130547
San Pablo,B,6,a,7/19/2023,8/16/2023,Summer ,2023,13.26164387
San Pablo,B,6,b,7/19/2023,8/16/2023,Summer ,2023,3.305151278
San Pablo,C,6,a,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,6,b,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,6,c,7/20/2023,8/16/2023,Summer ,2023,2.517316026
San Pablo,D,6,b,7/20/2023,8/16/2023,Summer ,2023,13.59655552
San Pablo,D,6,c,7/20/2023,8/16/2023,Summer ,2023,10.65873402
San Pablo,D,6,a,7/20/2023,8/16/2023,Summer ,2023,2.422035328
San Pablo,A,9,c,7/19/2023,8/16/2023,Summer ,2023,2.488663759
San Pablo,A,9,a,7/19/2023,8/16/2023,Summer ,2023,1.648288008
San Pablo,A,9,b,7/19/2023,8/16/2023,Summer ,2023,1.607861769
San Pablo,B,9,c,7/19/2023,8/16/2023,Summer ,2023,1.899420703
San Pablo,B,9,a,7/19/2023,8/16/2023,Summer ,2023,1.250150808
San Pablo,B,9,b,7/19/2023,8/16/2023,Summer ,2023,0.496752722
San Pablo,A,12,b,7/19/2023,8/16/2023,Summer ,2023,0
San Pablo,A,12,a,7/19/2023,8/16/2023,Summer ,2023,7.079491934
San Pablo,A,12,c,7/19/2023,8/16/2023,Summer ,2023,1.502508541
San Pablo,B,12,a,7/19/2023,8/16/2023,Summer ,2023,24.20674176
San Pablo,B,12,c,7/19/2023,8/16/2023,Summer ,2023,4.477512202
San Pablo,B,12,b,7/19/2023,8/16/2023,Summer ,2023,0.093715372
San Pablo,C,12,c,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,12,b,7/20/2023,8/16/2023,Summer ,2023,1.247541932
San Pablo,C,12,a,7/20/2023,8/16/2023,Summer ,2023,1.210064857
San Pablo,D,12,c,7/20/2023,8/16/2023,Summer ,2023,4.033549524
San Pablo,D,12,b,7/20/2023,8/16/2023,Summer ,2023,2.833012737
San Pablo,D,12,a,7/20/2023,8/16/2023,Summer ,2023,2.740908063
San Pablo,A,18,a,7/19/2023,8/16/2023,Summer ,2023,6.90737416
San Pablo,A,18,c,7/19/2023,8/16/2023,Summer ,2023,1.734040635
San Pablo,A,18,b,7/19/2023,8/16/2023,Summer ,2023,0.774836243
San Pablo,B,18,a,7/19/2023,8/16/2023,Summer ,2023,0
San Pablo,B,18,b,7/19/2023,8/16/2023,Summer ,2023,0
San Pablo,B,18,c,7/19/2023,8/16/2023,Summer ,2023,0
San Pablo,A,24,c,7/19/2023,8/16/2023,Summer ,2023,13.38414762
San Pablo,A,24,a,7/19/2023,8/16/2023,Summer ,2023,7.844527876
San Pablo,A,24,b,7/19/2023,8/16/2023,Summer ,2023,5.47898039
San Pablo,B,24,b,7/19/2023,8/16/2023,Summer ,2023,2.964590843
San Pablo,B,24,c,7/19/2023,8/16/2023,Summer ,2023,0.183143112
San Pablo,B,24,a,7/19/2023,8/16/2023,Summer ,2023,0.150067098
San Pablo,C,24,a,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,24,c,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,C,24,b,7/20/2023,8/16/2023,Summer ,2023,244.4794711
San Pablo,D,24,b,7/20/2023,8/16/2023,Summer ,2023,0
San Pablo,D,24,a,7/20/2023,8/16/2023,Summer ,2023,95.60020536
San Pablo,D,24,c,7/20/2023,8/16/2023,Summer ,2023,79.87571426
San Pablo,A,48,b,7/19/2023,8/16/2023,Summer ,2023,26.83444728
San Pablo,A,48,a,7/19/2023,8/16/2023,Summer ,2023,18.43558991
San Pablo,A,48,c,7/19/2023,8/16/2023,Summer ,2023,12.70915194
San Pablo,B,48,c,7/19/2023,8/16/2023,Summer ,2023,19.39418179
San Pablo,B,48,a,7/19/2023,8/16/2023,Summer ,2023,7.725086716
San Pablo,B,48,b,7/19/2023,8/16/2023,Summer ,2023,4.596953362
San Pablo,C,48,a,7/20/2023,8/16/2023,Summer ,2023,41.368338
San Pablo,C,48,b,7/20/2023,8/16/2023,Summer ,2023,34.42301036
San Pablo,C,48,c,7/20/2023,8/16/2023,Summer ,2023,16.84943853
San Pablo,D,48,c,7/20/2023,8/16/2023,Summer ,2023,14.08820392
San Pablo,D,48,a,7/20/2023,8/16/2023,Summer ,2023,13.22114957
San Pablo,D,48,b,7/20/2023,8/16/2023,Summer ,2023,7.604670064
San Pablo,A,72,a,7/19/2023,8/16/2023,Summer ,2023,15.21435371
San Pablo,A,72,c,7/19/2023,8/16/2023,Summer ,2023,14.81621651
San Pablo,A,72,b,7/19/2023,8/16/2023,Summer ,2023,14.02422974
San Pablo,B,72,c,7/19/2023,8/16/2023,Summer ,2023,19.64776456
San Pablo,B,72,b,7/19/2023,8/16/2023,Summer ,2023,15.88812435
San Pablo,B,72,a,7/19/2023,8/16/2023,Summer ,2023,11.95514134
San Pablo,C,72,c,7/20/2023,8/16/2023,Summer ,2023,23.23642128
San Pablo,C,72,b,7/20/2023,8/16/2023,Summer ,2023,21.59441726
San Pablo,C,72,a,7/20/2023,8/16/2023,Summer ,2023,18.2386311
San Pablo,D,72,b,7/20/2023,8/16/2023,Summer ,2023,12.39665394
San Pablo,D,72,a,7/20/2023,8/16/2023,Summer ,2023,12.1317736
San Pablo,D,72,c,7/20/2023,8/16/2023,Summer ,2023,9.531245766
San Pablo,A,150,a,7/19/2023,8/16/2023,Summer ,2023,2.627093001
San Pablo,A,150,c,7/19/2023,8/16/2023,Summer ,2023,2.114414791
San Pablo,A,150,b,7/19/2023,8/16/2023,Summer ,2023,1.832043639
San Pablo,B,150,b,7/19/2023,8/16/2023,Summer ,2023,5.154345442
San Pablo,B,150,c,7/19/2023,8/16/2023,Summer ,2023,4.848086058
San Pablo,B,150,a,7/19/2023,8/16/2023,Summer ,2023,4.47873724
San Pablo,C,150,b,7/20/2023,8/16/2023,Summer ,2023,3.637817028
San Pablo,C,150,c,7/20/2023,8/16/2023,Summer ,2023,2.648168184
San Pablo,C,150,a,7/20/2023,8/16/2023,Summer ,2023,2.432833808
San Pablo,D,150,c,7/20/2023,8/16/2023,Summer ,2023,3.059145592
San Pablo,D,150,a,7/20/2023,8/16/2023,Summer ,2023,2.938456709
San Pablo,D,150,b,7/20/2023,8/16/2023,Summer ,2023,2.49190784
Corte Madera,A,0.5,a,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,0.5,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,0.5,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,0.5,a,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,0.5,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,0.5,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,C,0.5,c,7/18/2023,8/15/2023,Summer ,2023,9.340847831
Corte Madera,C,0.5,a,7/18/2023,8/15/2023,Summer ,2023,4.586498407
Corte Madera,C,0.5,b,7/18/2023,8/15/2023,Summer ,2023,3.742342563
Corte Madera,D,0.5,b,7/18/2023,8/15/2023,Summer ,2023,16.44756187
Corte Madera,D,0.5,c,7/18/2023,8/15/2023,Summer ,2023,14.31940701
Corte Madera,D,0.5,a,7/18/2023,8/15/2023,Summer ,2023,12.77995589
Corte Madera,A,2,a,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,2,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,2,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,2,a,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,2,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,2,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,C,2,b,7/18/2023,8/15/2023,Summer ,2023,14.98556999
Corte Madera,C,2,c,7/18/2023,8/15/2023,Summer ,2023,9.7451605
Corte Madera,C,2,a,7/18/2023,8/15/2023,Summer ,2023,2.186351384
Corte Madera,D,2,a,7/18/2023,8/15/2023,Summer ,2023,10.62545945
Corte Madera,D,2,b,7/18/2023,8/15/2023,Summer ,2023,5.819039451
Corte Madera,D,2,c,7/18/2023,8/15/2023,Summer ,2023,3.879563832
Corte Madera,A,6,c,7/18/2023,8/15/2023,Summer ,2023,3.970295951
Corte Madera,A,6,b,7/18/2023,8/15/2023,Summer ,2023,2.729723107
Corte Madera,A,6,a,7/18/2023,8/15/2023,Summer ,2023,2.580249939
Corte Madera,B,6,c,7/18/2023,8/15/2023,Summer ,2023,7.239851344
Corte Madera,B,6,a,7/18/2023,8/15/2023,Summer ,2023,5.77064445
Corte Madera,B,6,b,7/18/2023,8/15/2023,Summer ,2023,5.019603038
Corte Madera,C,6,a,7/18/2023,8/15/2023,Summer ,2023,36.53945111
Corte Madera,C,6,c,7/18/2023,8/15/2023,Summer ,2023,36.19639794
Corte Madera,C,6,b,7/18/2023,8/15/2023,Summer ,2023,32.28681696
Corte Madera,D,6,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,D,6,a,7/18/2023,8/15/2023,Summer ,2023,15.22298456
Corte Madera,D,6,b,7/18/2023,8/15/2023,Summer ,2023,6.321979907
Corte Madera,A,12,b,7/18/2023,8/15/2023,Summer ,2023,6.435309973
Corte Madera,A,12,a,7/18/2023,8/15/2023,Summer ,2023,6.208037246
Corte Madera,A,12,c,7/18/2023,8/15/2023,Summer ,2023,3.883851997
Corte Madera,B,12,c,7/18/2023,8/15/2023,Summer ,2023,4.115412889
Corte Madera,B,12,a,7/18/2023,8/15/2023,Summer ,2023,3.850159275
Corte Madera,B,12,b,7/18/2023,8/15/2023,Summer ,2023,3.524871355
Corte Madera,C,12,c,7/18/2023,8/15/2023,Summer ,2023,31.40271347
Corte Madera,C,12,a,7/18/2023,8/15/2023,Summer ,2023,30.85885812
Corte Madera,C,12,b,7/18/2023,8/15/2023,Summer ,2023,26.2741975
Corte Madera,D,12,a,7/18/2023,8/15/2023,Summer ,2023,9.231193335
Corte Madera,D,12,c,7/18/2023,8/15/2023,Summer ,2023,8.124846851
Corte Madera,D,12,b,7/18/2023,8/15/2023,Summer ,2023,7.04606714
Corte Madera,A,18,a,7/18/2023,8/15/2023,Summer ,2023,9.775177653
Corte Madera,A,18,c,7/18/2023,8/15/2023,Summer ,2023,9.766601323
Corte Madera,A,18,b,7/18/2023,8/15/2023,Summer ,2023,8.32761578
Corte Madera,B,18,a,7/18/2023,8/15/2023,Summer ,2023,18.36498407
Corte Madera,B,18,b,7/18/2023,8/15/2023,Summer ,2023,15.64903507
Corte Madera,B,18,c,7/18/2023,8/15/2023,Summer ,2023,4.280200931
Corte Madera,A,24,a,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,24,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,A,24,c,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,B,24,b,7/18/2023,8/15/2023,Summer ,2023,18.96103896
Corte Madera,B,24,a,7/18/2023,8/15/2023,Summer ,2023,12.27579025
Corte Madera,B,24,c,7/18/2023,8/15/2023,Summer ,2023,11.41264396
Corte Madera,C,24,a,7/18/2023,8/15/2023,Summer ,2023,10.09679
Corte Madera,C,24,b,7/18/2023,8/15/2023,Summer ,2023,8.195907866
Corte Madera,C,24,c,7/18/2023,8/15/2023,Summer ,2023,5.929306543
Corte Madera,D,24,b,7/18/2023,8/15/2023,Summer ,2023,0
Corte Madera,D,24,a,7/18/2023,8/15/2023,Summer ,2023,7.919627542
Corte Madera,D,24,c,7/18/2023,8/15/2023,Summer ,2023,7.842303057
Corte Madera,A,30,a,7/18/2023,8/15/2023,Summer ,2023,15.61075717
Corte Madera,A,30,c,7/18/2023,8/15/2023,Summer ,2023,15.26096545
Corte Madera,A,30,b,7/18/2023,8/15/2023,Summer ,2023,14.47745651
Corte Madera,B,30,b,7/18/2023,8/15/2023,Summer ,2023,8.686596422
Corte Madera,B,30,a,7/18/2023,8/15/2023,Summer ,2023,7.515927469
Corte Madera,B,30,c,7/18/2023,8/15/2023,Summer ,2023,6.696888018
Corte Madera,A,48,c,7/18/2023,8/15/2023,Summer ,2023,16.23560402
Corte Madera,A,48,a,7/18/2023,8/15/2023,Summer ,2023,9.128889978
