Official_ID,Transect ID,Point_ID,Northing,Easting,Elevation_ussft,Elevation_m
BM2,BM Pre,LBM-1,1813355.371,6428340.663,21.61,6.586741173
BM2,BM Pre,LBM-2,1813355.373,6428340.663,21.589,6.580340361
BM2,BM Pre,LBM-3,1813355.376,6428340.661,21.602,6.584302769
,A,XSA-1,1804057.339,6425353.882,2.461,0.7501143
,A,XSA-2,1804058.927,6425353.494,2.517,0.767183134
,A,XSA-3,1804060.8,6425353.104,2.738,0.834544069
,A,XSA-4,1804062.836,6425352.252,2.969,0.90495301
,A,XSA-5,1804063.722,6425352.624,3.198,0.97475235
,A,XSA-6,1804064.351,6425352.433,3.189,0.972009144
,A,XSA-7,1804065.325,6425352.184,3.319,1.011633223
,A,XSA-8,1804066.802,6425351.851,3.473,1.058572517
,A,XSA-9,1804068.617,6425351.361,3.671,1.118923038
,A,XSA-10,1804070.865,6425350.999,3.8,1.158242316
,A,XSA-11,1804074.528,6425350.435,3.771,1.149403099
,A,XSA-12,1804077.441,6425349.486,3.927,1.196951994
,A,XSA-13,1804080.612,6425348.611,4.022,1.225908052
,A,XSA-14,1804081.175,6425348.502,4.097,1.248768098
,A,XSA-15,1804081.969,6425348.253,4.41,1.344170688
,A,XSA-16,1804082.966,6425348.069,4.89,1.490474981
,A,XSA-17,1804085.875,6425347.374,5.149,1.569418339
,A,XSA-18,1804088.732,6425346.745,5.201,1.585267971
,A,XSA-19,1804091.923,6425346.396,5.444,1.659334519
,A,XSA-20,1804095.058,6425346.131,5.511,1.67975616
,A,XSA-21,1804098.23,6425345.432,5.617,1.712065024
,A,XSA-22,1804100.76,6425345.32,5.808,1.770281941
,A,XSA-23,1804103.913,6425344.852,5.87,1.789179578
,A,XSA-24pin,1804105.41,6425344.038,5.905,1.7998476
,A,XSA-25,1804109.165,6425343.731,5.807,1.76997714
,A,XSA-26,1804109.756,6425344.168,5.549,1.691338583
,A,XSA-27,1804111.175,6425343.697,5.485,1.671831344
,A,XSA-28,1804111.565,6425344.573,5.894,1.796494793
,A,XSA-29,1804114.822,6425344.772,6.019,1.834594869
,A,XSA-30,1804118.545,6425344.573,6.088,1.855626111
,A,XSA-31,1804121.069,6425344.639,5.992,1.826365253
,A,XSA-32,1804124.992,6425344.871,6.076,1.851968504
,A,XSA-33,1804130.657,6425345.136,6.045,1.842519685
,A,XSA-34,1804136.289,6425346.016,6.25,1.90500381
,A,XSA-35,1804140.058,6425345.978,6.252,1.905613411
,A,XSA-36,1804141.569,6425345.862,6.279,1.913843028
,A,XSA-37,1804143.078,6425346.248,6.267,1.91018542
,A,XSA-38,1804143.9,6425346.327,6.323,1.927254255
,A,XSA-39,1804146.188,6425346.949,6.43,1.95986792
,A,XSA-40,1804150.045,6425347.171,6.472,1.972669545
,A,XSA-41,1804154.552,6425346.144,6.531,1.990652781
,A,XSA-42,1804159.367,6425345.848,6.64,2.023876048
,A,XSA-43,1804162.958,6425346.178,6.75,2.057404115
,A,XSA-44,1804168.317,6425346.216,6.811,2.075996952
,A,XSA-45,1804169.844,6425346.826,6.782,2.067157734
,A,XSA-46,1804171.372,6425346.244,6.774,2.064719329
,A,XSA-47,1804173.332,6425346.229,6.833,2.082702565
,A,XSA-48,1804176.175,6425345.448,6.954,2.119583439
,A,XSA-49,1804179.707,6425344.377,6.768,2.062890526
,A,XSA-50,1804184.532,6425343.829,6.688,2.038506477
,A,XSA-51,1804187.906,6425343.813,6.814,2.076911354
,A,XSA-52,1804191.52,6425343.836,6.866,2.092760986
,A,XSA-53,1804195.848,6425344.186,6.733,2.052222504
,A,XSA-54,1804201.704,6425344.579,6.828,2.081178562
,A,XSA-55,1804211.915,6425346.288,6.817,2.077825756
,A,XSA-56,1804218.872,6425347.868,6.719,2.047955296
,A,XSA-57,1804232.141,6425346.135,6.821,2.079044958
,A,XSA-58,1804243.151,6425347.604,6.851,2.088188976
,A,XSA-59,1804254.155,6425350.314,6.866,2.092760986
,A,XSA-60,1804261.367,6425350.922,6.757,2.059537719
,A,XSA-61,1804275.444,6425351.528,6.797,2.071729743
,A,XSA-62,1804286.556,6425352.093,6.79,2.069596139
,A,XSA-63,1804299.682,6425354.464,6.748,2.056794514
,A,XSA-64,1804316.268,6425357.936,6.708,2.044602489
,A,XSA-65,1804325.037,6425354.592,6.648,2.026314453
,A,XSA-66,1804336.098,6425353.328,6.651,2.027228854
,A,XSA-67,1804345.786,6425351.245,6.714,2.046431293
,A,XSA-68,1804358.988,6425352.252,6.622,2.018389637
,A,XSA-69,1804378.478,6425351.932,6.696,2.040944882
,A,XSA-70,1804389.786,6425353.706,6.516,1.986080772
,A,XSA-71,1804403.543,6425354.201,6.531,1.990652781
,A,XSA-72,1804418.177,6425352.714,6.605,2.013208026
,B,XSB-1,1804323.446,6425167.815,6.855,2.089408179
,B,XSB-2,1804311.278,6425169.706,7.01,2.136652273
,B,XSB-3,1804297.716,6425171.761,6.753,2.058318517
,B,XSB-4,1804286.917,6425173.964,6.683,2.036982474
,B,XSB-5,1804270.311,6425177.963,6.755,2.058928118
,B,XSB-6,1804256.866,6425181.788,6.68,2.036068072
,B,XSB-7,1804239.914,6425187.776,6.739,2.054051308
,B,XSB-8,1804224.737,6425190.368,6.695,2.040640081
,B,XSB-9,1804209.793,6425194.792,6.645,2.025400051
,B,XSB-10,1804199.072,6425197.513,6.775,2.06502413
,B,XSB-11,1804190.884,6425199.285,6.758,2.05984252
,B,XSB-12,1804187.889,6425200.538,6.67,2.033020066
,B,XSB-13,1804183.984,6425201.081,6.76,2.060452121
,B,XSB-14,1804175.881,6425203.346,6.871,2.094284989
,B,XSB-15,1804168.381,6425203.96,6.736,2.053136906
,B,XSB-16,1804163.835,6425203.9,6.672,2.033629667
,B,XSB-17,1804160.565,6425204.788,6.633,2.021742443
,B,XSB-18,1804162.82,6425204.811,6.667,2.032105664
,B,XSB-19,1804153.809,6425206.032,6.707,2.044297689
,B,XSB-20,1804145.979,6425209,6.533,1.991262383
,B,XSB-21,1804141.024,6425211.229,6.514,1.985471171
,B,XSB-22,1804139.686,6425211.647,6.441,1.963220726
,B,XSB-23,1804137.812,6425212.515,6.374,1.942799086
,B,XSB-24,1804130.363,6425213.629,6.26,1.908051816
,B,XSB-25,1804121.34,6425215.454,6.215,1.894335789
,B,XSB-26,1804110.513,6425217.62,6.058,1.846482093
,B,XSB-27,1804103.29,6425220.103,5.93,1.807467615
,B,XSB-28,1804102.775,6425220.888,5.847,1.782169164
,B,XSB-29,1804102.206,6425221.105,5.405,1.647447295
,B,XSB-30,1804101.081,6425221.572,5.374,1.637998476
,B,XSB-31,1804099.853,6425222.272,5.884,1.793446787
,B,XSB-32,1804097.319,6425224.45,5.854,1.784302769
,B,XSB-33pin,1804094.003,6425227.189,5.751,1.752908306
,B,XSB-34,1804088.006,6425227.208,5.691,1.734620269
,B,XSB-35,1804085.907,6425227.612,5.56,1.694691389
,B,XSB-36,1804085.111,6425227.187,5.223,1.591973584
,B,XSB-37,1804083.834,6425226.924,5.501,1.676708153
,B,XSB-38,1804077.877,6425227.997,5.221,1.591363983
,B,XSB-39,1804072.204,6425229.549,4.989,1.520650241
,B,XSB-40,1804065.332,6425231.101,4.656,1.419151638
,B,XSB-41,1804062.655,6425231.744,4.469,1.362153924
,B,XSB-42,1804059.331,6425231.917,4.213,1.284124968
,B,XSB-43,1804053.755,6425233.058,3.905,1.19024638
,B,XSB-44,1804048.946,6425233.552,3.612,1.100939802
,B,XSB-45,1804048.228,6425233.755,3.465,1.056134112
,B,XSB-46,1804044.353,6425234.789,3.269,0.996393193
