Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
CorteMadera,xsA,xsA,xsA-1,3.116932065,0.950040893,-6.991998068,1736638.368,6416401.657,2.539,0.773888748,6/16/2025
CorteMadera,xsA,xsA,xsA-2,4.102338935,1.250392907,-6.43353521,1736637.508,6416400.92,2.718,0.828448057,6/16/2025
CorteMadera,xsA,xsA,xsA-3,4.993836694,1.522121424,-5.908139122,1736636.711,6416400.26,2.585,0.787909576,6/16/2025
CorteMadera,xsA,xsA,xsA-4,6.037893704,1.840350001,-5.256790011,1736635.744,6416399.499,2.771,0.844602489,6/16/2025
CorteMadera,xsA,xsA,xsA-5,7.063904435,2.153078072,-4.558812125,1736634.739,6416398.771,2.992,0.911963424,6/16/2025
CorteMadera,xsA,xsA,xsA-6,7.110248264,2.167203671,-4.233360131,1736634.417,6416398.838,3.714,1.132029464,6/16/2025
CorteMadera,xsA,xsA,xsA-7,6.715112232,2.046766208,-4.381957539,1736634.691,6416399.159,4.412,1.34478029,6/16/2025
CorteMadera,xsA,xsA,xsA-8,6.975788748,2.12622041,-4.575832387,1736634.785,6416398.848,4.662,1.420980442,6/16/2025
CorteMadera,xsA,xsA,xsA-9,7.087433395,2.160249699,-4.417318124,1736634.598,6416398.797,5.269,1.605994412,6/16/2025
CorteMadera,xsA,xsA,xsA-10,7.436320716,2.266590554,-4.195864439,1736634.271,6416398.544,5.403,1.646837694,6/16/2025
CorteMadera,xsA,xsA,xsA-11,8.356863252,2.547171919,-3.733974034,1736633.524,6416397.835,5.457,1.663296927,6/16/2025
CorteMadera,xsA,xsA,xsA-12,10.67944214,3.255093964,-3.319937435,1736632.346,6416395.791,5.732,1.747117094,6/16/2025
CorteMadera,xsA,xsA,xsA-13pin,13.47462083,4.107064429,-3.0576927,1736631.15,6416393.251,5.71,1.740411481,6/16/2025
CorteMadera,xsA,xsA,xsA-14,16.39223234,4.996352417,-2.305620905,1736629.452,6416390.762,5.886,1.794056388,6/16/2025
CorteMadera,xsA,xsA,xsA-15,20.57172161,6.270260747,-1.549055914,1736627.321,6416387.088,5.761,1.755956312,6/16/2025
CorteMadera,xsA,xsA,xsA-16,28.52852094,8.695493183,-1.463862402,1736624.539,6416379.633,5.656,1.723952248,6/16/2025
CorteMadera,xsA,xsA,xsA-17,35.70146168,10.88180552,-0.195381881,1736620.91,6416373.317,5.545,1.69011938,6/16/2025
CorteMadera,xsA,xsA,xsA-18,44.29647295,13.50156496,2.225596816,1736615.714,6416366.055,5.642,1.719685039,6/16/2025
CorteMadera,xsA,xsA,xsA-19,56.18010758,17.12369679,5.054363698,1736609.018,6416355.838,5.657,1.724257049,6/16/2025
CorteMadera,xsA,xsA,xsA-20,67.46411151,20.56306119,7.741043451,1736602.659,6416346.137,5.68,1.731267463,6/16/2025
CorteMadera,xsA,xsA,xsA-21,80.51447435,24.54081178,7.893508338,1736598.084,6416333.914,5.749,1.752298705,6/16/2025
CorteMadera,xsA,xsA,xsA-22,89.74333485,27.35376846,7.429791642,1736595.386,6416325.076,5.792,1.765405131,6/16/2025
CorteMadera,xsA,xsA,xsA-23,97.71402512,29.78323486,7.300334304,1736592.801,6416317.535,5.754,1.753822708,6/16/2025
CorteMadera,xsA,xsA,xsA-24,107.3425712,32.7180157,6.468377985,1736590.314,6416308.196,5.641,1.719380239,6/16/2025
CorteMadera,xsA,xsA,xsA-25,117.4731026,35.80580167,4.90615543,1736588.343,6416298.137,5.744,1.750774702,6/16/2025
CorteMadera,xsA,xsA,xsA-26,127.1834329,38.76551035,2.807088791,1736587.02,6416288.291,5.769,1.758394717,6/16/2025
CorteMadera,xsA,xsA,xsA-27,140.4139864,42.79818305,0.535137106,1736584.664,6416275.075,5.888,1.794665989,6/16/2025
CorteMadera,xsA,xsA,xsA-28,150.7027928,45.93421125,-1.42536669,1736583.014,6416264.732,5.91,1.801371603,6/16/2025
CorteMadera,xsA,xsA,xsA-29,159.6398275,48.65821942,-1.972778228,1736580.494,6416256.14,5.931,1.807772416,6/16/2025
CorteMadera,xsA,xsA,xsA-30,166.1889111,50.6543801,-2.308575828,1736578.586,6416249.866,5.631,1.716332233,6/16/2025
CorteMadera,xsA,xsA,xsA-31,169.6263936,51.70212477,-1.958019944,1736577.089,6416246.752,5.81,1.770891542,6/16/2025
CorteMadera,xsA,xsA,xsA-32,170.8357569,52.0707387,-2.020723316,1736576.737,6416245.593,5.605,1.708407417,6/16/2025
CorteMadera,xsA,xsA,xsA-33,171.649183,52.31867098,-2.029424196,1736576.469,6416244.825,5.524,1.683718567,6/16/2025
CorteMadera,xsA,xsA,xsA-34,172.60379,52.60963519,-2.401632145,1736576.495,6416243.801,5.509,1.679146558,6/16/2025
CorteMadera,xsA,xsA,xsA-35,173.6786576,52.93725484,-2.913182192,1736576.611,6416242.616,5.765,1.757175514,6/16/2025
CorteMadera,xsA,xsA,xsA-36,181.1525685,55.21530288,-4.007034665,1736575.102,6416235.215,5.796,1.766624333,6/16/2025
CorteMadera,xsA,xsA,xsA-37,192.2306088,58.59188956,-5.792052848,1736573.019,6416224.189,5.729,1.746202692,6/16/2025
CorteMadera,xsA,xsA,xsA-38,201.2745317,61.34847726,-5.781587819,1736569.938,6416215.686,5.81,1.770891542,6/16/2025
CorteMadera,xsA,xsA,xsA-39,214.9934545,65.53000493,-6.79554811,1736566.233,6416202.438,5.741,1.7498603,6/16/2025
CorteMadera,xsA,xsA,xsA-40,223.9300265,68.25387208,-5.834183184,1736562.294,6416194.359,5.661,1.725476251,6/16/2025
CorteMadera,xsB,xsB,xsB-1,0,0,-0.209095933,1736532.282,6416464.893,2.149,0.65501651,6/16/2025
CorteMadera,xsB,xsB,xsB-2,1.139681074,0.347374791,0.627594028,1736531.098,6416463.984,2.14,0.652273305,6/16/2025
CorteMadera,xsB,xsB,xsB-3,2.384943923,0.726930908,1.218075655,1736530.005,6416463.145,2.095,0.638557277,6/16/2025
CorteMadera,xsB,xsB,xsB-4,4.334022165,1.321009956,2.031998889,1736528.392,6416461.781,2.517,0.767183134,6/16/2025
CorteMadera,xsB,xsB,xsB-5,4.403393429,1.342154317,2.013429748,1736528.377,6416461.711,2.41,0.734569469,6/16/2025
CorteMadera,xsB,xsB,xsB-6,5.50858218,1.679015848,2.274237149,1736527.641,6416460.846,2.933,0.893980188,6/16/2025
CorteMadera,xsB,xsB,xsB-7,3.910245627,1.191842867,2.136590126,1736528.492,6416462.206,4.461,1.359715519,6/16/2025
CorteMadera,xsB,xsB,xsB-8,5.498248131,1.67586603,2.907623914,1736527.082,6416461.144,5.157,1.571856744,6/16/2025
CorteMadera,xsB,xsB,xsB-9,8.122236735,2.475657757,3.442276228,1736525.41,6416459.052,5.505,1.677927356,6/16/2025
CorteMadera,xsB,xsB,xsB-10pin,9.073793246,2.765692181,4.159573296,1736524.338,6416458.532,5.515,1.680975362,6/16/2025
CorteMadera,xsB,xsB,xsB-11,13.70024996,4.175836188,3.845329025,1736522.509,6416454.271,5.591,1.704140208,6/16/2025
CorteMadera,xsB,xsB,xsB-12,19.77763903,6.028224376,3.629213607,1736519.931,6416448.763,5.697,1.736449073,6/16/2025
CorteMadera,xsB,xsB,xsB-13,25.3075255,7.713733772,3.971396694,1736517.106,6416443.997,5.712,1.741021082,6/16/2025
CorteMadera,xsB,xsB,xsB-14,31.08004762,9.473198515,4.429654331,1736514.067,6416439.068,5.618,1.712369825,6/16/2025
CorteMadera,xsB,xsB,xsB-15,40.95171918,12.48208401,5.080709605,1736508.988,6416430.578,5.78,1.761747523,6/16/2025
CorteMadera,xsB,xsB,xsB-16,48.5792937,14.80696872,4.161794548,1736506.329,6416423.37,5.676,1.73004826,6/16/2025
CorteMadera,xsB,xsB,xsB-17,56.31684569,17.16537457,5.368673614,1736501.728,6416417.033,5.719,1.743154686,6/16/2025
CorteMadera,xsB,xsB,xsB-18,66.54157265,20.28187134,6.89054696,1736495.713,6416408.626,5.769,1.758394717,6/16/2025
CorteMadera,xsB,xsB,xsB-19,78.66168736,23.97608231,6.820339729,1736490.251,6416397.806,5.751,1.752908306,6/16/2025
CorteMadera,xsB,xsB,xsB-20,93.07674363,28.36979146,8.236563937,1736482.42,6416385.621,5.695,1.735839472,6/16/2025
CorteMadera,xsB,xsB,xsB-21,105.3952353,32.12446772,8.303252976,1736476.746,6416374.687,5.776,1.760528321,6/16/2025
CorteMadera,xsB,xsB,xsB-22,118.6805049,36.17381789,9.250843324,1736469.847,6416363.294,5.908,1.800762002,6/16/2025
CorteMadera,xsB,xsB,xsB-23,127.0039712,38.71081042,8.966730735,1736466.306,6416355.756,5.933,1.808382017,6/16/2025
CorteMadera,xsB,xsB,xsB-24,135.6886542,41.3579018,9.47148221,1736461.898,6416348.256,5.822,1.774549149,6/16/2025
CorteMadera,xsB,xsB,xsB-25,146.8123899,44.74841644,8.356761175,1736457.82,6416337.847,5.621,1.713284227,6/16/2025
CorteMadera,xsB,xsB,xsB-26,160.0790743,48.79210185,8.441023694,1736451.698,6416326.077,5.776,1.760528321,6/16/2025
CorteMadera,xsB,xsB,xsB-27,170.2362292,51.88800266,7.562896119,1736447.85,6416316.636,5.622,1.713589027,6/16/2025
CorteMadera,xsB,xsB,xsB-28,179.6034766,54.74313967,4.819805683,1736446.022,6416307.048,5.619,1.712674625,6/16/2025
CorteMadera,xsB,xsB,xsB-29,189.0421958,57.62006128,2.154380853,1736444.092,6416297.432,5.626,1.71480823,6/16/2025
CorteMadera,xsB,xsB,xsB-30,197.1810804,60.10079331,0.103360848,1736442.208,6416289.253,5.579,1.700482601,6/16/2025
CorteMadera,xsB,xsB,xsB-31,208.6152797,63.58593725,-1.942564864,1736438.817,6416278.143,5.567,1.696824994,6/16/2025
CorteMadera,xsB,xsB,xsB-32,208.6287092,63.59003056,-1.995517049,1736438.858,6416278.107,5.616,1.711760224,6/16/2025
CorteMadera,xsB,xsB,xsB-33,219.2933128,66.84060174,-3.446817305,1736435.289,6416267.953,5.496,1.67518415,6/16/2025
CorteMadera,xsB,xsB,xsB-34,219.2524501,66.82814679,-3.499980277,1736435.355,6416267.965,5.558,1.694081788,6/16/2025
CorteMadera,xsB,xsB,xsB-35,222.0858694,67.69177299,-4.011769928,1736434.519,6416265.21,5.129,1.563322327,6/16/2025
CorteMadera,xsB,xsB,xsB-36,222.7726313,67.90109802,-4.385942655,1736434.539,6416264.428,5.617,1.712065024,6/16/2025
CorteMadera,xsB,xsB,xsB-37,225.5073046,68.73462644,-5.47636537,1736434.263,6416261.497,5.631,1.716332233,6/16/2025
CorteMadera,xsB,xsB,xsB-38,232.3535372,70.82135814,-6.868003565,1736432.381,6416254.769,5.636,1.717856236,6/16/2025
CorteMadera,xsB,xsB,xsB-39,232.3506842,70.82048854,-6.996658414,1736432.497,6416254.713,5.97,1.819659639,6/16/2025
CorteMadera,xsB,xsB,xsB-40,238.0424929,72.55535184,-7.926130702,1736430.73,6416249.223,5.73,1.746507493,6/16/2025
