Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
Gallinas,XSA,XSA,xsA-1,0.89765201,0.183839132,0.119532131,1768032.806,6416899.985,3.434,1.046685293,6/17/2025
Gallinas,XSA,XSA,xsA-2,2.747344866,0.562656229,0.501124289,1768030.951,6416900.34,3.486,1.062534925,6/17/2025
Gallinas,XSA,XSA,xsA-3,4.489366702,0.919422301,0.589145531,1768029.208,6416900.403,3.619,1.103073406,6/17/2025
Gallinas,XSA,XSA,xsA-4,6.887186211,1.410495736,0.821771069,1768026.807,6416900.601,3.747,1.142087884,6/17/2025
Gallinas,XSA,XSA,xsA-5,7.399467187,1.51541088,1.021078134,1768026.292,6416900.793,3.784,1.153365507,6/17/2025
Gallinas,XSA,XSA,xsA-6,7.771466499,1.591596339,0.958501352,1768025.921,6416900.725,3.994,1.217373635,6/17/2025
Gallinas,XSA,XSA,xsA-7,10.36724547,2.123211872,1.069614002,1768023.324,6416900.799,4.386,1.336855474,6/17/2025
Gallinas,XSA,XSA,xsA-8,13.97132736,2.861327844,1.363534235,1768019.716,6416901.041,4.679,1.426162052,6/17/2025
Gallinas,XSA,XSA,xsA-9,17.7191491,3.628881736,1.267419154,1768015.97,6416900.891,4.871,1.484683769,6/17/2025
Gallinas,XSA,XSA,xsA-10,21.05763058,4.312602742,1.526353123,1768012.628,6416901.102,4.994,1.522174244,6/17/2025
Gallinas,XSA,XSA,xsA-11,23.97849086,4.910794929,1.48332661,1768009.708,6416901.017,5.055,1.540767082,6/17/2025
Gallinas,XSA,XSA,xsA-12,25.35517706,5.192740263,1.878139533,1768008.326,6416901.392,5.11,1.557531115,6/17/2025
Gallinas,XSA,XSA,xsA-13pin,27.10485046,5.551073373,2.461399515,1768006.568,6416901.95,5.291,1.612700025,6/17/2025
Gallinas,XSA,XSA,xsA-14,29.14657683,5.969218934,2.631489559,1768004.524,6416902.091,5.442,1.658724917,6/17/2025
Gallinas,XSA,XSA,xsA-15,30.44006917,6.234126166,2.673365859,1768003.23,6416902.114,5.8,1.767843536,6/17/2025
Gallinas,XSA,XSA,xsA-16,31.95950013,6.545305628,2.518992347,1768001.713,6416901.938,5.845,1.781559563,6/17/2025
Gallinas,XSA,XSA,xsA-17,33.73272159,6.908461382,2.102489416,1767999.946,6416901.496,6.022,1.835509271,6/17/2025
Gallinas,XSA,XSA,xsA-18,36.93178718,7.563630015,2.473277449,1767996.742,6416901.821,6.078,1.852578105,6/17/2025
Gallinas,XSA,XSA,xsA-19,40.12299414,8.217189199,2.957153019,1767993.544,6416902.259,6.133,1.869342139,6/17/2025
Gallinas,XSA,XSA,xsA-20,43.05850732,8.818382299,2.396568076,1767990.617,6416901.656,6.099,1.858978918,6/17/2025
Gallinas,XSA,XSA,xsA-21,48.28426889,9.888618268,2.293464337,1767985.393,6416901.478,6.114,1.863550927,6/17/2025
Gallinas,XSA,XSA,xsA-22,53.03337742,10.8612357,2.68586126,1767980.639,6416901.802,6.096,1.858064516,6/17/2025
Gallinas,XSA,XSA,xsA-23,58.68310534,12.01829997,4.201871511,1767974.968,6416903.237,6.184,1.88488697,6/17/2025
Gallinas,XSA,XSA,xsA-24,63.17806524,12.93886776,4.10467625,1767970.475,6416903.075,6.095,1.857759716,6/17/2025
Gallinas,XSA,XSA,xsA-25,69.69825356,14.27420233,3.841342062,1767963.959,6416902.718,6.16,1.877571755,6/17/2025
Gallinas,XSA,XSA,xsA-26,77.23358714,15.81743865,3.878379686,1767956.424,6416902.647,6.119,1.86507493,6/17/2025
Gallinas,XSA,XSA,xsA-27,87.71247517,17.96351491,3.959995938,1767945.945,6416902.578,6.124,1.866598933,6/17/2025
Gallinas,XSA,XSA,xsA-28,98.7531949,20.22465432,3.509601586,1767934.912,6416901.969,6.059,1.846786894,6/17/2025
Gallinas,XSA,XSA,xsA-29,107.9737699,22.11302808,3.749998327,1767925.689,6416902.077,6.109,1.862026924,6/17/2025
Gallinas,XSA,XSA,xsA-30,120.7290277,24.72530488,5.689300567,1767912.907,6416903.833,5.943,1.811430023,6/17/2025
Gallinas,XSA,XSA,xsA-31,129.9199852,26.60761296,5.981442512,1767903.713,6416903.993,5.823,1.77485395,6/17/2025
Gallinas,XSA,XSA,xsA-32,138.3873944,28.34173838,6.711071223,1767895.236,6416904.601,5.952,1.814173228,6/17/2025
Gallinas,XSA,XSA,xsA-33,148.1321628,30.33746694,5.544812547,1767885.509,6416903.295,6.134,1.869646939,6/17/2025
Gallinas,XSA,XSA,xsA-34,160.4171716,32.85343675,4.724128787,1767873.237,6416902.298,6.179,1.883362967,6/17/2025
Gallinas,XSA,XSA,xsA-35,170.668414,34.95289119,4.001541057,1767862.997,6416901.428,6.296,1.919024638,6/17/2025
Gallinas,XSA,XSA,xsA-36,185.9308185,38.07863163,3.039551474,1767847.75,6416900.247,5.953,1.814478029,6/17/2025
Gallinas,XSA,XSA,xsA-37,195.8718324,40.11455127,1.437090924,1767837.833,6416898.502,5.99,1.825755652,6/17/2025
Gallinas,XSA,XSA,xsA-38,203.6030791,41.6979106,-0.400871916,1767830.129,6416896.553,6.027,1.837033274,6/17/2025
Gallinas,XSB,XSB,xsB-1,1.180379431,0.241741707,0.501108574,1768032.165,6416862.675,3.449,1.051257303,6/17/2025
Gallinas,XSB,XSB,xsB-2,2.36625229,0.484608469,0.60052581,1768030.976,6416862.725,3.668,1.118008636,6/17/2025
Gallinas,XSB,XSB,xsB-3,3.991034726,0.817363912,0.425570834,1768029.36,6416862.483,3.629,1.106121412,6/17/2025
Gallinas,XSB,XSB,xsB-4,6.037086411,1.236395297,0.076976986,1768027.33,6416862.05,3.729,1.136601473,6/17/2025
Gallinas,XSB,XSB,xsB-5,7.889170446,1.615702107,0.04279418,1768025.481,6416861.939,3.849,1.173177546,6/17/2025
Gallinas,XSB,XSB,xsB-6,8.971519414,1.837367176,0.033498171,1768024.4,6416861.885,4.091,1.246939294,6/17/2025
Gallinas,XSB,XSB,xsB-7,9.960342397,2.039878123,0.054473708,1768023.411,6416861.865,4.154,1.266141732,6/17/2025
Gallinas,XSB,XSB,xsB-8,12.12514908,2.483230532,0.033259298,1768021.249,6416861.754,4.44,1.353314707,6/17/2025
Gallinas,XSB,XSB,xsB-9,13.84108904,2.834655036,0.146448916,1768019.53,6416861.796,4.575,1.394462789,6/17/2025
Gallinas,XSB,XSB,xsB-10,17.28193139,3.53933955,0.940615097,1768016.059,6416862.447,4.745,1.446278893,6/17/2025
Gallinas,XSB,XSB,xsB-11,19.96118639,4.088050972,1.381072381,1768013.364,6416862.776,4.841,1.475539751,6/17/2025
Gallinas,XSB,XSB,xsB-12,22.92339392,4.694711075,1.7209626,1768010.39,6416862.993,4.992,1.521564643,6/17/2025
Gallinas,XSB,XSB,xsB-13,25.80068723,5.283980744,2.334800153,1768007.49,6416863.487,5.009,1.526746253,6/17/2025
Gallinas,XSB,XSB,xsB-14,26.62054366,5.451887341,2.494891322,1768006.664,6416863.613,5.165,1.574295149,6/17/2025
Gallinas,XSB,XSB,xsB-15,29.8002882,6.103099023,3.53566836,1768003.444,6416864.521,5.376,1.638608077,6/17/2025
Gallinas,XSB,XSB,xsB-16,32.08902166,6.571831635,4.02593242,1768001.137,6416864.916,5.781,1.762052324,6/17/2025
Gallinas,XSB,XSB,xsB-17,35.75328605,7.322272983,4.333860492,1767997.463,6416865.072,5.893,1.796189992,6/17/2025
Gallinas,XSB,XSB,xsB-18pin,46.20012579,9.461785761,5.373574574,1767986.982,6416865.678,6.044,1.842214884,6/17/2025
Gallinas,XSB,XSB,xsB-19,46.27482569,9.477084302,5.456793463,1767986.904,6416865.758,5.966,1.818440437,6/17/2025
Gallinas,XSB,XSB,xsB-20,59.30030703,12.14470288,7.597403875,1767973.801,6416867.357,6.052,1.844653289,6/17/2025
Gallinas,XSB,XSB,xsB-21,68.56877649,14.04288542,8.142988369,1767964.518,6416867.518,6.14,1.871475743,6/17/2025
Gallinas,XSB,XSB,xsB-22,82.86375091,16.97049619,9.087142129,1767950.196,6416867.869,6.235,1.900431801,6/17/2025
Gallinas,XSB,XSB,xsB-23,97.45668735,19.95912957,8.816550979,1767935.627,6416866.994,6.047,1.843129286,6/17/2025
Gallinas,XSB,XSB,xsB-24,110.6509046,22.66130526,7.22079414,1767922.51,6416864.853,6.247,1.904089408,6/17/2025
Gallinas,XSB,XSB,xsB-25,124.1233036,25.42045258,6.336319817,1767909.086,6416863.411,6.358,1.937922276,6/17/2025
Gallinas,XSB,XSB,xsB-26,137.1981332,28.09817768,3.905832911,1767896.123,6416860.441,6.237,1.901041402,6/17/2025
Gallinas,XSB,XSB,xsB-27,149.3575585,30.58842798,4.046903967,1767883.968,6416860.078,6.174,1.881838964,6/17/2025
Gallinas,XSB,XSB,xsB-28,162.5546141,33.29118496,2.438130236,1767870.849,6416857.924,6.083,1.854102108,6/17/2025
Gallinas,XSB,XSB,xsB-29,175.2041412,35.88180811,1.893868419,1767858.233,6416856.856,6.22,1.895859792,6/17/2025
Gallinas,XSB,XSB,xsB-30,183.7574515,37.63352607,1.480850276,1767849.704,6416856.089,6.076,1.851968504,6/17/2025
Gallinas,XSB,XSB,xsB-31,193.6931809,39.66836345,1.115309149,1767839.792,6416855.312,6.229,1.898602997,6/17/2025
Gallinas,XSB,XSB,xsB-32,204.1647,41.81293056,0.222218038,1767829.212,6416853.914,6.122,1.865989332,6/17/2025
Gallinas,XSC,XSC,xsC-1,0.548969315,0.112428916,-0.05142206,1768028.964,6416998.635,3.386,1.032054864,6/17/2025
Gallinas,XSC,XSC,xsC-2,2.712981055,0.55561852,-0.322858453,1768026.789,6416998.472,3.463,1.055524511,6/17/2025
Gallinas,XSC,XSC,xsC-3,4.255102376,0.871444967,-0.779355953,1768025.226,6416998.093,3.938,1.200304801,6/17/2025
Gallinas,XSC,XSC,xsC-4,5.257755154,1.076788256,-1.033799543,1768024.212,6416997.889,4.581,1.396291593,6/17/2025
Gallinas,XSC,XSC,xsC-5,7.158136408,1.465986336,-1.275961337,1768022.302,6416997.742,4.861,1.481635763,6/17/2025
Gallinas,XSC,XSC,xsC-6,9.062335316,1.855966273,-1.540322982,1768020.387,6416997.573,4.876,1.486207772,6/17/2025
Gallinas,XSC,XSC,xsC-7,12.57885682,2.576149877,-2.013394255,1768016.851,6416997.276,5.097,1.553568707,6/17/2025
Gallinas,XSC,XSC,xsC-8,14.97998837,3.067901618,-2.154446408,1768014.446,6416997.255,4.961,1.512115824,6/17/2025
Gallinas,XSC,XSC,xsC-9,15.98629525,3.273993266,-2.454076199,1768013.426,6416997.006,4.562,1.390500381,6/17/2025
Gallinas,XSC,XSC,xsC-10,18.20853771,3.729108523,-2.986618946,1768011.18,6416996.585,4.487,1.367640335,6/17/2025
Gallinas,XSC,XSC,xsC-11,20.51268532,4.200997954,-3.77980902,1768008.839,6416995.908,4.505,1.373126746,6/17/2025
Gallinas,XSC,XSC,xsC-12,24.67048078,5.052514464,-4.205769698,1768004.665,6416995.69,4.254,1.296621793,6/17/2025
Gallinas,XSC,XSC,xsC-13,24.66545123,5.051484412,-4.227527309,1768004.669,6416995.668,4.534,1.381965964,6/17/2025
Gallinas,XSC,XSC,xsC-14,31.05253081,6.359558311,-3.487745467,1767998.327,6416996.726,3.917,1.193903988,6/17/2025
Gallinas,XSC,XSC,xsC-15,36.03503648,7.379975471,-4.238421503,1767993.313,6416996.225,4.465,1.360934722,6/17/2025
Gallinas,XSC,XSC,xsC-16,43.3443686,8.876926689,-4.697751953,1767985.99,6416996.131,4.464,1.360629921,6/17/2025
Gallinas,XSC,XSC,xsC-17,46.25464361,9.472951011,-5.141503429,1767983.061,6416995.833,4.485,1.367030734,6/17/2025
Gallinas,XSC,XSC,xsC-18,47.00013009,9.625626642,-4.731361619,1767982.337,6416996.28,4.877,1.486512573,6/17/2025
Gallinas,XSC,XSC,xsC-19,49.04632378,10.04468711,-4.757437086,1767980.292,6416996.356,4.974,1.516078232,6/17/2025
Gallinas,XSC,XSC,xsC-20,51.57647701,10.56286249,-4.900011431,1767977.758,6416996.34,5.32,1.621539243,6/17/2025
Gallinas,XSC,XSC,xsC-21,52.50486271,10.75299588,-5.174722523,1767976.817,6416996.112,5.585,1.702311405,6/17/2025
Gallinas,XSC,XSC,xsC-22,53.54013116,10.96501886,-5.059270961,1767975.789,6416996.279,6.263,1.908966218,6/17/2025
Gallinas,XSC,XSC,xsC-23pin,55.93269854,11.45501666,-5.588502204,1767973.373,6416995.87,6.209,1.892506985,6/17/2025
Gallinas,XSC,XSC,xsC-24,58.91000612,12.06476925,-5.210430152,1767970.418,6416996.396,6.296,1.919024638,6/17/2025
Gallinas,XSC,XSC,xsC-25,70.46931594,14.4321159,-2.510229413,1767959.008,6416999.67,6.133,1.869342139,6/17/2025
Gallinas,XSC,XSC,xsC-26,83.01225795,17.00091043,-0.142688282,1767946.599,6417002.661,6.2,1.88976378,6/17/2025
Gallinas,XSC,XSC,xsC-27,96.13566793,19.68858479,1.384130033,1767933.568,6417004.841,6.096,1.858064516,6/17/2025
Gallinas,XSC,XSC,xsC-28,110.1589514,22.56055324,4.444702474,1767919.715,6417008.598,6.219,1.895554991,6/17/2025
Gallinas,XSC,XSC,xsC-29,125.5158294,25.70564187,5.196974546,1767904.415,6417010.116,6.022,1.835509271,6/17/2025
Gallinas,XSC,XSC,xsC-30,138.2685299,28.31739493,6.332693269,1767891.735,6417011.887,5.89,1.795275591,6/17/2025
Gallinas,XSC,XSC,xsC-31,141.571358,28.99381412,5.928447436,1767888.416,6417011.648,5.313,1.619405639,6/17/2025
Gallinas,XSC,XSC,xsC-32,143.1522919,29.31758938,5.505815498,1767886.816,6417011.305,5.618,1.712369825,6/17/2025
Gallinas,XSC,XSC,xsC-33,156.7952666,32.11167061,0.97815826,1767872.964,6417007.464,5.863,1.787045974,6/17/2025
Gallinas,XSC,XSC,xsC-34,173.0492395,35.44048424,-1.529374852,1767856.605,6417005.771,6.137,1.870561341,6/17/2025
Gallinas,XSC,XSC,xsC-35,190.1873803,38.95037548,-1.654199844,1767839.482,6417006.502,6.062,1.847701295,6/17/2025
Gallinas,XSC,XSC,xsC-36,203.5204422,41.68098657,-2.064473073,1767826.145,6417006.758,6.021,1.83520447,6/17/2025
Gallinas,XSC,XSC,xsC-37,217.0721797,44.45638241,0.151792689,1767812.721,6417009.648,6.05,1.844043688,6/17/2025
Gallinas,XSD,XSD,xsD-1,0.648103753,0.132731649,0.270863423,1768027.497,6417040.153,3.951,1.204267209,6/17/2025
Gallinas,XSD,XSD,xsD-2,3.617010455,0.740763741,-0.744482963,1768024.434,6417039.472,3.99,1.216154432,6/17/2025
Gallinas,XSD,XSD,xsD-3,6.703062331,1.372787165,-1.249973323,1768021.311,6417039.311,4.212,1.283820168,6/17/2025
Gallinas,XSD,XSD,xsD-4,7.744721025,1.586118866,-1.319670995,1768020.268,6417039.357,4.377,1.334112268,6/17/2025
Gallinas,XSD,XSD,xsD-5,9.450642321,1.935491547,-1.560667894,1768018.546,6417039.306,4.385,1.336550673,6/17/2025
Gallinas,XSD,XSD,xsD-6,12.28853659,2.516692293,-1.925977017,1768015.685,6417039.257,4.538,1.383185166,6/17/2025
Gallinas,XSD,XSD,xsD-7,15.85295152,3.246684471,-2.600236178,1768012.068,6417038.981,4.725,1.44018288,6/17/2025
Gallinas,XSD,XSD,xsD-8,19.02121341,3.895544506,-3.090776709,1768008.865,6417038.844,4.88,1.487426975,6/17/2025
Gallinas,XSD,XSD,xsD-9,21.74001978,4.452356051,-3.440523311,1768006.124,6417038.797,4.874,1.485598171,6/17/2025
Gallinas,XSD,XSD,xsD-10,22.99827956,4.710047654,-3.42670843,1768004.875,6417038.95,5.01,1.527051054,6/17/2025
Gallinas,XSD,XSD,xsD-11,27.48231315,5.628377733,-3.819714252,1768000.375,6417039.055,5.644,1.720294641,6/17/2025
Gallinas,XSD,XSD,xsD-12,25.30170175,5.181788519,-3.768524809,1768002.548,6417038.865,5.403,1.646837694,6/17/2025
Gallinas,XSD,XSD,xsD-13,29.391136,6.019304652,-3.340875805,1767998.531,6417039.742,5.66,1.72517145,6/17/2025
Gallinas,XSD,XSD,xsD-14pin,31.85491398,6.523886384,-2.808253264,1767996.141,6417040.544,5.601,1.707188214,6/17/2025
