Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
Giant,xsA,xsA,XSA-1,0.521711713,0.15901773,-0.295709455,2188638.407,6025878.224,3.096,0.943662687,6/2/2025
Giant,xsA,xsA,XSA-2,6.05274423,1.844876441,0.227158655,2188639.434,6025883.684,3.368,1.026568453,6/2/2025
Giant,xsA,xsA,XSA-3,9.011020768,2.74655913,0.474500095,2188639.951,6025886.607,3.513,1.070764542,6/2/2025
Giant,xsA,xsA,XSA-4,9.30272862,2.835471683,0.436487177,2188639.94,6025886.901,3.698,1.127152654,6/2/2025
Giant,xsA,xsA,XSA-5,9.50660886,2.897614381,0.493196162,2188640.015,6025887.099,3.778,1.151536703,6/2/2025
Giant,xsA,xsA,XSA-6,9.871109789,3.008714264,0.415546151,2188639.971,6025887.469,4.085,1.24511049,6/2/2025
Giant,xsA,xsA,XSA-7,10.29134176,3.136800969,0.34562306,2188639.94,6025887.894,4.213,1.284124968,6/2/2025
Giant,xsA,xsA,XSA-8,10.66373764,3.250307232,0.321609345,2188639.95,6025888.267,4.326,1.318567437,6/2/2025
Giant,xsA,xsA,XSA-9,11.24442186,3.427299783,0.366419186,2188640.048,6025888.841,4.41,1.344170688,6/2/2025
Giant,xsA,xsA,XSA-10,12.22090101,3.724930627,0.46973748,2188640.24,6025889.804,4.722,1.439268479,6/2/2025
Giant,xsA,xsA,XSA-11,12.46684366,3.799893949,0.349610744,2188640.143,6025890.06,4.893,1.491389383,6/2/2025
Giant,xsA,xsA,XSA-12,12.45883335,3.797452404,0.359242563,2188640.152,6025890.051,4.88,1.487426975,6/2/2025
Giant,xsA,xsA,XSA-13,12.94334317,3.945130999,0.648130691,2188640.484,6025890.507,5.33,1.624587249,6/2/2025
Giant,xsA,xsA,XSA-14,13.59975837,4.14520635,0.71036054,2188640.606,6025891.155,6.561,1.9997968,6/2/2025
Giant,xsA,xsA,XSA-15,14.30446716,4.360001591,0.828443988,2188640.788,6025891.846,6.682,2.036677673,6/2/2025
Giant,xsA,xsA,XSA-16,16.41938291,5.004627911,0.990543014,2188641.143,6025893.937,6.66,2.02997206,6/2/2025
Giant,xsA,xsA,XSA-17-pin,18.45343038,5.624605579,1.226297411,2188641.564,6025895.941,6.806,2.074472949,6/2/2025
Giant,xsA,xsA,XSA-18,23.51469813,7.16727999,1.412796883,2188642.213,6025900.964,6.73,2.051308103,6/2/2025
Giant,xsA,xsA,XSA-19,28.1438021,8.578230879,1.528645667,2188642.752,6025905.563,6.554,1.997663195,6/2/2025
Giant,xsA,xsA,XSA-20,35.04256755,10.68097459,1.887915863,2188643.741,6025912.4,6.497,1.980289561,6/2/2025
Giant,xsA,xsA,XSA-21,43.27350889,13.18976551,2.230832984,2188644.836,6025920.565,6.349,1.93517907,6/2/2025
Giant,xsA,xsA,XSA-22,50.10456924,15.2718727,2.638497683,2188645.867,6025927.33,6.328,1.928778258,6/2/2025
Giant,xsA,xsA,XSA-23,58.60606703,17.86312923,2.551963299,2188646.559,6025935.804,6.228,1.898298197,6/2/2025
Giant,xsA,xsA,XSA-24,67.35175622,20.5288153,1.240104126,2188646.053,6025944.633,6.274,1.912319025,6/2/2025
Giant,xsA,xsA,XSA-25,78.26806129,23.85610508,0.904277443,2188646.718,6025955.534,6.389,1.947371095,6/2/2025
Giant,xsA,xsA,XSA-26,86.51327617,26.36924658,0.724996652,2188647.294,6025963.761,6.322,1.926949454,6/2/2025
Giant,xsA,xsA,XSA-27,94.80122335,28.89541288,0.684447147,2188648.012,6025972.018,6.338,1.931826264,6/2/2025
Giant,xsA,xsA,XSA-28,101.1891784,30.84246159,0.293028685,2188648.207,6025978.415,6.111,1.862636525,6/2/2025
Giant,xsA,xsA,XSA-29,110.0282253,33.53660308,1.014949739,2188649.735,6025987.151,6.191,1.887020574,6/2/2025
Giant,xsA,xsA,XSA-30,116.9404053,35.64343553,1.093599706,2188650.446,6025994.027,6.148,1.873914148,6/2/2025
Giant,xsA,xsA,XSA-31,122.3606179,37.29551633,0.901827763,2188650.751,6025999.442,6.031,1.838252476,6/2/2025
Giant,xsA,xsA,XSA-32,129.4174677,39.44644415,0.726341236,2188651.222,6026006.485,6.082,1.853797308,6/2/2025
Giant,xsA,xsA,XSA-33,138.1164007,42.09787895,0.457915767,2188651.751,6026015.172,5.984,1.823926848,6/2/2025
Giant,xsA,xsA,XSA-34,145.804506,44.44121342,0.164117808,2188652.162,6026022.855,6.161,1.877876556,6/2/2025
Giant,xsA,xsA,XSA-35,152.4197532,46.45754077,0.2239338,2188652.827,6026029.437,6.157,1.876657353,6/2/2025
Giant,xsA,xsA,XSA-36,159.4730638,48.60738985,-0.434554302,2188652.817,6026036.521,6.301,1.920548641,6/2/2025
Giant,xsA,xsA,XSA-37,161.980456,49.37164299,-0.414945632,2188653.066,6026039.016,6.36,1.938531877,6/2/2025
Giant,xsB,xsB,XSB-1,0.995464475,0.303417572,-0.177271867,2188545.383,6025895.967,3.723,1.13477267,6/2/2025
Giant,xsB,xsB,XSB-2,4.991311784,1.521351832,0.304602855,2188545.741,6025899.976,4.023,1.226212852,6/2/2025
Giant,xsB,xsB,XSB-3,8.970504472,2.734209763,0.592956222,2188545.906,6025903.962,4.496,1.370383541,6/2/2025
Giant,xsB,xsB,XSB-4,10.29917669,3.139189056,0.626231672,2188545.898,6025905.291,4.553,1.387757176,6/2/2025
Giant,xsB,xsB,XSB-5,10.76534536,3.281277267,0.719448165,2188545.977,6025905.76,4.668,1.422809246,6/2/2025
Giant,xsB,xsB,XSB-6,11.73842246,3.577871167,0.92585271,2188546.153,6025906.739,5.61,1.70993142,6/2/2025
Giant,xsB,xsB,XSB-7,12.23789011,3.730108906,0.887163116,2188546.099,6025907.237,5.778,1.761137922,6/2/2025
Giant,xsB,xsB,XSB-8,12.68806586,3.867322473,0.956250923,2188546.154,6025907.689,6.274,1.912319025,6/2/2025
Giant,xsB,xsB,XSB-9,13.63548193,4.156094892,0.825413984,2188545.994,6025908.632,6.436,1.961696723,6/2/2025
Giant,xsB,xsB,XSB-10,14.58672133,4.446032661,0.475758925,2188545.615,6025909.572,6.687,2.038201676,6/2/2025
Giant,xsB,xsB,XSB-11,15.05521883,4.5888307,0.50438414,2188545.629,6025910.041,6.866,2.092760986,6/2/2025
Giant,xsB,xsB,XSB-12-pin,17.03073901,5.190969251,3.423892045,2188548.486,6025912.106,6.703,2.043078486,6/2/2025
Giant,xsB,xsB,XSB-13,21.77455894,6.636885564,1.534746438,2188546.451,6025916.789,6.745,2.055880112,6/2/2025
Giant,xsB,xsB,XSB-14,27.51310692,8.385994991,2.215680549,2188546.954,6025922.546,6.627,2.01991364,6/2/2025
Giant,xsB,xsB,XSB-15,33.97650075,10.35603743,3.275206571,2188547.813,6025929.039,6.461,1.969316739,6/2/2025
Giant,xsB,xsB,XSB-16,40.92538613,12.47405769,4.153810138,2188548.476,6025936.012,6.366,1.940360681,6/2/2025
Giant,xsB,xsB,XSB-17,48.89186793,14.90224134,4.140590911,2188548.216,6025943.974,6.273,1.912014224,6/2/2025
Giant,xsB,xsB,XSB-18,54.97863117,16.75748678,4.272003538,2188548.159,6025950.062,6.383,1.945542291,6/2/2025
Giant,xsB,xsB,XSB-19,63.04228055,19.21528711,3.887599552,2188547.525,6025958.11,6.375,1.943103886,6/2/2025
Giant,xsB,xsB,XSB-20,72.38457169,22.06281745,3.604508426,2188546.953,6025967.439,6.327,1.928473457,6/2/2025
Giant,xsB,xsB,XSB-21,80.20671655,24.44700721,3.111526138,2188546.218,6025975.242,6.396,1.949504699,6/2/2025
Giant,xsB,xsB,XSB-22,88.43176634,26.95400238,2.136692665,2188544.989,6025983.433,6.373,1.942494285,6/2/2025
Giant,xsB,xsB,XSB-23,98.94840835,30.15947486,0.987641345,2188543.515,6025993.909,6.364,1.939751079,6/2/2025
Giant,xsB,xsB,XSB-24,108.8456664,33.17615911,0.325881079,2188542.547,6026003.781,6.343,1.933350267,6/2/2025
Giant,xsB,xsB,XSB-25,117.5082624,35.81651839,-0.373464138,2188541.58,6026012.418,6.272,1.911709423,6/2/2025
Giant,xsB,xsB,XSB-26,126.1101168,38.43836361,-0.680145428,2188541.007,6026021.006,6.389,1.947371095,6/2/2025
Giant,xsB,xsB,XSB-27,134.8362916,41.09810168,-0.592041501,2188540.825,6026029.731,6.193,1.887630175,6/2/2025
Giant,xsC,xsC,XSC-1,0.809815355,0.24683172,-0.082646463,2188369.511,6025869.868,2.747,0.837287275,6/2/2025
Giant,xsC,xsC,XSC-2,4.546863754,1.385884072,-1.203679856,2188368.218,6025873.549,2.862,0.872339345,6/2/2025
Giant,xsC,xsC,XSC-3,7.859796611,2.395666007,-2.117106985,2188367.152,6025876.816,3.088,0.941224282,6/2/2025
Giant,xsC,xsC,XSC-4,9.305888024,2.83643467,-2.541702642,2188366.661,6025878.241,3.132,0.954635509,6/2/2025
Giant,xsC,xsC,XSC-5,10.18568642,3.10459722,-2.731129197,2188366.431,6025879.111,3.249,0.990297181,6/2/2025
Giant,xsC,xsC,XSC-6,10.65102127,3.246431284,-2.984775282,2188366.156,6025879.564,3.471,1.057962916,6/2/2025
Giant,xsC,xsC,XSC-7,11.33975251,3.456356564,-3.183063995,2188365.926,6025880.243,3.736,1.138735077,6/2/2025
Giant,xsC,xsC,XSC-8,12.02341455,3.664736754,-3.328709599,2188365.749,6025880.919,4.019,1.22499365,6/2/2025
