Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
SanPablo,xsA,xsA,XSA-1,1.182223904,0.36034184590,0.15445927670,1804057.339,6425353.882,2.461,0.75011430000,6/3/2025
SanPablo,xsA,xsA,XSA-2,2.772088722,0.84493264238,0.53455086675,1804058.927,6425353.494,2.517,0.76718313400,6/3/2025
SanPablo,xsA,xsA,XSA-3,4.647062619,1.41642468637,0.91484183688,1804060.800,6425353.104,2.738,0.83454406900,6/3/2025
SanPablo,xsA,xsA,XSA-4,6.687428342,2.03832815853,1.75657213892,1804062.836,6425352.252,2.969,0.90495301000,6/3/2025
SanPablo,xsA,xsA,XSA-5,7.571361576,2.30775100840,1.38005306223,1804063.722,6425352.624,3.198,0.97475235000,6/3/2025
SanPablo,xsA,xsA,XSA-6,8.201256082,2.49974285376,1.56814430285,1804064.351,6425352.433,3.189,0.97200914400,6/3/2025
SanPablo,xsA,xsA,XSA-7,9.176581703,2.79702210308,1.81223297572,1804065.325,6425352.184,3.319,1.01163322300,6/3/2025
SanPablo,xsA,xsA,XSA-8,10.655277169,3.24772848111,2.13776777011,1804066.802,6425351.851,3.473,1.05857251700,6/3/2025
SanPablo,xsA,xsA,XSA-9,12.472686830,3.80167494584,2.61841637189,1804068.617,6425351.361,3.671,1.11892303800,6/3/2025
SanPablo,xsA,xsA,XSA-10,14.722514233,4.48742233825,2.96892520560,1804070.865,6425350.999,3.800,1.15824231600,6/3/2025
SanPablo,xsA,xsA,XSA-11,18.388370161,5.60477522507,3.51470675254,1804074.528,6425350.435,3.771,1.14940309900,6/3/2025
SanPablo,xsA,xsA,XSA-12,21.306180650,6.49412386209,4.44878785478,1804077.441,6425349.486,3.927,1.19695199400,6/3/2025
SanPablo,xsA,xsA,XSA-13,24.481488245,7.46195761711,5.30774774117,1804080.612,6425348.611,4.022,1.22590805200,6/3/2025
SanPablo,xsA,xsA,XSA-14,25.045022605,7.63372289003,5.41382443238,1804081.175,6425348.502,4.097,1.24876809800,6/3/2025
SanPablo,xsA,xsA,XSA-15,25.840232782,7.87610295183,5.65882348096,1804081.969,6425348.253,4.410,1.34417068800,6/3/2025
SanPablo,xsA,xsA,XSA-16,26.838195606,8.18028202071,5.83783640937,1804082.966,6425348.069,4.890,1.49047498100,6/3/2025
SanPablo,xsA,xsA,XSA-17,29.750787297,9.06803996797,6.51833222976,1804085.875,6425347.374,5.149,1.56941833900,6/3/2025
SanPablo,xsA,xsA,XSA-18,32.610879442,9.93979605380,7.13281973534,1804088.732,6425346.745,5.201,1.58526797100,6/3/2025
SanPablo,xsA,xsA,XSA-19,35.803539981,10.91291898615,7.46543952167,1804091.923,6425346.396,5.444,1.65933451900,6/3/2025
SanPablo,xsA,xsA,XSA-20,38.940004220,11.86891328632,7.71468105303,1804095.058,6425346.131,5.511,1.67975616000,6/3/2025
SanPablo,xsA,xsA,XSA-21,42.115407222,12.83677612117,8.39778553941,1804098.230,6425345.432,5.617,1.71206502400,6/3/2025
SanPablo,xsA,xsA,XSA-22,44.645791020,13.60803710277,8.49687361968,1804100.760,6425345.320,5.808,1.77028194100,6/3/2025
SanPablo,xsA,xsA,XSA-23,47.801326074,14.56984418736,8.94910491288,1804103.913,6425344.852,5.870,1.78917957800,6/3/2025
SanPablo,xsA,xsA,XSA-24pin,49.302465402,15.02739145465,9.75550258304,1804105.410,6425344.038,5.905,1.79984760000,6/3/2025
SanPablo,xsA,xsA,XSA-25,53.058881751,16.17234715780,10.04327769260,1804109.165,6425343.731,5.807,1.76997714000,6/3/2025
SanPablo,xsA,xsA,XSA-26,53.647543486,16.35177125438,9.60328972047,1804109.756,6425344.168,5.549,1.69133858300,6/3/2025
SanPablo,xsA,xsA,XSA-27,55.068867090,16.78499068888,10.06723936010,1804111.175,6425343.697,5.485,1.67183134400,6/3/2025
SanPablo,xsA,xsA,XSA-28,55.454525611,16.90253940623,9.18929635891,1804111.565,6425344.573,5.894,1.79649479300,6/3/2025
SanPablo,xsA,xsA,XSA-29,58.710360760,17.89491795956,8.97369067327,1804114.822,6425344.772,6.019,1.83459486900,6/3/2025
