Point ID,Northing,Easting,Elevation_ussft,Elevation_m
RTCM0000,2204986.001,5978101.449,16.527,5.037439675
BM1-1a,2196783.161,5986419.096,8.332,2.539598679
BM1-1b,2196783.162,5986419.095,8.319,2.535636271
BM1-1c,2196783.169,5986419.09,8.32,2.535941072
BM1-1d,2196783.167,5986419.089,8.33,2.538989078
BM1-1e,2196783.164,5986419.092,8.345,2.543561087
B1-48a,2198385.482,5984794.752,6.092,1.856845314
B1-48b,2198385.305,5984795.209,6.072,1.850749301
B1-48c,2198385.246,5984795.745,6.075,1.851663703
B1-24a,2198464.097,5984799.402,6.116,1.864160528
B1-24b,2198463.964,5984799.903,6.132,1.869037338
B1-24c,2198463.899,5984800.554,6.14,1.871475743
B1-18a,2198483.602,5984800.149,6.147,1.873609347
B1-18b,2198483.557,5984800.542,6.15,1.874523749
B1-18c,2198483.528,5984801.068,6.17,1.880619761
B1-12a,2198503.084,5984801.059,6.064,1.848310897
B1-12b,2198503.113,5984801.369,6.057,1.846177292
B1-12c,2198503.087,5984801.825,6.046,1.842824486
B1-6a,2198522.795,5984802.38,5.951,1.813868428
B1-6b,2198522.836,5984802.983,5.926,1.806248412
B1-6c,2198522.84,5984803.638,5.923,1.805334011
B1-2a,2198535.633,5984802.497,5.813,1.771805944
B1-2b,2198535.667,5984802.937,5.838,1.779425959
B1-2c,2198535.588,5984803.477,5.797,1.766929134
B1-0.5a,2198540.663,5984802.158,5.428,1.654457709
B1-0.5b,2198540.759,5984802.715,5.446,1.65994412
B1-0.5c,2198540.879,5984803.241,5.45,1.661163322
B-ME-1,2198542.635,5984805.908,5.33,1.624587249
B-ME-2,2198545.171,5984809.059,5.214,1.589230378
B-ME-3,2198547.831,5984812.202,5.014,1.528270257
B-ME-4,2198548.968,5984815.598,4.948,1.508153416
B-ME-5,2198548.871,5984820.929,4.966,1.513639827
B-ME-6,2198550.755,5984825.588,4.948,1.508153416
B-ME-7,2198549.749,5984828.966,4.975,1.516383033
B-ME-8,2198548.293,5984831.368,5.054,1.540462281
B-ME-9,2198547.2,5984833.524,5.144,1.567894336
B-ME-10,2198546.61,5984837.112,5.157,1.571856744
B-ME-11,2198546.272,5984839.283,5.137,1.565760732
B2-0.5,2198543.373,5984839.572,5.356,1.632512065
B2-0.5a,2198543.367,5984839.579,5.365,1.635255271
B2-0.5b,2198543.277,5984840.128,5.391,1.643180086
B2-0.5c,2198543.278,5984840.123,5.383,1.640741681
B2-0.5d,2198543.202,5984840.579,5.373,1.637693675
B2-2a,2198538.801,5984838.884,5.818,1.773329947
B2-2b,2198538.617,5984839.458,5.792,1.765405131
B2-2c,2198538.559,5984839.865,5.806,1.769672339
B2-6a,2198525.55,5984837.765,6.049,1.843738887
B2-6b,2198525.48,5984838.139,6.035,1.839471679
B2-6c,2198525.426,5984838.569,6.029,1.837642875
B2-12a,2198505.959,5984835.267,6.037,1.84008128
B2-12b,2198505.924,5984835.649,6.023,1.835814072
B2-12c,2198505.877,5984836.204,5.978,1.822098044
B2-18a,2198486.581,5984832.524,6.008,1.831242062
B2-18b,2198486.466,5984832.948,5.994,1.826974854
B2-18c,2198486.393,5984833.457,6.038,1.840386081
B2-24a,2198467.187,5984830.254,5.993,1.826670053
B2-24b,2198466.913,5984830.867,6.002,1.829413259
B2-24c,2198466.939,5984831.164,6.052,1.844653289
B2-48a,2198388.96,5984820.979,6.042,1.841605283
B2-48b,2198388.79,5984821.492,6.078,1.852578105
B2-48c,2198388.71,5984821.855,6.068,1.849530099
Bm1-2a,2196783.205,5986419.063,8.284,2.52496825
Bm1-2b,2196783.2,5986419.067,8.305,2.531369063
Bm1-2c,2196783.194,5986419.077,8.268,2.52009144
Bm1-2d,2196783.201,5986419.079,8.284,2.52496825
Bm1-2e,2196783.195,5986419.074,8.304,2.531064262
