Point ID,Northing,Easting,Elevation_ussft,Elevation_m
RTCM0000,2204986.001,5978101.449,16.527,5.037439675
C-BM1-1,2169921.033,5975028.142,17.349,5.287985776
C-BM1-2,2169921.046,5975028.144,17.359,5.291033782
C-BM1-3,2169921.024,5975028.136,17.343,5.286156972
C-1-48A,2167132.639,5983689.6,5.684,1.732486665
C-1-48B,2167132.173,5983689.705,5.613,1.710845822
C-1-48C,2167131.764,5983689.874,5.599,1.706578613
C-1-24A,2167159.439,5983759.837,5.643,1.71998984
C-1-24B,2167158.914,5983760.08,5.638,1.718465837
C-1-24C,2167158.47,5983760.156,5.624,1.714198628
C-1-18A,2167166.319,5983778.41,5.511,1.67975616
C-1-18B,2167165.936,5983778.728,5.478,1.669697739
C-1-18C,2167165.502,5983779.418,5.484,1.671526543
C-1-6A,2167179.617,5983815.127,5.461,1.664516129
C-1-6B,2167179.19,5983814.717,5.453,1.662077724
C-1-6C,2167178.715,5983814.884,5.423,1.652933706
C-1-2A,2167184.363,5983827.391,5.401,1.646228092
C-1-2B,2167183.739,5983827.638,5.407,1.648056896
C-1-2C,2167183.33,5983827.622,5.401,1.646228092
C-1-0.5.A,2167185.822,5983831.898,5.444,1.659334519
C-1-0.5.B,2167185.146,5983831.997,5.474,1.668478537
C-1-0.5.C,2167184.582,5983831.953,5.451,1.661468123
CME-1,2167189.538,5983839.3,5.034,1.534366269
CME-2,2167180.838,5983852.24,4.52,1.377698755
CME-3,2167170.198,5983864.077,4.367,1.331064262
CME-4,2167157.171,5983854.91,5.186,1.580695961
CME-5,2167147.974,5983858.613,4.789,1.459690119
CME-6,2167134.992,5983853.652,5.42,1.652019304
CME-7,2167121.18,5983863.947,4.878,1.486817374
CME-8,2167110.053,5983863.568,5.473,1.668173736
CME-9,2167102.436,5983873.78,4.737,1.443840488
CME-10,2167094.38,5983876.668,5.002,1.524612649
CME-11,2167091.166,5983861.099,5.125,1.562103124
CME-12,2167086.031,5983882.146,4.726,1.440487681
CME-13,2167086.033,5983882.151,4.754,1.449022098
CME-14,2167082.16,5983900.306,4.45,1.356362713
C2-0.5A,2167077.919,5983895.255,5.319,1.621234442
C2-0.5B,2167077.544,5983895.463,5.378,1.639217678
C2-0.5C,2167077.186,5983895.635,5.412,1.649580899
C2-2A,2167075.59,5983891.581,5.434,1.656286513
C2-2B,2167075.202,5983891.731,5.428,1.654457709
C2-2C,2167074.875,5983891.799,5.432,1.655676911
C2-6A,2167069.797,5983879.828,5.454,1.662382525
C2-6B,2167069.338,5983879.865,5.488,1.672745745
C2-6C,2167068.786,5983880.149,5.471,1.667564135
C2-12A,2167061.203,5983862.263,5.462,1.66482093
C2-12B,2167060.75,5983862.496,5.463,1.66512573
C2-12C,2167060.318,5983862.727,5.465,1.665735331
C2-18A,2167052.415,5983844.29,5.454,1.662382525
C2-18B,2167052.063,5983844.521,5.47,1.667259335
C2-18C,2167051.699,5983844.896,5.503,1.677317755
C2-24A,2167043.625,5983827.08,5.51,1.679451359
C2-24B,2167043.232,5983827.296,5.526,1.684328169
C2-24C,2167042.918,5983827.452,5.496,1.67518415
C2-48A,2167007.426,5983757.142,5.51,1.679451359
C2-48B,2167007.039,5983757.312,5.519,1.682194564
C2-48C,2167006.734,5983757.426,5.489,1.673050546
C1-12A,2167172.977,5983797.024,5.385,1.641351283
C1-12B,2167172.601,5983797.241,5.396,1.644704089
C1-12C,2167172.013,5983797.441,5.443,1.659029718
C-BM-4,2169921.059,5975028.191,17.236,5.253543307
C-BM-5,2169921.066,5975028.185,17.226,5.250495301
C-BM-6,2169921.07,5975028.166,17.216,5.247447295
