Official_ID,Point_ID,Northing,Easting,Elevation_ussft
BM1,RTCM0000,2204986.001,5978101.449,16.527
BM2,benchmark-start-1,2196783.188,5986419.018,8.359
BM3,benchmark-start-2,2196783.157,5986419.1,8.367
BM4,benchmark-start-3,2196783.158,5986419.105,8.357
,bl-1-ep-1,2198549.562,5984840.391,4.867
,bl-1-ep-2,2198548.106,5984840.219,4.966
,bl-1-ep-3,2198546.775,5984840.087,5.083
,bl-1-ep-4,2198545.364,5984839.902,5.175
,bl-1-ep-5,2198543.684,5984839.668,5.306
,bl-1-ep-6,2198541.358,5984839.21,5.648
,bl-1-ep-7,2198539.254,5984838.881,5.809
,bl-1-ep-8,2198536.353,5984838.465,5.926
,bl-1-ep-9,2198534.116,5984838.608,5.958
,bl-2-ep-10,2198531.625,5984838.126,5.942
,bl-2-ep-11,2198529.75,5984837.958,6.003
,bl-2-ep-12,2198526.984,5984837.666,6.044
,bl-2-ep-13,2198524.422,5984837.08,6.015
,bl-2-ep-14,2198521.874,5984836.49,6.03
,bl-2-ep-15,2198518.926,5984836.42,6.233
,bl-2-ep-16,2198516.08,5984836.122,6.057
,bl-2-ep-17,2198513.286,5984835.83,6.037
,bl-2-ep-18,2198510.696,5984835.683,6.083
,bl-2-ep-19,2198507.989,5984835.378,6.107
,bl-2-ep-20,2198504.614,5984834.729,6.05
,bl-2-ep-21,2198501.587,5984834.269,6.106
,bl-2-ep-22,2198498.579,5984833.962,6.09
,bl-2-ep-23,2198495.281,5984833.449,6.083
,bl-2-ep-24,2198492.088,5984833.138,6.078
,bl-2-ep-25,2198488.922,5984832.486,6.082
,bl-2-ep-26,2198486.488,5984832.12,6.074
,bl-2-ep-27,2198483.935,5984831.792,6.087
,bl-2-ep-28,2198480.925,5984831.526,6.101
,bl-2-ep-29,2198478.353,5984831.186,6.164
,bl-2-ep-30,2198474.511,5984830.396,6.087
,bl-2-ep-31,2198471.324,5984830.219,6.073
,bl-2-ep-32,2198468.837,5984829.907,6.059
,bl-2-ep-33,2198465.947,5984829.506,6.061
,bl-2-ep-34,2198463.144,5984829.234,6.084
,bl-2-ep-35,2198460.406,5984828.581,6.05
,bl-2-ep-36,2198458.23,5984828.516,6.043
,bl-2-ep-37,2198455.327,5984828.358,6.019
,bl-2-ep-38,2198451.761,5984827.894,5.988
,bl-2-ep-39,2198448.284,5984827.316,6.039
,bl-2-ep-40,2198444.111,5984826.453,5.994
,bl-2-ep-41,2198440.782,5984826.193,5.998
,bl-2-ep-42,2198436.993,5984826.043,6.006
,bl-2-ep-43,2198433.092,5984825.745,5.983
,bl-2-ep-44,2198429.062,5984825.974,6.046
,bl-2-ep-45,2198424.898,5984825.283,6.017
,bl-2-ep-46,2198420.896,5984825.548,6.008
,bl-2-ep-47,2198417.666,5984824.963,6.029
,bl-2-ep-48,2198413.754,5984823.787,5.999
,bl-2-ep-49,2198410.831,5984822.975,6.044
,bl-2-ep-50,2198407.016,5984822.514,6.041
,bl-2-ep-51,2198403.087,5984821.816,6.059
,bl-2-ep-52,2198399.891,5984821.494,6.08
,bl-2-ep-53,2198396.373,5984821.387,6.045
,bl-2-ep-54,2198393.195,5984820.92,6.006
,bl-2-ep-55,2198390.013,5984820.528,6.059
,bl-2-ep-56,2198387.965,5984819.982,6.037
,bl-2-ep-57,2198385.066,5984819.666,6.036
,bl-2-ep-58,2198382.385,5984819.274,6.052
,bl-2-ep-59,2198378.566,5984818.534,6.047
,bl-2-ep-60,2198375.122,5984818.1,6.054
,bl-2-ep-61,2198371.354,5984817.369,6.039
,bl-2-ep-62,2198367.516,5984817.055,6.081
,bl-2-ep-63,2198363.125,5984816.449,6.092
,bl-2-ep-64,2198359.443,5984816.301,6.114
,bl-2-ep-65,2198355.909,5984815.373,6.123
,bl-2-ep-66,2198352.085,5984814.636,6.144
,bl-2-ep-67,2198349.066,5984813.677,6.143
,bl-2-ep-68,2198345.696,5984813.01,6.142
,bl-1-tile-48-a,2198385.112,5984794.746,6.033
,bl-1-tile-48-b,2198384.976,5984795.18,6.032
,bl-1-tile-48-c,2198384.805,5984795.673,6.045
,bl-1-green-48-a,2198384.512,5984796.227,6.059
,bl-1-green-48-b,2198384.488,5984796.871,6.071
,bl-1-green-48-c,2198384.214,5984797.556,6.078
,bl-1-tile-24-a,2198463.678,5984799.287,6.096
,bl-1-tile-24-b,2198463.654,5984799.757,6.115
,bl-1-tile-24-c,2198463.415,5984800.352,6.13
,bl-1-green-24-a,2198463.295,5984800.867,6.16
,bl-1-green-24-b,2198463.185,5984801.531,6.128
,bl-1-green-24-c,2198462.971,5984802.181,6.138
,bl-1-tile-18-a,2198483.416,5984800.315,6.112
,bl-1-tile-18-b,2198483.263,5984800.663,6.12
,bl-1-tile-18-c,2198483.169,5984801.121,6.128
,bl-1-green-18-a,2198482.993,5984801.783,6.139
