Official_ID,Point_ID,Northing,Easting,Elevation_ussft
BM1,RTCM0000,2152698.011,5999689.727,38.671
BM2,benchmark-start-1,2169920.973,5975028.169,17.4
BM3,benchmark-start-2,2169920.994,5975028.161,17.385
,c-tile-48-a,2167132.584,5983689.572,5.831
,c-tile-48-b,2167132.199,5983689.705,5.766
,s1-c-tile-48-c,2167131.77,5983689.901,5.734
,s1-c-green-48-a,2167131.258,5983690.125,5.825
,s1-c-green-48-b,2167130.661,5983690.501,5.815
,s1-c-green-48-c,2167130.11,5983690.848,5.79
,s1-c-tile-24-a,2167159.31,5983759.746,5.805
,s1-c-tile-24-b,2167158.873,5983760.054,5.826
,s1-c-tile-24-c,2167158.385,5983760.147,5.78
,s1-c-green-24-a,2167157.665,5983759.78,5.712
,s1-c-green-24-b,2167157.01,5983759.87,5.678
,s1-c-green-24-c,2167156.333,5983760.006,5.768
,s1-c-tile-18-a,2167166.322,5983778.454,5.676
,s1-c-tile-18-b,2167165.785,5983778.882,5.631
,s1-c-tile-18-c,2167165.393,5983779.297,5.676
,s1-c-green-18-a,2167164.866,5983779.587,5.68
,s1-c-green-18-b,2167164.355,5983779.82,5.677
,s1-c-green-18-c,2167163.701,5983780.163,5.67
,s1-c-tile-12-a,2167172.884,5983797.011,5.542
,s1-c-tile-12-b,2167172.52,5983797.221,5.556
,s1-c-tile-12-c,2167172.084,5983797.448,5.605
,s1-c-green-12-a,2167171.508,5983797.587,5.639
,s1-c-green-12-b,2167170.898,5983797.68,5.647
,s1-c-green-12-c,2167170.348,5983797.998,5.661
,s1-c-tile-6-a,2167179.622,5983814.958,5.609
,s1-c-tile-6-b,2167179.224,5983814.889,5.635
,s1-c-tile-6-c,2167178.664,5983814.85,5.582
,s1-c-green-6-a,2167178.214,5983815.101,5.612
,s1-c-green-6-b,2167177.537,5983815.278,5.601
,s1-c-green-6-c,2167176.909,5983815.324,5.616
,s1-c-tile-2-a,2167184.333,5983827.436,5.627
,s1-c-tile-2-b,2167183.75,5983827.492,5.669
,s1-c-tile-2-c,2167183.221,5983827.552,5.625
,s1-c-green-2-a,2167182.676,5983827.673,5.654
,s1-c-green-2-b,2167181.996,5983828.035,5.65
,s1-c-green-2-c,2167181.477,5983828.293,5.643
,s1-c-tile-0.5-a,2167185.815,5983831.846,5.609
,s1-c-tile-0.5-b,2167185.347,5983831.81,5.657
,s1-c-tile-0.5-c,2167185.037,5983831.906,5.615
,s1-c-green-0.5-a,2167184.579,5983832.094,5.591
,s1-c-green-0.5-b,2167184.016,5983832.35,5.644
,s1-c-green-0.5-c,2167183.459,5983832.653,5.659
,s1-c-ep-7,2167186.913,5983834.143,5.525
,s1-c-ep-8,2167186.296,5983832.483,5.583
,s1-c-ep-9,2167185.843,5983830.796,5.549
,s1-c-ep-10,2167184.563,5983828.206,5.588
,s1-c-ep-11,2167182.489,5983823.855,5.594
,s1-c-ep-12,2167181.184,5983820.415,5.558
,s1-c-ep-13,2167180.46,5983816.665,5.617
,s1-c-ep-14,2167179.628,5983812.922,5.584
,s1-c-ep-15,2167177.927,5983809.642,5.581
,s1-c-ep-16,2167176.55,5983805.524,5.587
,s1-c-ep-17,2167175.259,5983801.855,5.647
,s1-c-ep-18,2167173.844,5983797.958,5.547
,s1-c-ep-19,2167172.179,5983793.145,5.627
,s1-c-ep-20,2167170.425,5983788.874,5.651
,s1-c-ep-21,2167168.909,5983785.02,5.672
,s1-c-ep-22,2167167.068,5983780.213,5.622
,s1-c-ep-23,2167166.351,5983777.871,5.577
,s1-c-ep-24,2167164.766,5983773.302,5.563
,s1-c-ep-25,2167163.412,5983770.284,5.605
,s1-c-ep-26,2167162.024,5983766.704,5.743
,s1-c-ep-27,2167160.911,5983762.714,5.791
,s1-c-ep-28,2167159.67,5983759.58,5.804
,s1-c-ep-29,2167158.334,5983755.433,5.665
,s1-c-ep-30,2167157.084,5983751.388,5.646
,s1-c-ep-31,2167155.703,5983747.905,5.766
,s1-c-ep-32,2167154.681,5983745.826,5.424
,s1-c-ep-33,2167153.128,5983741.711,5.769
,s1-c-ep-34,2167151.553,5983737.535,5.788
,s1-c-ep-35,2167149.66,5983733.007,5.824
,s1-c-ep-36,2167147.516,5983727.959,5.862
,s1-c-ep-37,2167144.479,5983722.182,5.864
,s1-c-ep-38,2167143.322,5983718.724,5.864
,s1-c-ep-39,2167141.294,5983714.073,5.838
,s1-c-ep-40,2167139.601,5983709.65,5.852
,s1-c-ep-41,2167137.219,5983706.433,5.871
,s1-c-ep-42,2167136.033,5983701.768,5.845
,s1-c-ep-43,2167134.387,5983696.782,5.83
,s1-c-ep-44,2167133.656,5983692.637,5.795
,s1-c-ep-45,2167133.13,5983689.31,5.808
,s1-c-ep-46,2167130.842,5983685.141,5.293
,s1-c-ep-47,2167129.854,5983682.628,5.774
,s1-c-ep-48,2167127.75,5983678.663,5.84
,s1-c-ep-49,2167127.632,5983678.831,5.762
,s1-c-ep-50,2167125.822,5983674.704,5.695
,s1-c-ep-51,2167124.607,5983671.906,5.725
,s1-c-ep-52,2167122.109,5983666.914,5.588
,s1-c-ep-53,2167118.837,5983661.177,5.647
,s1-c-ep-54,2167116.932,5983657.95,5.666
,s1-c-ep-55,2167114.642,5983654.569,5.666
,s1-c-ep-56,2167111.278,5983650.804,5.691
,s1-c-ep-57,2167109.254,5983647.31,5.708
,s1-c-ep-58,2167107.663,5983643.69,5.696
,s1-c-ep-59,2167105.941,5983640.831,5.645
,s1-c-ep-60,2167103.093,5983636.558,5.623
,s1-c-ep-61,2167099.242,5983631.181,5.612
,s1-c-ep-62,2167096.802,5983626.938,5.625
,s1-c-ep-63,2167094.814,5983622.29,5.603
,s1-c-ep-64,2167091.716,5983617.931,5.63
,s1-c-ep-6,2167187.781,5983836.194,5.441
,s1-c-ep-5,2167188.723,5983838.173,4.786
,s1-c-ep-4,2167188.996,5983838.755,2.813
,s1-c-ep-3,2167189.298,5983839.918,2.599
