Official_ID,Point_ID,Northing,Easting,Elevation_ussft
BM1,RTCM0000,2193701.475,6050864.199,105.642
BM2,benchmark-start-1,2188683.911,6026845.825,26.904
BM3,benchmark-start-2,2188683.981,6026845.813,26.929
BM4,benchmark-start-3,2188684.023,6026845.794,26.878
,gm-2-tile-48-a,2188582.412,6026065.475,6.178
,gm-2-tile-48-b,2188582.881,6026065.37,6.243
,gm-2-tile-48-c,2188583.734,6026065.196,6.211
,gm-2-green-48-a,2188584.328,6026065.032,6.222
,gm-2-green-48-b,2188585.03,6026064.93,6.257
,gm-2-green-48-c,2188585.662,6026064.975,6.249
,gm-2-tile-24-a,2188565.943,6025988.833,6.34
,gm-2-tile-24-b,2188566.303,6025988.804,6.353
,gm-2-tile-24-c,2188566.759,6025988.728,6.357
,gm-2-green-24-a,2188567.273,6025988.714,6.384
,gm-2-green-24-b,2188567.997,6025988.428,6.334
,gm-2-green-24-c,2188568.695,6025988.291,6.37
,gm-2-tile-18-a,2188562.072,6025970.262,6.349
,gm-2-tile-18-b,2188562.647,6025970.023,6.339
,gm-2-tile-18-c,2188563,6025969.623,6.332
,gm-2-green-18-a,2188563.473,6025969.52,6.356
,gm-2-green-18-b,2188564.176,6025969.297,6.331
,gm-2-green-18-c,2188564.815,6025969.215,6.328
,gm-2-tile-12-a,2188558.255,6025950.161,6.348
,gm-2-tile-12-b,2188558.774,6025950.136,6.35
,gm-2-tile-12-c,2188559.152,6025950.033,6.357
,gm-2-green-12-a,2188559.769,6025950.104,6.335
,gm-2-green-12-b,2188560.401,6025950.016,6.316
,gm-2-green-12-c,2188561.251,6025949.953,6.323
,gm-2-tile-6-a,2188554.199,6025930.798,6.385
,gm-2-tile-6-b,2188554.541,6025930.77,6.415
,gm-2-tile-6-c,2188554.99,6025930.758,6.424
,gm-2-green-6-a,2188555.705,6025930.693,6.43
,gm-2-green-6-b,2188556.339,6025930.757,6.424
,gm-2-green-6-c,2188557.263,6025931.035,6.43
,gm-2-tile-2-a,2188551.477,6025918.869,6.837
,gm-2-tile-2-b,2188551.88,6025918.847,6.828
,gm-2-tile-2-c,2188552.337,6025918.819,6.824
,gm-2-green-2-a,2188552.774,6025918.618,6.808
,gm-2-green-2-b,2188553.437,6025918.598,6.814
,gm-2-green-2-c,2188554.159,6025918.581,6.833
,gm-2-tile-0.5-a,2188551.448,6025913.737,5.431
,gm-2-tile-0.5-b,2188552.101,6025913.689,5.893
,gm-2-tile-0.5-c,2188552.802,6025913.929,6.307
,gm-2-green-0.5-a,2188553.166,6025913.845,6.221
,gm-2-green-0.5-b,2188553.719,6025913.902,5.839
,gm-2-green-0.5-c,2188554.479,6025913.893,5.551
,gm-2-ep-1,2188548.456,6025905.62,4.458
,gm-2-ep-2,2188548.847,6025908.621,4.823
,gm-2-ep-3,2188549.699,6025911.802,5.218
,gm-2-ep-4,2188550.153,6025913.883,5.481
,gm-2-ep-5,2188550.124,6025914.421,6.247
,gm-2-ep-6,2188550.515,6025915.894,6.637
,gm-2-ep-7,2188550.753,6025917.449,6.773
,gm-2-ep-8,2188551.363,6025920.407,6.924
,gm-2-ep-9,2188552.179,6025924.112,6.802
,gm-2-ep-10,2188552.95,6025926.815,6.646
,gm-2-ep-11,2188553.839,6025929.991,6.469
,gm-2-ep-12,2188554.338,6025933.097,6.378
,gm-2-ep-13,2188555.109,6025935.896,6.341
,gm-2-ep-14,2188555.912,6025939.487,6.324
,gm-2-ep-15,2188556.181,6025942.325,6.407
,gm-2-ep-16,2188556.743,6025945.436,6.368
,gm-2-ep-17,2188557.165,6025947.889,6.37
,gm-2-ep-18,2188557.76,6025950.439,6.435
,gm-2-ep-19,2188558.313,6025953.005,6.425
,gm-2-ep-20,2188558.861,6025955.954,6.415
,gm-2-ep-21,2188559.506,6025959.072,6.341
,gm-2-ep-22,2188559.994,6025961.516,6.429
,gm-2-ep-23,2188560.603,6025964.346,6.405
,gm-2-ep-24,2188561.053,6025967.012,6.394
,gm-2-ep-25,2188561.587,6025969.84,6.387
,gm-2-ep-26,2188562.3,6025972.991,6.355
,gm-2-ep-27,2188562.988,6025975.447,6.398
,gm-2-ep-28,2188563.481,6025978.427,6.353
,gm-2-ep-29,2188564.087,6025981.217,6.388
,gm-2-ep-30,2188564.568,6025983.66,6.301
,gm-2-ep-31,2188565.068,6025986.103,6.417
,gm-2-ep-32,2188565.448,6025988.393,6.36
,gm-2-ep-33,2188566.164,6025991.586,6.354
,gm-2-ep-34,2188566.739,6025993.754,6.339
,gm-2-ep-35,2188567.256,6025996.365,6.273
,gm-2-ep-36,2188568.664,6025999.923,6.251
,gm-2-ep-37,2188568.914,6026003.565,6.314
,gm-2-ep-38,2188570.062,6026007.302,6.319
,gm-2-ep-39,2188570.59,6026010.433,6.291
,gm-2-ep-40,2188570.874,6026013.454,6.301
,gm-2-ep-41,2188571.498,6026016.441,6.323
,gm-2-ep-42,2188572.565,6026020.49,6.272
,gm-2-ep-43,2188573.395,6026024.086,6.25
,gm-2-ep-44,2188573.998,6026027,6.238
,gm-2-ep-45,2188574.497,6026029.602,6.163
,gm-2-ep-46,2188574.517,6026030.944,5.886
,gm-2-ep-47,2188574.793,6026032.704,4.779
,gm-2-ep-48,2188575.295,6026035.897,6.082
,gm-2-ep-49,2188575.951,6026038.593,4.698
,gm-2-ep-50,2188576.959,6026039.975,6.273
,gm-2-ep-51,2188577.212,6026042.11,6.26
,gm-2-ep-52,2188577.415,6026044.783,6.268
,gm-2-ep-53,2188578.095,6026048.173,6.185
,gm-2-ep-54,2188578.634,6026051.258,6.172
,gm-2-ep-55,2188579.283,6026054.579,6.222
,gm-2-ep-56,2188580.115,6026058.019,6.224
,gm-2-ep-57,2188580.781,6026061.187,6.298
,gm-2-ep-58,2188581.311,6026064.091,6.224
,gm-2-ep-59,2188582.621,6026068.047,6.28
,gm-2-ep-60,2188583.704,6026070.824,6.304
,gm-2-ep-61,2188583.893,6026073.152,6.326
,gm-2-ep-62,2188584.734,6026076.079,6.27
,gm-2-ep-63,2188586.024,6026079.531,6.329
,gm-2-ep-64,2188586.857,6026082.618,6.247
,gm-2-ep-65,2188587.112,6026086.358,6.225
,gm-2-ep-66,2188587.969,6026089.735,6.312
,gm-2-ep-67,2188589.46,6026093.358,6.252
,gm-2-ep-68,2188589.89,6026096.585,6.227
,gm-2-ep-69,2188590.523,6026099.103,6.298
,gm-2-ep-70,2188590.23,6026101.388,6.271
,gm-1-ep-1,2188640.897,6025889.8,4.17
,gm-1-ep-2,2188641.658,6025891.776,4.666
,gm-1-ep-3,2188641.576,6025892.44,6.708
,gm-1-ep-4,2188642.092,6025894.322,6.836
,gm-1-ep-5,2188642.473,6025896.64,6.787
,gm-1-ep-6,2188642.805,6025898.655,6.816
,gm-1-ep-7,2188643.02,6025900.732,6.773
,gm-1-ep-8,2188643.212,6025902.972,6.771
,gm-1-ep-9,2188643.725,6025905.8,6.67
,gm-1-ep-10,2188643.659,6025908.913,6.642
,gm-1-ep-11,2188643.818,6025911.74,6.62
,gm-1-ep-12,2188643.907,6025914.567,6.628
,gm-1-ep-13,2188644.266,6025917.265,6.601
,gm-1-ep-14,2188644.492,6025920.099,6.561
,gm-1-ep-15,2188644.423,6025923.216,6.54
,gm-1-ep-16,2188644.665,6025926.204,6.54
,gm-1-ep-17,2188644.99,6025929.159,6.494
,gm-1-ep-18,2188645.432,6025931.61,6.495
,gm-1-ep-19,2188645.565,6025934.169,6.477
,gm-1-ep-20,2188645.845,6025937.743,6.482
,gm-1-ep-21,2188646.381,6025940.868,6.508
,gm-1-ep-22,2188646.943,6025943.771,6.492
,gm-1-ep-23,2188647.051,6025946.627,6.509
,gm-1-ep-24,2188647.049,6025949.737,6.537
,gm-1-ep-25,2188646.969,6025952.123,6.514
,gm-1-ep-26,2188647.347,6025957.227,6.464
,gm-1-ep-27,2188647.746,6025960.383,6.495
,gm-1-ep-28,2188648.102,6025963.969,6.464
,gm-1-ep-29,2188648.278,6025966.872,6.448
,gm-1-ep-30,2188648.367,6025969.87,6.442
,gm-1-ep-31,2188648.464,6025972.597,6.461
,gm-1-ep-32,2188648.732,6025976.535,6.481
,gm-1-ep-33,2188648.939,6025980.356,6.458
,gm-1-ep-34,2188649.059,6025982.89,6.398
,gm-1-ep-35,2188649.534,6025986.01,6.416
,gm-1-ep-36,2188649.737,6025989.084,6.381
,gm-1-ep-37,2188649.997,6025992.314,6.406
,gm-1-ep-38,2188650.082,6025995.766,6.407
,gm-1-ep-39,2188650.002,6025999.217,6.337
,gm-1-ep-40,2188649.905,6026001.738,6.324
,gm-1-ep-41,2188649.984,6026006.113,6.254
,gm-1-ep-42,2188650.568,6026009.923,6.274
,gm-1-ep-43,2188651.451,6026013.491,6.267
,gm-1-ep-44,2188652.051,6026016.738,6.294
,gm-1-ep-45,2188652.32,6026020.651,6.263
,gm-1-ep-46,2188652.634,6026024.423,6.299
,gm-1-ep-47,2188653.082,6026027.612,6.251
,gm-1-ep-48,2188653.325,6026031.543,6.248
,gm-1-ep-49,2188653.773,6026035.144,6.331
,gm-1-ep-50,2188653.769,6026038.176,6.389
,gm-1-ep-51,2188653.866,6026039.002,5.558
,gm-1-ep-52,2188653.868,6026039.818,5.037
,gm-1-ep-53,2188653.964,6026041.003,6.032
,gm-1-ep-54,2188654.022,6026043.227,6.598
,gm-1-ep-55,2188653.998,6026046.474,6.102
,gm-1-ep-56,2188655.013,6026047.64,4.853
,gm-1-ep-57,2188655.005,6026048.246,4.295
,gm-1-ep-58,2188654.014,6026049.402,5.812
,gm-1-ep-59,2188653.795,6026053.124,6.222
,gm-1-ep-60,2188653.917,6026056.427,6.318
,gm-1-ep-61,2188654.49,6026059.59,6.334
,gm-1-ep-62,2188655.072,6026063.128,6.322
,gm-1-ep-63,2188655.209,6026066.789,6.338
,gm-1-ep-64,2188655.504,6026069.87,6.427
,gm-1-ep-65,2188656.209,6026073.981,6.372
