Official_ID,Point_ID,Northing,Easting,Elevation_ussft
BM1,RTCM0484,1849484.748,6431928.691,23.397
BM2,benchmark-s1,1813355.822,6428340.296,21.407
,s1-tiles-48a,1804263.475,6425346.82,6.72
,s1-tiles-48b,1804263.611,6425346.536,6.723
,s1-tiles-48c,1804263.643,6425346.11,6.766
,s1-green-48-a,1804263.413,6425345.714,6.745
,s1-green-48-b,1804263.381,6425345.091,6.668
,s1-green-48-c,1804263.319,6425344.284,6.668
,s1-tile-24-a,1804184.752,6425344.789,6.647
,s1-tile-24-b,1804184.68,6425344.44,6.645
,s1-tile-24-c,1804184.633,6425344.047,6.639
,s1-green-24-a,1804184.546,6425343.858,6.713
,s1-green-24-b,1804184.377,6425343.063,6.688
,s1-green-24-c,1804184.398,6425342.559,6.704
,s1-tile-18-a,1804165.405,6425344.438,6.535
,s1-tile-18-b,1804165.224,6425343.972,6.553
,s1-tile-18-c,1804165.09,6425343.501,6.578
,s1-green-18-a,1804164.949,6425343.062,6.593
,s1-green-18-b,1804164.878,6425342.368,6.624
,s1-green-18-c,1804165.035,6425341.689,6.614
,s1-tile-12-a,1804145.866,6425343.33,6.332
,s1-tile-12-b,1804145.902,6425342.985,6.35
,s1-tile-12-c,1804145.868,6425342.515,6.339
,s1-green-12-a,1804145.875,6425342.122,6.346
,s1-green-12-b,1804145.883,6425341.389,6.368
,s1-green-12-c,1804145.801,6425340.72,6.343
,s1-tiles-6a,1804126.019,6425343.361,6.021
,s1-tiles-6b,1804125.993,6425342.938,6.055
,s1-tiles-6c,1804125.971,6425342.43,6.088
,s1-green-6a,1804126.042,6425342.273,6.079
,s1-green-6b,1804125.942,6425341.343,6.036
,s1-green-6c,1804125.925,6425340.564,6.008
,s1-tile-2a,1804112.77,6425341.567,5.713
,s1-tile-2b,1804113.021,6425341.086,5.823
,s1-tile-2c,1804113.226,6425340.705,5.848
,s1-green-2a,1804113.151,6425340.418,5.834
,s1-green-2b,1804113.162,6425339.682,5.899
,s1-green-2c,1804113.227,6425339.053,5.936
,s1-tile-0.5a,1804107.825,6425343.364,5.668
,s1-tile-0.5b,1804107.876,6425342.813,5.738
,s1-tile-0.5c,1804108.033,6425342.471,5.729
,s1-green-0.5a,1804107.978,6425342.092,5.772
,s1-green-0.5b,1804107.937,6425341.336,5.751
,s1-green-0.5c,1804108.007,6425340.63,5.752
,s1-ep-1,1804067.633,6425342.75,3.121
,s1-ep-2,1804073.226,6425342.584,4.03
,s1-ep-3,1804078.906,6425342.232,4.045
,s1-ep-4,1804085.414,6425343.051,4.715
,s1-ep-5,1804089.867,6425342.851,4.895
,s1-ep-6,1804096.323,6425343.575,5.272
,s1-ep-7,1804101.978,6425343.796,5.665
,s1-ep-8,1804107.473,6425343.88,5.735
,s1-ep-9,1804115.348,6425344.171,5.865
,s1-ep-10,1804121.192,6425343.824,5.839
,s1-ep-11,1804128.616,6425344.163,6.132
,s1-ep-12,1804133.906,6425344.574,6.182
,s1-ep-13,1804141.088,6425344.548,6.269
,s1-ep-14,1804146.198,6425344.187,6.337
,s1-ep-15,1804158.523,6425343.724,6.57
,s1-ep-16,1804166.467,6425344.754,6.551
,s1-ep-17,1804176.331,6425344.317,6.668
,s1-ep-18,1804185.301,6425345.59,6.687
,s1-ep-19,1804194.974,6425345.51,6.676
,s1-ep-20,1804202.01,6425344.916,6.673
,s1-ep-21,1804209.784,6425346.516,6.71
,s1-ep-22,1804215.492,6425346.219,6.704
,s1-ep-23,1804223.523,6425346.43,6.651
,s1-ep-24,1804228.339,6425345.576,6.612
,s1-ep-25,1804234.454,6425347.126,6.632
,s1-ep-26,1804248.076,6425348.88,6.693
,s1-ep-27,1804256.837,6425348.453,6.674
,s1-ep-28,1804264.591,6425347.403,6.713
,s1-ep-29,1804274.964,6425347.662,6.705
,s1-ep-30,1804287.152,6425348.092,6.723
,s2-tiles-48a,1804250.99,6425210.001,6.506
,s2-tiles-48b,1804251.004,6425209.613,6.568
,s2-tiles-48c,1804251.082,6425209.158,6.534
,s2-green-48a,1804251.042,6425208.993,6.572
,s2-green-48b,1804251.042,6425208.172,6.567
,s2-green-48c,1804251.037,6425207.505,6.572
,s2-tile-24a,1804173.029,6425218.49,6.614
,s2-tile-24b,1804173.281,6425217.988,6.579
,s2-tile-24c,1804173.145,6425217.602,6.619
,s2-green-24a,1804173.021,6425217.312,6.649
,s2-green-24b,1804172.943,6425216.679,6.592
,s2-green-24c,1804172.932,6425216.125,6.667
,s2-tile-18a,1804153.103,6425220.409,6.45
,s2-tile-18b,1804153.311,6425219.785,6.494
,s2-tile-18c,1804153.409,6425219.325,6.462
,s2-green-18a,1804153.687,6425218.97,6.479
,s2-green-18b,1804153.587,6425218.144,6.481
,s2-green-18c,1804153.761,6425217.53,6.454
,s2-tile-12a,1804133.686,6425222.405,6.215
,s2-tile-12b,1804133.715,6425221.968,6.206
,s2-tile-12c,1804133.626,6425221.514,6.205
