Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,BigBio_Obsv,SmallBio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,Month,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area,Point_ID,Elevation_m,z_star
M1,Buck'sLanding,T1,0.5,a,2025-07-08,2025-08-05,2025,3.199435405,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5a,1.6544577089154178,0.743807502
M1,Buck'sLanding,T1,0.5,b,2025-07-08,2025-08-05,2025,3.968600088,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5b,1.6599441198882396,0.750176929
M1,Buck'sLanding,T1,0.5,c,2025-07-08,2025-08-05,2025,7.558035278,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5c,1.6611633223266449,0.751592357
M1,Buck'sLanding,T1,2,a,2025-07-08,2025-08-05,2025,1.961114509,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2a,1.7718059436118871,0.880042463
M1,Buck'sLanding,T1,2,b,2025-07-08,2025-08-05,2025,1.520533206,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2b,1.7794259588519177,0.888888889
M1,Buck'sLanding,T1,2,c,2025-07-08,2025-08-05,2025,2.980155261,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2c,1.7669291338582676,0.87438075
M1,Buck'sLanding,T1,6,a,2025-07-08,2025-08-05,2025,5.229657404,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6a,1.8138684277368553,0.928874735
M1,Buck'sLanding,T1,6,b,2025-07-08,2025-08-05,2025,2.912563532,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6b,1.806248412496825,0.920028309
M1,Buck'sLanding,T1,6,c,2025-07-08,2025-08-05,2025,5.792229428,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6c,1.8053340106680211,0.918966737
M1,Buck'sLanding,T1,12,a,2025-07-08,2025-08-05,2025,1.654481599,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12a,1.8483108966217932,0.96886058
M1,Buck'sLanding,T1,12,b,2025-07-08,2025-08-05,2025,5.695108422,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12b,1.8461772923545847,0.966383581
M1,Buck'sLanding,T1,12,c,2025-07-08,2025-08-05,2025,2.167707169,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12c,1.8428244856489713,0.962491154
M1,Buck'sLanding,T1,24,a,2025-07-08,2025-08-05,2025,3.806245204,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-24a,1.8641605283210565,0.987261146
M1,Buck'sLanding,T1,24,b,2025-07-08,2025-08-05,2025,3.351292238,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-24b,1.869037338074676,0.992922859
M1,Buck'sLanding,T1,24,c,2025-07-08,2025-08-05,2025,3.041571666,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-24c,1.8714757429514857,0.995753715
M1,Buck'sLanding,T1,48,a,2025-07-08,2025-08-05,2025,4.745680415,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B1-48a,1.856845313690627,0.978768577
M1,Buck'sLanding,T1,48,b,2025-07-08,2025-08-05,2025,4.755617072,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B1-48b,1.850749301498603,0.971691437
M1,Buck'sLanding,T1,48,c,2025-07-08,2025-08-05,2025,7.452661794,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B1-48c,1.8516637033274064,0.972753008
M1,Buck'sLanding,T2,0.5,a,2025-07-08,2025-08-05,2025,3.540032597,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-0.5a,1.6338836677673354,0.7199221515
M1,Buck'sLanding,T2,0.5,b,2025-07-08,2025-08-05,2025,34.73187521,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-0.5b,1.6431800863601729,0.730714791
M1,Buck'sLanding,T2,0.5,c,2025-07-08,2025-08-05,2025,5.37936223,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-0.5c,1.6407416814833629,0.727883935
M1,Buck'sLanding,T2,2,a,2025-07-08,2025-08-05,2025,6.740609501,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-2a,1.773329946659893,0.881811748
M1,Buck'sLanding,T2,2,b,2025-07-08,2025-08-05,2025,8.826166147,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-2b,1.7654051308102614,0.872611465
M1,Buck'sLanding,T2,2,c,2025-07-08,2025-08-05,2025,6.964642774,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-2c,1.7696723393446787,0.877565464
M1,Buck'sLanding,T2,6,a,2025-07-08,2025-08-05,2025,8.583251354,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-6a,1.843738887477775,0.963552725
M1,Buck'sLanding,T2,6,b,2025-07-08,2025-08-05,2025,10.9774245,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-6b,1.8394716789433576,0.958598726
M1,Buck'sLanding,T2,6,c,2025-07-08,2025-08-05,2025,11.11446055,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B2-6c,1.8376428752857503,0.956475584
M1,Buck'sLanding,T2,12,a,2025-07-08,2025-08-05,2025,10.48422195,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-12a,1.84008128016256,0.95930644
M1,Buck'sLanding,T2,12,b,2025-07-08,2025-08-05,2025,12.24825005,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-12b,1.835814071628143,0.954352442
M1,Buck'sLanding,T2,12,c,2025-07-08,2025-08-05,2025,6.090778277,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-12c,1.822098044196088,0.938428875
M1,Buck'sLanding,T2,24,a,2025-07-08,2025-08-05,2025,5.187440643,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-24a,1.8266700533401063,0.94373673
M1,Buck'sLanding,T2,24,b,2025-07-08,2025-08-05,2025,5.403913822,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-24b,1.8294132588265175,0.946921444
M1,Buck'sLanding,T2,24,c,2025-07-08,2025-08-05,2025,5.21781201,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B2-24c,1.8446532893065783,0.964614296
M1,Buck'sLanding,T2,48,a,2025-07-08,2025-08-05,2025,10.74590599,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B2-48a,1.8416052832105665,0.961075725
M1,Buck'sLanding,T2,48,b,2025-07-08,2025-08-05,2025,6.985582736,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B2-48b,1.8525781051562105,0.973814579
M1,Buck'sLanding,T2,48,c,2025-07-08,2025-08-05,2025,8.475014764,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland,B2-48c,1.849530099060198,0.970276008
M1,Buck'sLanding,T1,18,a,2025-07-08,2025-08-05,2025,2.678069635,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-18a,1.8736093472186943,0.998230715
M1,Buck'sLanding,T1,18,b,2025-07-08,2025-08-05,2025,2.720454814,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-18b,1.8745237490474984,0.999292286
M1,Buck'sLanding,T1,18,c,2025-07-08,2025-08-05,2025,2.922668607,0,0,0,0,0,0,0,0,0,0,OK,Jul,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-18c,1.8806197612395223,1.006369427
M1,GiantMarsh,T1,0.5,a,2025-07-09,2025-08-06,2025,-2.119090527,0,0,0,0,0,0,0,0,0,1,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5a,2.067462535,1.195887069
M1,GiantMarsh,T1,0.5,b,2025-07-09,2025-08-06,2025,29.73798419,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5b,2.066243332486665,1.194492855
M1,GiantMarsh,T1,0.5,c,2025-07-09,2025-08-06,2025,49.33309216,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5c,2.0574041148082296,1.184384803
M1,GiantMarsh,T1,2,a,2025-07-09,2025-08-06,2025,7.857482357,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2a,2.0183896367792733,1.139769955
M1,GiantMarsh,T1,2,b,2025-07-09,2025-08-06,2025,7.538274241,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2b,2.019304038608077,1.140815615
M1,GiantMarsh,T1,2,c,2025-07-09,2025-08-06,2025,17.76775472,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2c,2.0189992379984756,1.140467062
M1,GiantMarsh,T1,6,a,2025-07-09,2025-08-06,2025,16.28281383,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6a,1.9723647447294896,1.087138376
M1,GiantMarsh,T1,6,b,2025-07-09,2025-08-06,2025,10.6308204,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6b,1.9793751587503172,1.095155106
M1,GiantMarsh,T1,6,c,2025-07-09,2025-08-06,2025,12.27407414,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6c,1.9763271526543051,1.091669571
M1,GiantMarsh,T1,12,a,2025-07-09,2025-08-06,2025,8.75677796,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12a,1.9418846837693675,1.052283025
M1,GiantMarsh,T1,12,b,2025-07-09,2025-08-06,2025,8.591784529,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12b,1.9495046990093976,1.060996863
M1,GiantMarsh,T1,12,c,2025-07-09,2025-08-06,2025,9.243000523,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12c,1.9577343154686309,1.070407808
M1,GiantMarsh,T1,24,a,2025-07-09,2025-08-06,2025,6.476343057,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24a,1.94005588011176,1.050191704
M1,GiantMarsh,T1,24,b,2025-07-09,2025-08-06,2025,5.396503433,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24b,1.9467614935229869,1.057859881
M1,GiantMarsh,T1,24,c,2025-07-09,2025-08-06,2025,7.398318942,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24c,1.952247904495809,1.064133845
M1,GiantMarsh,T1,48,a,2025-07-09,2025-08-06,2025,6.348513849,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48a,1.8736093472186943,0.974207041
M1,GiantMarsh,T1,48,b,2025-07-09,2025-08-06,2025,2.227776231,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48b,1.8595885191770385,0.95817358
