Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,BigBio_Obsv,SmallBio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area,Point_ID,Elevation_m,z_star,Month,Species,Cover,AvgHt,MaxHt
M1,Buck'sLanding,T1,0.5,a,2025-07-08,2025-08-05,2025,3.199435405,1,0,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5a,1.6544577089154178,0.743807502,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,0.5,b,2025-07-08,2025-08-05,2025,3.968600088,1,0,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5b,1.6599441198882396,0.750176929,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,0.5,c,2025-07-08,2025-08-05,2025,7.558035278,1,0,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-0.5c,1.6611633223266449,0.751592357,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,2,a,2025-07-08,2025-08-05,2025,1.961114509,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2a,1.7718059436118871,0.880042463,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,2,b,2025-07-08,2025-08-05,2025,1.520533206,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2b,1.7794259588519177,0.888888889,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,2,c,2025-07-08,2025-08-05,2025,2.980155261,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-2c,1.7669291338582676,0.87438075,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,6,a,2025-07-08,2025-08-05,2025,5.229657404,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6a,1.8138684277368553,0.928874735,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,6,b,2025-07-08,2025-08-05,2025,2.912563532,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6b,1.806248412496825,0.920028309,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,6,c,2025-07-08,2025-08-05,2025,5.792229428,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge,B1-6c,1.8053340106680211,0.918966737,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,12,a,2025-07-08,2025-08-05,2025,1.654481599,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12a,1.8483108966217932,0.96886058,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,12,b,2025-07-08,2025-08-05,2025,5.695108422,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12b,1.8461772923545847,0.966383581,August,NA,NA,NA,NA
M1,Buck'sLanding,T1,12,c,2025-07-08,2025-08-05,2025,2.167707169,0,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform,B1-12c,1.8428244856489713,0.962491154,August,NA,NA,NA,NA
