Site,Tran,Dist,fitted_elevation_m,local_slope,surveyed_min,surveyed_max,extrapolated
GiantMarsh,T1,0.5,2.081117017603091,-0.005031576575533427,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,2,2.031680671373449,-0.04260973519962442,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,6,1.9647297866186124,-0.020943234262624,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,12,1.9003038509090948,-0.009636599403418291,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,18,1.9478622938935235,-4.8566594081641705e-4,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,24,1.9068799902442337,-0.041271720838788724,-5.465587848999999,43.747037411,FALSE
GiantMarsh,T1,48,2.0210249067405273,0.019396603664910948,-5.465587848999999,43.747037411,TRUE
GiantMarsh,T2,0.5,2.0306872434232464,1.4006969717971426e-4,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,2,2.0563871851683726,-0.013424716688372454,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,6,1.9574508500756538,-0.01255565003163208,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,12,1.95016303680416,0.0073026439019559086,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,18,1.9382465005969653,0.010856321806045581,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,24,1.9387701875796968,4.975228131842639e-4,-4.887551679,35.907132429,FALSE
GiantMarsh,T2,48,1.4800192766320546,-0.033709301718241776,-4.887551679,35.907132429,TRUE
CorteMadera,T1,0.5,1.7492440342280613,0.09733852868754048,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,2,1.8293271071500128,0.017753991095413348,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,6,1.757631476156524,-0.025155382129482318,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,12,1.7133104284343061,0.0032317156537537087,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,18,1.741810125322371,0.0052361512726215725,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,24,1.7550712477688033,-0.0028494853327859057,-3.157023536,64.14680765099999,FALSE
CorteMadera,T1,48,1.727272679455228,-0.005585163631044243,-3.157023536,64.14680765099999,FALSE
CorteMadera,T2,0.5,1.481725221967733,0.16925078293661744,-2.765692181,69.789659659,FALSE
CorteMadera,T2,2,1.6757667363825983,0.09235576383065149,-2.765692181,69.789659659,FALSE
CorteMadera,T2,6,1.8033913358538025,-0.003325393415348951,-2.765692181,69.789659659,FALSE
CorteMadera,T2,12,1.752402790171007,-0.005847349699209805,-2.765692181,69.789659659,FALSE
CorteMadera,T2,18,1.7467200155303768,5.42879874173271e-4,-2.765692181,69.789659659,FALSE
CorteMadera,T2,24,1.74610186223484,6.099121469114189e-4,-2.765692181,69.789659659,FALSE
CorteMadera,T2,48,1.7284424717637425,-0.0037842484898751726,-2.765692181,69.789659659,FALSE
SanPablo,T1,0.5,1.8226043860308456,0.01994320045890097,-14.667049608749998,95.31672733922,FALSE
SanPablo,T1,2,1.8192972125194615,0.3776886912580827,-14.667049608749998,95.31672733922,FALSE
SanPablo,T1,6,1.8447290956966946,-0.011462863390312102,-14.667049608749998,95.31672733922,FALSE
SanPablo,T1,12,1.939426772189594,0.05459195462793114,-14.667049608749998,95.31672733922,FALSE
