Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,Bio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area
M1,Buck'sLanding,1,0.5,a,2025-07-08,2025-08-05,2025,3.199435405,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,0.5,b,2025-07-08,2025-08-05,2025,3.968600088,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,0.5,c,2025-07-08,2025-08-05,2025,7.558035278,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,2,a,2025-07-08,2025-08-05,2025,1.961114509,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,2,b,2025-07-08,2025-08-05,2025,1.520533206,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,2,c,2025-07-08,2025-08-05,2025,2.980155261,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,6,a,2025-07-08,2025-08-05,2025,5.229657404,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,6,b,2025-07-08,2025-08-05,2025,2.912563532,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,6,c,2025-07-08,2025-08-05,2025,5.792229428,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,1,12,a,2025-07-08,2025-08-05,2025,1.654481599,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,12,b,2025-07-08,2025-08-05,2025,5.695108422,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,12,c,2025-07-08,2025-08-05,2025,2.167707169,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,24,a,2025-07-08,2025-08-05,2025,3.806245204,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,24,b,2025-07-08,2025-08-05,2025,3.351292238,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,24,c,2025-07-08,2025-08-05,2025,3.041571666,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,48,a,2025-07-08,2025-08-05,2025,4.745680415,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,1,48,b,2025-07-08,2025-08-05,2025,4.755617072,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,1,48,c,2025-07-08,2025-08-05,2025,7.452661794,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,2,0.5,a,2025-07-08,2025-08-05,2025,3.540032597,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,0.5,b,2025-07-08,2025-08-05,2025,34.73187521,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,0.5,c,2025-07-08,2025-08-05,2025,5.37936223,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,2,a,2025-07-08,2025-08-05,2025,6.740609501,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,2,b,2025-07-08,2025-08-05,2025,8.826166147,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,2,c,2025-07-08,2025-08-05,2025,6.964642774,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,6,a,2025-07-08,2025-08-05,2025,8.583251354,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,6,b,2025-07-08,2025-08-05,2025,10.9774245,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,6,c,2025-07-08,2025-08-05,2025,11.11446055,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,Buck'sLanding,2,12,a,2025-07-08,2025-08-05,2025,10.48422195,1,0,0,0,0,0,0,0,0,Review,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,12,b,2025-07-08,2025-08-05,2025,12.24825005,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,12,c,2025-07-08,2025-08-05,2025,6.090778277,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,24,a,2025-07-08,2025-08-05,2025,5.187440643,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,24,b,2025-07-08,2025-08-05,2025,5.403913822,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,24,c,2025-07-08,2025-08-05,2025,5.21781201,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,2,48,a,2025-07-08,2025-08-05,2025,10.74590599,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,2,48,b,2025-07-08,2025-08-05,2025,6.985582736,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,2,48,c,2025-07-08,2025-08-05,2025,8.475014764,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Upland
M1,Buck'sLanding,1,18,a,2025-07-08,2025-08-05,2025,2.678069635,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,18,b,2025-07-08,2025-08-05,2025,2.720454814,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,Buck'sLanding,1,18,c,2025-07-08,2025-08-05,2025,2.922668607,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Platform
M2,Buck'sLanding,1,0.5,a,2025-08-05,2025-09-03,2025,4.14824588,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M2,Buck'sLanding,1,0.5,b,2025-08-05,2025-09-03,2025,2.234429707,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
M2,Buck'sLanding,1,0.5,c,2025-08-05,2025-09-03,2025,2.536180433,0,0,0,0,0,0,0,0,0,OK,Ramped,East.facing,"Late_Dry
(Months 1-3)",Edge
