Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,Bio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area
M1,CorteMadera,1,0.5,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,0.5,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,0.5,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,2,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,2,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,2,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,6,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,6,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,6,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge
M1,CorteMadera,1,12,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,12,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,12,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,24,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,24,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,24,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform
M1,CorteMadera,1,48,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,NA,#VALUE!,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland
