Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,Bio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area
M1,GiantMarsh,1,0.5,a,2025-07-09,2025-08-06,2025,-2.119090527,0,0,0,0,0,0,0,0,1,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,0.5,b,2025-07-09,2025-08-06,2025,29.73798419,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,0.5,c,2025-07-09,2025-08-06,2025,49.33309216,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,2,a,2025-07-09,2025-08-06,2025,7.857482357,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,2,b,2025-07-09,2025-08-06,2025,7.538274241,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,2,c,2025-07-09,2025-08-06,2025,17.76775472,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,6,a,2025-07-09,2025-08-06,2025,16.28281383,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,6,b,2025-07-09,2025-08-06,2025,10.6308204,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,6,c,2025-07-09,2025-08-06,2025,12.27407414,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge
M1,GiantMarsh,1,12,a,2025-07-09,2025-08-06,2025,8.75677796,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform
