Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,Bio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area,Point_ID,Elevation_m,z_star
M1,GiantMarsh,T1,0.5,a,2025-07-09,2025-08-06,2025,-2.119090527,0,0,0,0,0,0,0,0,1,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5a,2.067462535,1.195887069
M1,GiantMarsh,T1,0.5,b,2025-07-09,2025-08-06,2025,29.73798419,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5b,2.066243332486665,1.194492855
M1,GiantMarsh,T1,0.5,c,2025-07-09,2025-08-06,2025,49.33309216,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5c,2.0574041148082296,1.184384803
M1,GiantMarsh,T1,2,a,2025-07-09,2025-08-06,2025,7.857482357,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2a,2.0183896367792733,1.139769955
M1,GiantMarsh,T1,2,b,2025-07-09,2025-08-06,2025,7.538274241,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2b,2.019304038608077,1.140815615
M1,GiantMarsh,T1,2,c,2025-07-09,2025-08-06,2025,17.76775472,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2c,2.0189992379984756,1.140467062
M1,GiantMarsh,T1,6,a,2025-07-09,2025-08-06,2025,16.28281383,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6a,1.9723647447294896,1.087138376
M1,GiantMarsh,T1,6,b,2025-07-09,2025-08-06,2025,10.6308204,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6b,1.9793751587503172,1.095155106
M1,GiantMarsh,T1,6,c,2025-07-09,2025-08-06,2025,12.27407414,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6c,1.9763271526543051,1.091669571
M1,GiantMarsh,T1,12,a,2025-07-09,2025-08-06,2025,8.75677796,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12a,1.9418846837693675,1.052283025
M1,GiantMarsh,T1,12,b,2025-07-09,2025-08-06,2025,8.591784529,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12b,1.9495046990093976,1.060996863
M1,GiantMarsh,T1,12,c,2025-07-09,2025-08-06,2025,9.243000523,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12c,1.9577343154686309,1.070407808
M1,GiantMarsh,T1,24,a,2025-07-09,2025-08-06,2025,6.476343057,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24a,1.94005588011176,1.050191704
M1,GiantMarsh,T1,24,b,2025-07-09,2025-08-06,2025,5.396503433,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24b,1.9467614935229869,1.057859881
M1,GiantMarsh,T1,24,c,2025-07-09,2025-08-06,2025,7.398318942,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24c,1.952247904495809,1.064133845
M1,GiantMarsh,T1,48,a,2025-07-09,2025-08-06,2025,6.348513849,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48a,1.8736093472186943,0.974207041
M1,GiantMarsh,T1,48,b,2025-07-09,2025-08-06,2025,2.227776231,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48b,1.8595885191770385,0.95817358
M1,GiantMarsh,T1,48,c,2025-07-09,2025-08-06,2025,2.166359826,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48c,1.886106172212344,0.988497734
M1,GiantMarsh,T2,0.5,a,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,1,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5a,2.0357632715265432,1.159637504
M1,GiantMarsh,T2,0.5,b,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5b,2.041249682499365,1.165911467
M1,GiantMarsh,T2,0.5,c,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,1,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5c,2.0519177038354077,1.17811084
M1,GiantMarsh,T2,2,a,2025-07-09,2025-08-06,2025,154.6275886,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2a,2.0616713233426465,1.189264552
M1,GiantMarsh,T2,2,b,2025-07-09,2025-08-06,2025,324.3091016,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2b,2.054051308102616,1.180550715
M1,GiantMarsh,T2,2,c,2025-07-09,2025-08-06,2025,26.81982545,0,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2c,2.0564897129794257,1.183339143
M1,GiantMarsh,T2,6,a,2025-07-09,2025-08-06,2025,8.927216905,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6a,1.9406654813309625,1.050888811
M1,GiantMarsh,T2,6,b,2025-07-09,2025-08-06,2025,8.96584075,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6b,1.9434086868173737,1.054025793
M1,GiantMarsh,T2,6,c,2025-07-09,2025-08-06,2025,8.927946716,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6c,1.9473710947421896,1.058556988
M1,GiantMarsh,T2,12,a,2025-07-09,2025-08-06,2025,7.04138521,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12a,1.9333502667005331,1.042523527
M1,GiantMarsh,T2,12,b,2025-07-09,2025-08-06,2025,6.71521582,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12b,1.9354838709677415,1.044963402
M1,GiantMarsh,T2,12,c,2025-07-09,2025-08-06,2025,7.302040026,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12c,1.9318262636525272,1.04078076
M1,GiantMarsh,T2,24,a,2025-07-09,2025-08-06,2025,2.9883516,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24a,1.9357886715773431,1.045311955
M1,GiantMarsh,T2,24,b,2025-07-09,2025-08-06,2025,3.04364882,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24b,1.9406654813309625,1.050888811
M1,GiantMarsh,T2,24,c,2025-07-09,2025-08-06,2025,3.186130388,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24c,1.9354838709677415,1.044963402
M1,GiantMarsh,T2,48,a,2025-07-09,2025-08-06,2025,3.15996947,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48a,1.8733045466090932,0.973858487
M1,GiantMarsh,T2,48,b,2025-07-09,2025-08-06,2025,3.492482602,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48b,1.897078994157988,1.001045661
M1,GiantMarsh,T2,48,c,2025-07-09,2025-08-06,2025,2.352124802,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48c,1.8836677673355344,0.985709306
M2,GiantMarsh,T1,0.5,a,2025-08-06,2025-09-06,2025,15.54275104,1,0,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5a,2.067462535,1.195887069
M2,GiantMarsh,T1,0.5,b,2025-08-06,2025-09-06,2025,6.333187817,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5b,2.066243332486665,1.194492855
M2,GiantMarsh,T1,0.5,c,2025-08-06,2025-09-06,2025,7.596539601,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5c,2.0574041148082296,1.184384803
M2,GiantMarsh,T1,2,a,2025-08-06,2025-09-06,2025,2.407999714,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2a,2.0183896367792733,1.139769955
M2,GiantMarsh,T1,2,b,2025-08-06,2025-09-06,2025,24.22648814,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2b,2.019304038608077,1.140815615
M2,GiantMarsh,T1,2,c,2025-08-06,2025-09-06,2025,36.66235214,0,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2c,2.0189992379984756,1.140467062
M2,GiantMarsh,T1,6,a,2025-08-06,2025-09-06,2025,9.575461137,0,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6a,1.9723647447294896,1.087138376
