Job:GallinasCreek-06172025,Version:24.00,Units:USSurveyFeet,
RTCM0018,1849484.201,6431929.042,23.49
BMpre-1,1766269.921,6418508.996,8.41
BMpre-2,1766269.934,6418509.001,8.439
BMpre-3,1766269.941,6418509.019,8.425
BMpre-4,1766269.911,6418509.011,8.434
BMpre-5,1766269.974,6418509.027,8.442
xsA-1,1768032.806,6416899.985,3.434
xsA-2,1768030.951,6416900.34,3.486
xsA-3,1768029.208,6416900.403,3.619
xsA-4,1768026.807,6416900.601,3.747
xsA-5,1768026.292,6416900.793,3.784
xsA-6,1768025.921,6416900.725,3.994
xsA-7,1768023.324,6416900.799,4.386
xsA-8,1768019.716,6416901.041,4.679
xsA-9,1768015.97,6416900.891,4.871
xsA-10,1768012.628,6416901.102,4.994
xsA-11,1768009.708,6416901.017,5.055
xsA-12,1768008.326,6416901.392,5.11
xsA-13pin,1768006.568,6416901.95,5.291
xsA-14,1768004.524,6416902.091,5.442
xsA-15,1768003.23,6416902.114,5.8
xsA-16,1768001.713,6416901.938,5.845
xsA-17,1767999.946,6416901.496,6.022
xsA-18,1767996.742,6416901.821,6.078
xsA-19,1767993.544,6416902.259,6.133
xsA-20,1767990.617,6416901.656,6.099
xsA-21,1767985.393,6416901.478,6.114
xsA-22,1767980.639,6416901.802,6.096
xsA-23,1767974.968,6416903.237,6.184
xsA-24,1767970.475,6416903.075,6.095
xsA-25,1767963.959,6416902.718,6.16
xsA-26,1767956.424,6416902.647,6.119
xsA-27,1767945.945,6416902.578,6.124
xsA-28,1767934.912,6416901.969,6.059
xsA-29,1767925.689,6416902.077,6.109
xsA-30,1767912.907,6416903.833,5.943
xsA-31,1767903.713,6416903.993,5.823
xsA-32,1767895.236,6416904.601,5.952
xsA-33,1767885.509,6416903.295,6.134
xsA-34,1767873.237,6416902.298,6.179
xsA-35,1767862.997,6416901.428,6.296
xsA-36,1767847.75,6416900.247,5.953
xsA-37,1767837.833,6416898.502,5.99
xsA-38,1767830.129,6416896.553,6.027
xsB-1,1767829.212,6416853.914,6.122
