Job:SonomaBaylands-Day1-06032025,Version:24.00,Units:USSurveyFeet,
RTCM0000,1774340.813,6410061.17,16.547
BM-pre,1817256.978,6432961.206,13.795
BM-pre2,1817256.956,6432961.209,13.775
BM-pre3,1817256.963,6432961.219,13.828
BM-pre4,1817256.956,6432961.234,13.819
BM-pre5,1817256.966,6432961.228,13.813
RTCM0018,1849484.201,6431929.042,23.49
LBM-1,1813355.371,6428340.663,21.61
LBM-2,1813355.373,6428340.663,21.589
LBM-3,1813355.376,6428340.661,21.602
XSA-1,1804057.339,6425353.882,2.461
XSA-2,1804058.927,6425353.494,2.517
XSA-3,1804060.8,6425353.104,2.738
XSA-4,1804062.836,6425352.252,2.969
XSA-5,1804063.722,6425352.624,3.198
XSA-6,1804064.351,6425352.433,3.189
XSA-7,1804065.325,6425352.184,3.319
XSA-8,1804066.802,6425351.851,3.473
XSA-9,1804068.617,6425351.361,3.671
XSA-10,1804070.865,6425350.999,3.8
XSA-11,1804074.528,6425350.435,3.771
XSA-12,1804077.441,6425349.486,3.927
XSA-13,1804080.612,6425348.611,4.022
XSA-14,1804081.175,6425348.502,4.097
XSA-15,1804081.969,6425348.253,4.41
XSA-16,1804082.966,6425348.069,4.89
XSA-17,1804085.875,6425347.374,5.149
XSA-18,1804088.732,6425346.745,5.201
XSA-19,1804091.923,6425346.396,5.444
XSA-20,1804095.058,6425346.131,5.511
XSA-21,1804098.23,6425345.432,5.617
XSA-22,1804100.76,6425345.32,5.808
XSA-23,1804103.913,6425344.852,5.87
XSA-24pin,1804105.41,6425344.038,5.905
XSA-25,1804109.165,6425343.731,5.807
XSA-26,1804109.756,6425344.168,5.549
XSA-27,1804111.175,6425343.697,5.485
XSA-28,1804111.565,6425344.573,5.894
XSA-29,1804114.822,6425344.772,6.019
XSA-30,1804118.545,6425344.573,6.088
XSA-31,1804121.069,6425344.639,5.992
XSA-32,1804124.992,6425344.871,6.076
XSA-33,1804130.657,6425345.136,6.045
XSA-34,1804136.289,6425346.016,6.25
XSA-35,1804140.058,6425345.978,6.252
XSA-36,1804141.569,6425345.862,6.279
XSA-37,1804143.078,6425346.248,6.267
XSA-38,1804143.9,6425346.327,6.323
XSA-39,1804146.188,6425346.949,6.43
XSA-40,1804150.045,6425347.171,6.472
XSA-41,1804154.552,6425346.144,6.531
XSA-42,1804159.367,6425345.848,6.64
XSA-43,1804162.958,6425346.178,6.75
XSA-44,1804168.317,6425346.216,6.811
XSA-45,1804169.844,6425346.826,6.782
XSA-46,1804171.372,6425346.244,6.774
XSA-47,1804173.332,6425346.229,6.833
XSA-48,1804176.175,6425345.448,6.954
XSA-49,1804179.707,6425344.377,6.768
XSA-50,1804184.532,6425343.829,6.688
XSA-51,1804187.906,6425343.813,6.814
XSA-52,1804191.52,6425343.836,6.866
XSA-53,1804195.848,6425344.186,6.733
XSA-54,1804201.704,6425344.579,6.828
XSA-55,1804211.915,6425346.288,6.817
XSA-56,1804218.872,6425347.868,6.719
XSA-57,1804232.141,6425346.135,6.821
XSA-58,1804243.151,6425347.604,6.851
XSA-59,1804254.155,6425350.314,6.866
XSA-60,1804261.367,6425350.922,6.757
XSA-61,1804275.444,6425351.528,6.797
XSA-62,1804286.556,6425352.093,6.79
XSA-63,1804299.682,6425354.464,6.748
XSA-64,1804316.268,6425357.936,6.708
XSA-65,1804325.037,6425354.592,6.648
XSA-66,1804336.098,6425353.328,6.651
XSA-67,1804345.786,6425351.245,6.714
XSA-68,1804358.988,6425352.252,6.622
XSA-69,1804378.478,6425351.932,6.696
XSA-70,1804389.786,6425353.706,6.516
XSA-71,1804403.543,6425354.201,6.531
XSA-72,1804418.177,6425352.714,6.605
XSB-1,1804323.446,6425167.815,6.855
XSB-2,1804311.278,6425169.706,7.01
XSB-3,1804297.716,6425171.761,6.753
XSB-4,1804286.917,6425173.964,6.683
XSB-5,1804270.311,6425177.963,6.755
XSB-6,1804256.866,6425181.788,6.68
XSB-7,1804239.914,6425187.776,6.739
XSB-8,1804224.737,6425190.368,6.695
XSB-9,1804209.793,6425194.792,6.645
XSB-10,1804199.072,6425197.513,6.775
XSB-11,1804190.884,6425199.285,6.758
XSB-12,1804187.889,6425200.538,6.67
XSB-13,1804183.984,6425201.081,6.76
XSB-14,1804175.881,6425203.346,6.871
XSB-15,1804168.381,6425203.96,6.736
XSB-16,1804163.835,6425203.9,6.672
XSB-17,1804160.565,6425204.788,6.633
XSB-18,1804162.82,6425204.811,6.667
XSB-19,1804153.809,6425206.032,6.707
XSB-20,1804145.979,6425209,6.533
XSB-21,1804141.024,6425211.229,6.514
XSB-22,1804139.686,6425211.647,6.441
XSB-23,1804137.812,6425212.515,6.374
XSB-24,1804130.363,6425213.629,6.26
XSB-25,1804121.34,6425215.454,6.215
XSB-26,1804110.513,6425217.62,6.058
XSB-27,1804103.29,6425220.103,5.93
XSB-28,1804102.775,6425220.888,5.847
XSB-29,1804102.206,6425221.105,5.405
XSB-30,1804101.081,6425221.572,5.374
XSB-31,1804099.853,6425222.272,5.884
XSB-32,1804097.319,6425224.45,5.854
XSB-33pin,1804094.003,6425227.189,5.751
XSB-34,1804088.006,6425227.208,5.691
XSB-35,1804085.907,6425227.612,5.56
XSB-36,1804085.111,6425227.187,5.223
XSB-37,1804083.834,6425226.924,5.501
XSB-38,1804077.877,6425227.997,5.221
XSB-39,1804072.204,6425229.549,4.989
XSB-40,1804065.332,6425231.101,4.656
XSB-41,1804062.655,6425231.744,4.469
XSB-42,1804059.331,6425231.917,4.213
XSB-43,1804053.755,6425233.058,3.905
XSB-44,1804048.946,6425233.552,3.612
XSB-45,1804048.228,6425233.755,3.465
XSB-46,1804044.353,6425234.789,3.269
XSB-47,1804042.296,6425235.162,2.906
XSB-48,1804041.196,6425235.338,2.775
XSB-49,1804039.489,6425235.94,2.83
XSB-50,1804037.646,6425235.893,2.632
XSB-51,1804037.196,6425236.318,2.465
XSB-52,1804035.542,6425236.571,2.363
XSB-53,1804033.564,6425237.132,2.376
XSC-1,1803997.663,6425111.293,2.389
XSC-2,1804000.422,6425111.128,2.351
XSC-3,1804002.409,6425111.208,2.423
XSC-4,1804004.604,6425110.401,2.573
XSC-5,1804008.222,6425109.616,2.622
XSC-6,1804011.343,6425109.39,2.899
XSC-7,1804013.743,6425108.784,2.977
XSC-8,1804019.291,6425107.866,3.363
XSC-9,1804022.98,6425106.707,3.509
XSC-10,1804027.33,6425105.935,3.72
XSC-11,1804031.382,6425104.957,3.878
XSC-12,1804037.475,6425105.128,4.67
XSC-13,1804043.029,6425105.299,4.832
XSC-14,1804047.246,6425104.541,4.89
XSC-15,1804053.963,6425104.197,5.338
XSC-16,1804060.042,6425103.915,5.407
XSC-17,1804065.306,6425103.167,5.523
XSC-18pin,1804070.402,6425098.547,5.697
