"LAB
SAMPLE #",Site,Tran,Dist,"Client 
Description",Sand,Silt,Clay
1,SanPablo,1,0.5,S1_0.5b,12,52,36
2,SanPablo,1,2,S1_2b,8,54,38
3,SanPablo,1,6,S1_6b,12,46,42
4,SanPablo,1,12,S1_12b,14,44,42
5,SanPablo,1,18,S1_18b,16,48,36
6,SanPablo,1,24,S1_24b,20,40,40
7,SanPablo,1,48,S1_48b,16,40,44
8,SanPablo,2,0.5,S2_0.5b,18,52,30
9,SanPablo,2,2,S2_2b,14,48,38
10,SanPablo,2,6,S2_6b,14,48,38
11,SanPablo,2,12,S2_12b,16,44,40
12,SanPablo,2,18,S2_18b,20,40,40
13,SanPablo,2,24,S2_24b,20,42,38
14,SanPablo,2,48,S2_48b,16,36,48
15,GiantMarsh,2,0.5,G2_0.5b,18,32,50
16,GiantMarsh,2,2,G2_2b,98,<1,2
17,GiantMarsh,2,6,G2_6b,44,30,26
18,GiantMarsh,2,12,G2_12b,28,36,36
19,GiantMarsh,2,18,G2_18b,20,42,38
20,GiantMarsh,2,24,G2_24b,26,40,34
21,GiantMarsh,2,48,G2_48b,28,34,38
22,GiantMarsh,1,0.5,G1_0.5b,86,<1,14
23,GiantMarsh,1,2,G1_2b,84,8,8
24,GiantMarsh,1,6,G1_6b,46,28,26
25,GiantMarsh,1,12,G1_12b,22,40,38
26,GiantMarsh,1,18,G1_18b,24,36,40
27,GiantMarsh,1,24,G1_24b,24,38,38
28,GiantMarsh,1,48,G1_48b,20,40,40
29,CorteMadera,1,0.5,C1_0.5b,14,42,44
30,CorteMadera,1,2,C1_2b,14,48,38
31,CorteMadera,1,6,C1_6b,10,48,42
32,CorteMadera,1,12,C1_12b,14,38,48
33,CorteMadera,1,18,C1_18b,12,44,44
34,CorteMadera,1,24,C1_24b,10,46,44
35,CorteMadera,1,48,C1_48b,16,38,46
36,CorteMadera,2,0.5,C2_0.5b,12,46,42
37,CorteMadera,2,2,C2_2b,20,40,40
38,CorteMadera,2,6,C2_6b,22,38,40
39,CorteMadera,2,12,C2_12b,30,34,36
40,CorteMadera,2,18,C2_18b,22,36,42
41,CorteMadera,2,24,C2_24b,22,32,46
42,CorteMadera,2,48,C2_48b,18,34,48
43,Buck'sLanding,1,0.5,B1_0.5b,18,34,48
44,Buck'sLanding,1,2,B1_2b,16,32,52
45,Buck'sLanding,1,6,B1_6b,20,30,50
46,Buck'sLanding,1,12,B1_12b,20,30,50
47,Buck'sLanding,1,18,B1_18b,16,18,66
48,Buck'sLanding,1,24,B1_24b,<1,56,46
49,Buck'sLanding,1,48,B1_48b,4,44,52
50,Buck'sLanding,2,0.5,B2_0.5b,10,42,48
51,Buck'sLanding,2,2,B2_2b,16,36,48
52,Buck'sLanding,2,6,B2_6b,20,32,48
53,Buck'sLanding,2,12,B2_12b,20,30,50
54,Buck'sLanding,2,18,B2_18b,28,30,42
55,Buck'sLanding,2,24,B2_24b,20,32,48
56,Buck'sLanding,2,48,B2_48b,28,26,46
