Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-start-1,benchmark,,benchmark start,,,,1739226.08,6407543.859,17.515,5.338582677,,37.9367218,-122.5343283,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-start-2,benchmark,,benchmark start,,,,1739226.042,6407543.886,17.433,5.313589027,,37.9367217,-122.5343282,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-start-3,benchmark,,benchmark start,,,,1739226.05,6407543.881,17.493,5.331877064,,37.9367217,-122.5343282,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-start-4,benchmark,,benchmark start,,,,1739226.034,6407543.849,17.429,5.312369825,,37.9367217,-122.5343283,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-final-1,benchmark,,benchmark end,,,,1739225.999,6407544.049,17.731,5.404419609,,37.9367216,-122.5343276,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-final-2,benchmark,,benchmark end,,,,1739225.931,6407544.147,17.666,5.384607569,,37.9367214,-122.5343273,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-final-3,benchmark,,benchmark end,,,,1739225.936,6407544.097,17.421,5.30993142,,37.9367214,-122.5343274,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-final-4,benchmark,,benchmark end,,,,1739226.005,6407543.945,17.389,5.3001778,,37.9367216,-122.534328,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,benchmark-final-5,benchmark,,benchmark end,,,,1739226.006,6407543.984,17.561,5.352603505,,37.9367216,-122.5343278,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-1,ep,C3,elevation profile,,,1.0,1736638.368,6416401.657,2.539,0.773888748,-3.82,37.9297556,-122.5035701,CA zone II (EPSG:2226)
