Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-start-1,benchmark,,benchmark start,,,,2188683.494,6026846.125,26.906,8.200965202,,37.9911956,-122.3559761,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-start-2,benchmark,,benchmark start,,,,2188683.478,6026846.124,26.977,8.222606045,,37.9911956,-122.3559761,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-start-3,benchmark,,benchmark start,,,,2188683.48,6026846.123,26.95,8.214376429,,37.9911956,-122.3559761,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-final-1,benchmark,,benchmark end,,,,2188683.454,6026846.114,26.938,8.210718821,,37.9911955,-122.3559761,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-final-2,benchmark,,benchmark end,,,,2188683.454,6026846.116,26.932,8.208890018,,37.9911955,-122.3559761,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-final-3,benchmark,,benchmark end,,,,2188683.443,6026846.135,26.94,8.211328423,,37.9911955,-122.355976,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,benchmark-final-4,benchmark,,benchmark end,,,,2188683.432,6026846.128,26.926,8.207061214,,37.9911955,-122.355976,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-1,ep,GM3,elevation profile,,,1.0,2188638.407,6025878.224,3.096,0.943662687,-5.53,37.9910191,-122.359331,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-2,ep,GM3,elevation profile,,,2.0,2188639.434,6025883.684,3.368,1.026568453,-3.84,37.9910222,-122.3593121,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-3,ep,GM3,elevation profile,,,3.0,2188639.951,6025886.607,3.513,1.070764542,-2.94,37.9910238,-122.359302,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-4,ep,GM3,elevation profile,,,4.0,2188639.94,6025886.901,3.698,1.127152654,-2.85,37.9910238,-122.359301,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-5,ep,GM3,elevation profile,,,5.0,2188640.015,6025887.099,3.778,1.151536703,-2.78,37.991024,-122.3593003,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-6,ep,GM3,elevation profile,,,6.0,2188639.971,6025887.469,4.085,1.24511049,-2.67,37.9910239,-122.359299,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-7,ep,GM3,elevation profile,,,7.0,2188639.94,6025887.894,4.213,1.284124968,-2.54,37.9910238,-122.3592975,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-8,ep,GM3,elevation profile,,,8.0,2188639.95,6025888.267,4.326,1.318567437,-2.43,37.9910239,-122.3592962,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-9,ep,GM3,elevation profile,,,9.0,2188640.048,6025888.841,4.41,1.344170688,-2.25,37.9910242,-122.3592942,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-10,ep,GM3,elevation profile,,,10.0,2188640.24,6025889.804,4.722,1.439268479,-1.95,37.9910247,-122.3592909,CA zone III (EPSG:2227)
