,,,Site Field Observation Sheet: SITE __________________________________________________,,,,,,,,,,
KEY ,,,,,,,,,Site Field Summary Notes: ,,NEEDS DOUBLE CHECKING-ADD THE ONE NOTE INFO,,
SITE (Name): ,,,,,,,,,,,,,
Transects,,,,,1or 2,,,,,,,,
DISTANCE (m):  ,,,,,"0.5, 2, 6, 12, 24, 48 ",,,,,,,,
REPLICATE/EXTRA ,,,,,"a, b, c, E (extra)",,,,,,,,
STUDY PHASE ,,,,,P (Pilot) or M1-M14,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLACE,,,,,,,,,COLLECT,,,,
Date,,,,,Study Phase-Site-Tran-Dist-Rep/Extra,Notes,,,Date,Study Phase-Site-Tran-Dist-Rep/Extra,Notes,% Filter Recovered ,
Site Field Observation Sheet: SITE S,,,,,,,,,,,,,
11/3/2025,,,,,M5-S1-6 SA,a-b-c-d reps are RKT messy ,,,11/3/2025,M5-S1-6c,Filter chewed up ,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,M5 S1-18c,Filter ripped up ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE G,,,,,,,,,,,,,
11/4/2025,,,,,,,,,11/4/2025,M5-G2-48 SA,In Bags for G1-48 SA ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M5-G2-0.5 SA,Used G2-2a bag; all bags and filters are messy ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M5-G2-2 SA, All bags and filters are messy ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M5-G2-0.5SA,Lots of ulva see photo no much sediment ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M5-G2-0.5 b and c ,"b hit fingers at collection        c flew in wind on collection, some loss of sediment",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G1,   Scarp: 1.48 meters                                                     Spartina: None                   Pickleweed: 0.44 meters           ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G2,   Scarp: 1.48 meters                                                     Spartina: 0.24 meters                 Pickleweed: 0.91 meters (hard to read)            ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE C,,,,,,,,,,,,,
6-Nov,,,,,M5-C1-24 SA,Used C1-12 SA filters ,,,11/6/2025,M4-C1-24a,Slight fold,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,M5-C1-12 SA,Used C1-24 SA filters ,,,,M4-C1-6a,"Filter broken, maybe 25%; see photo",25,
,,,,,,,,,,,,,
,,,,,M5-C2-18 SA,Doesn't have 1 pin bring an extra for M6 ,,,,M4-C1-6b,"Somewhat half, see photo ",~50%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M4-C1-2 SA,Area need a PVC pole marking-stepped on pads before collection,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M4-C2-0.5c,Dropped while collecting but not much on it,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,rubber mats-generally sediment underneath it ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M4-C2-24a,"Half filter roughly, didn't have to cut ",50%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M4-C2-12 SA,"Ponding a and b under water, see picture",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,M4-C2-48 SA,Slight ponding collected anyway at the end of the day ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE B,,,,,,,,,,,,,
11/15/2025,,,,,,,,,,M4-B1-24 SA,Weird holes 24a most damage ,50%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE S,,,,,,,,,,,,,
12/2/2025,,,,,S2-24 SA,Big pile of wrack in front of Sampling area-pictured ,,,,S2-24 SA,Big pile of wrack in front of Sampling area-pictured,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,S2-48 ,2:10 pm water over filter ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,S2-24a,Little messy on placement ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,S2-2a,Under water at time fo collection ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,S1-2b and 2c,Dropped filter mid collect but didn't think missed too much sediment ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,S1-18 SA,Used S1 24 SA filters ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,S1-24 SA,Used S1 18 SA filters ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,S2-48 b,Dropped on side small amount of sediment slipped off ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,S1 and S2 24 SA ,big line of wood wrack see photos ,,,,S1 and S2 24 SA,big line of wood wrack see photos ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Scarp/Pickle/Spartina ,S1,   Scarp: NA                                                    Spartina: 9 cm                 Pickleweed: 6.8 cm          ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Scarp/Pickle/Spartina ,S2,   Scarp: NA                                                   Spartina: 7 cm              Pickleweed: 7.45 cm           ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE C,,,,,,,,,,,,,
3-Dec,,,,,,Marsh pretty flooded during walk 1-2 pm ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
