Site,PlotID,Month,Season,Year,Species,Cover,AvgHt,MaxHt
B,T1-0.5,FEBRUARY,WINTER,2026,SAPA,50,48,53.5
B,T1-2,FEBRUARY,WINTER,2026,SAPA,55,34,39
B,T1-6,FEBRUARY,WINTER,2026,SAPA,80,31,33
B,T1-12,FEBRUARY,WINTER,2026,SAPA,90,34,41.5
B,T1-18,FEBRUARY,WINTER,2026,TRIG,50,15,18.5
B,T1-18,FEBRUARY,WINTER,2026,SAPA,20,25,36
B,T1-24,FEBRUARY,WINTER,2026,TRIG,55,13,18.5
B,T1-24,FEBRUARY,WINTER,2026,SAPA,30,29,36
B,T1-48,FEBRUARY,WINTER,2026,SAPA,70,36,38
B,T2-0.5,FEBRUARY,WINTER,2026,JACA,60,26,32
B,T2-0.5,FEBRUARY,WINTER,2026,SPFO,10,66,75
B,T2-0.5,FEBRUARY,WINTER,2026,SAPA,40,40,59
B,T2-2,FEBRUARY,WINTER,2026,SAPA,80,35,40
B,T2-6,FEBRUARY,WINTER,2026,SAPA,80,37,42
B,T2-12,FEBRUARY,WINTER,2026,SAPA,75,32,35
B,T2-18,FEBRUARY,WINTER,2026,TRIG,40,16,24
B,T2-18,FEBRUARY,WINTER,2026,SAPA,20,25,29
B,T2-24,FEBRUARY,WINTER,2026,SAPA,65,42,55
B,T2-48,FEBRUARY,WINTER,2026,SAPA,70,38,42
G,T1-0.5,FEBRUARY,WINTER,2026,DISP,60,15,20.5
G,T1-0.5,FEBRUARY,WINTER,2026,SAPA,40,26,29
G,T1-2,FEBRUARY,WINTER,2026,SAPA,50,29,31
G,T1-6,FEBRUARY,WINTER,2026,SAPA,80,39,42.5
G,T1-12,FEBRUARY,WINTER,2026,SAPA,60,51,71
G,T1-18,FEBRUARY,WINTER,2026,SAPA,80,80,38
G,T1-24,FEBRUARY,WINTER,2026,SAPA,85,38,44
G,T1-48,FEBRUARY,WINTER,2026,SAPA,45,36,45
G,T2-0.5,FEBRUARY,WINTER,2026,SAPA,10,28,28
G,T2-2,FEBRUARY,WINTER,2026,SAPA,50,23.5,29
G,T2-6,FEBRUARY,WINTER,2026,SAPA,90,33,37.5
G,T2-12,FEBRUARY,WINTER,2026,SAPA,90,39,45.5
G,T2-18,FEBRUARY,WINTER,2026,SAPA,75,37,43
G,T2-24,FEBRUARY,WINTER,2026,SAPA,70,41,46
G,T2-48,FEBRUARY,WINTER,2026,SAPA,90,37,43
C,T1-0.5,FEBRUARY,WINTER,2026,JACA,70,14,15
C,T1-0.5,FEBRUARY,WINTER,2026,SAPA,15,22,25
C,T1-2,FEBRUARY,WINTER,2026,SAPA,10,35,35
C,T1-2,FEBRUARY,WINTER,2026,JACA,70,15,17.5
C,T1-6,FEBRUARY,WINTER,2026,DISP,90,25,31
C,T1-6,FEBRUARY,WINTER,2026,SAPA,15,31,30.5
C,T1-12,FEBRUARY,WINTER,2026,SAPA,50,53,62
C,T1-12,FEBRUARY,WINTER,2026,SPFO,15,71,98
C,T1-18,FEBRUARY,WINTER,2026,SAPA,65,46,48
C,T1-18,FEBRUARY,WINTER,2026,SPFO,30,73,81
C,T1-24,FEBRUARY,WINTER,2026,SAPA,70,46,56
C,T1-24,FEBRUARY,WINTER,2026,SPFO,30,68,74
C,T1-48,FEBRUARY,WINTER,2026,DISP,75,34,39
C,T1-48,FEBRUARY,WINTER,2026,SAPA,15,NA,NA
C,T2-0.5,FEBRUARY,WINTER,2026,SAPA,55,35,39
C,T2-0.5,FEBRUARY,WINTER,2026,JACA,50,NA,NA
C,T2-2,FEBRUARY,WINTER,2026,SAPA,30,32,31.5
C,T2-2,FEBRUARY,WINTER,2026,JACA,60,13,15
C,T2-6,FEBRUARY,WINTER,2026,SAPA,45,48,57
C,T2-6,FEBRUARY,WINTER,2026,SPFO,20,70,81
C,T2-12,FEBRUARY,WINTER,2026,SAPA,50,45,57
C,T2-18,FEBRUARY,WINTER,2026,SAPA,45,48,55
C,T2-18,FEBRUARY,WINTER,2026,SPFO,40,66,70
C,T2-24,FEBRUARY,WINTER,2026,SPFO,15,60,65
C,T2-24,FEBRUARY,WINTER,2026,SAPA,45,42,52
C,T2-48,FEBRUARY,WINTER,2026,DISP,95,34,44
C,T2-48,FEBRUARY,WINTER,2026,SPFO,5,58,57.5
S ,T1-0.5,FEBRUARY,WINTER,2026,SAPA,65,57,66
S ,T1-0.5,FEBRUARY,WINTER,2026,SPFO,20,NA,NA
S ,T1-2,FEBRUARY,WINTER,2026,SAPA,70,53,62.5
S ,T1-6,FEBRUARY,WINTER,2026,SAPA,50,60,63
S ,T1-12,FEBRUARY,WINTER,2026,SAPA,65,50,51
S ,T1-18,FEBRUARY,WINTER,2026,SAPA,80,63,66.5
S ,T1-24,FEBRUARY,WINTER,2026,SAPA,85,57,60
S ,T1-48,FEBRUARY,WINTER,2026,SAPA,90,56,61.5
S ,T2-0.5,FEBRUARY,WINTER,2026,SPFO,20,67,67.5
S ,T2-0.5,FEBRUARY,WINTER,2026,SAPA,30,52,57
S ,T2-2,FEBRUARY,WINTER,2026,SPFO,20,70,79
S ,T2-2,FEBRUARY,WINTER,2026,SAPA,35,55,65.5
S ,T2-6,FEBRUARY,WINTER,2026,SAPA,65,52,62
S ,T2-12,FEBRUARY,WINTER,2026,SAPA,75,54,57
S ,T2-18,FEBRUARY,WINTER,2026,SAPA,90,65,68.5
S ,T2-24,FEBRUARY,WINTER,2026,SAPA,70,57,62.5
S ,T2-48,FEBRUARY,WINTER,2026,SAPA,75,47.25,50
B,T1-0.5,JUNE,SUMMER,2026,SPFO,30,89.5,95.5
B,T1-0.5,JUNE,SUMMER,2026,SAPA,45,52.75,60
B,T1-2,JUNE,SUMMER,2026,SAPA,55,39,42
B,T1-6,JUNE,SUMMER,2026,SAPA,90,39,44
B,T1-12,JUNE,SUMMER,2026,SAPA,90,37,39
B,T1-18,JUNE,SUMMER,2026,TRIG,65,20.75,18.5
B,T1-18,JUNE,SUMMER,2026,SAPA,15,30.75,35
B,T1-24,JUNE,SUMMER,2026,SAPA,35,30.25,38.5
B,T1-24,JUNE,SUMMER,2026,TRIG,40,15.75,18.5
B,T1-48,JUNE,SUMMER,2026,SAPA,75,35,40.5
B,T2-0.5,JUNE,SUMMER,2026,SPFO,10,64.75,71.5
B,T2-0.5,JUNE,SUMMER,2026,SAPA,50,40.125,46
B,T2-2,JUNE,SUMMER,2026,SAPA,55,33.875,35
B,T2-6,JUNE,SUMMER,2026,SAPA,85,36.5,44
B,T2-12,JUNE,SUMMER,2026,SAPA,75,35.25,39
B,T2-18,JUNE,SUMMER,2026,TRIG,70,21.5,27
B,T2-18,JUNE,SUMMER,2026,SAPA,15,30,45
B,T2-24,JUNE,SUMMER,2026,SAPA,80,42.125,55.5
B,T2-48,JUNE,SUMMER,2026,SAPA,55,40.5,46
G,T1-0.5,JUNE,SUMMER,2026,DISP,30,NA?,20.5
G,T1-0.5,JUNE,SUMMER,2026,SAPA,15,24.833,33
G,T1-0.5,JUNE,SUMMER,2026,Seaweed,65,7.25,9
G,T1-2,JUNE,SUMMER,2026,DISP,40,NA,NA
G,T1-2,JUNE,SUMMER,2026,SAPA,50,33.625,35.5
G,T1-6,JUNE,SUMMER,2026,SAPA,85,39.625,43
G,T1-12,JUNE,SUMMER,2026,SAPA,80,46.25,58
G,T1-18,JUNE,SUMMER,2026,SAPA,90,37.25,44
G,T1-24,JUNE,SUMMER,2026,SAPA,50,35.25,41.5
G,T1-24,JUNE,SUMMER,2026,JACA,55,19.875,23
G,T1-48,JUNE,SUMMER,2026,JACA,75,19.25,26
G,T2-0.5,JUNE,SUMMER,2026,NA,NA,NA,NA
G,T2-2,JUNE,SUMMER,2026,SAPA,20,20.25,26.5
G,T2-2,JUNE,SUMMER,2026,Seaweed,80,12.125,13.5
G,T2-6,JUNE,SUMMER,2026,SAPA,85,33.375,39
G,T2-12,JUNE,SUMMER,2026,SAPA,95,36.375,43
G,T2-18,JUNE,SUMMER,2026,SAPA,90,43,47
G,T2-24,JUNE,SUMMER,2026,SAPA,95,42.25,45
G,T2-48,JUNE,SUMMER,2026,SAPA,95,38.125,47
C,T1-0.5,JUNE,SUMMER,2026,JACA,80,14.5,16.5
C,T1-0.5,JUNE,SUMMER,2026,SAPA,5,28,28
C,T1-2,JUNE,SUMMER,2026,SAPA,10,33,35
C,T1-2,JUNE,SUMMER,2026,JACA,75,15.375,18
C,T1-6,JUNE,SUMMER,2026,DISP,95,35.625,37.5
C,T1-12,JUNE,SUMMER,2026,SAPA,60,54.125,95
C,T1-12,JUNE,SUMMER,2026,SPFO,20,77.25,56.5
C,T1-18,JUNE,SUMMER,2026,SAPA,35,44.375,51
C,T1-18,JUNE,SUMMER,2026,SPFO,45,68.25,71
C,T1-24,JUNE,SUMMER,2026,SAPA,15,45.75,55
C,T1-24,JUNE,SUMMER,2026,JACA,80,25,30
C,T1-24,JUNE,SUMMER,2026,SPFO,20,64.25,7.15
C,T1-48,JUNE,SUMMER,2026,DISP,90,30.125,33.5
C,T1-48,JUNE,SUMMER,2026,SAPA,5,27.25,30.5
C,T2-0.5,JUNE,SUMMER,2026,SAPA,20,34.875,42.5
C,T2-0.5,JUNE,SUMMER,2026,JACA,75,16.25,19
C,T2-2,JUNE,SUMMER,2026,SAPA,20,24.83,32.5
C,T2-2,JUNE,SUMMER,2026,JACA,75,16.375,19
C,T2-6,JUNE,SUMMER,2026,SAPA,40,43,53
C,T2-6,JUNE,SUMMER,2026,JACA,50,21.875,25
C,T2-6,JUNE,SUMMER,2026,SPFO,10,53.167,60
C,T2-12,JUNE,SUMMER,2026,SAPA,35,48,64
C,T2-12,JUNE,SUMMER,2026,JACA,55,20.75,23
C,T2-12,JUNE,SUMMER,2026,SPFO,15,48.75,53
C,T2-18,JUNE,SUMMER,2026,SAPA,25,48.75,51
