Site,Plot ID,Month ,Season,Year,Species,Avg Ht,Max Ht,Cover
San Pablo,A0.5,AUGUST,Summer ,2022,SPFO,75,100,1
San Pablo,A2,AUGUST,Summer ,2022,SPFO,81,100,5
San Pablo,A6,AUGUST,Summer ,2022,SPFO,80,99,10
San Pablo,A12,AUGUST,Summer ,2022,SPFO,65,87,20
San Pablo,A24,AUGUST,Summer ,2022,SAPA,45,60,45
San Pablo,A48,AUGUST,Summer ,2022,SAPA,50,95,90
San Pablo,A72,AUGUST,Summer ,2022,SAPA,40,58,85
San Pablo,A150,AUGUST,Summer ,2022,SAPA,40,60,80
San Pablo,B0.5,AUGUST,Summer ,2022,SPFO,60,110,1
San Pablo,B2,AUGUST,Summer ,2022,SPFO,60,95,5
San Pablo,B6,AUGUST,Summer ,2022,SPFO,60,100,10
San Pablo,B12,AUGUST,Summer ,2022,SPFO,65,90,20
San Pablo,B24,AUGUST,Summer ,2022,SPFO,35,40,10
San Pablo,B24,AUGUST,Summer ,2022,SAPA,28,45,10
San Pablo,B48,AUGUST,Summer ,2022,SAPA,45,58,85
San Pablo,B72,AUGUST,Summer ,2022,SAPA,30,55,80
San Pablo,B150,AUGUST,Summer ,2022,SAPA,35,54,85
San Pablo,C0.5,AUGUST,Summer ,2022,SPFO,65,98,2
San Pablo,C2,AUGUST,Summer ,2022,SPFO,80,106,5
San Pablo,C6,AUGUST,Summer ,2022,SPFO,70,101,20
San Pablo,C12,AUGUST,Summer ,2022,SPFO,70,90,35
San Pablo,C24,AUGUST,Summer ,2022,SPFO,53,74,2
San Pablo,C24,AUGUST,Summer ,2022,SAPA,30,43,70
San Pablo,C48,AUGUST,Summer ,2022,SAPA,25,36,60
San Pablo,C72,AUGUST,Summer ,2022,SAPA,45,64,85
San Pablo,C150,AUGUST,Summer ,2022,SAPA,34,62,80
San Pablo,D0.5,AUGUST,Summer ,2022,SPFO,89,108,2
San Pablo,D2,AUGUST,Summer ,2022,SPFO,72,97,5
San Pablo,D6,AUGUST,Summer ,2022,SPFO,90,111,10
San Pablo,D12,AUGUST,Summer ,2022,SPFO,50,79,35
San Pablo,D24,AUGUST,Summer ,2022,SAPA,37,50,35
San Pablo,D48,AUGUST,Summer ,2022,SAPA,45,65,90
San Pablo,D72,AUGUST,Summer ,2022,SAPA,40,56,80
San Pablo,D150,AUGUST,Summer ,2022,SAPA,35,55,80
San Pablo,A0.5,FEBRUARY ,Winter ,2023,SPFO,25,32,10
San Pablo,A2,FEBRUARY ,Winter ,2023,SPFO,30,48,15
San Pablo,A6,FEBRUARY ,Winter ,2023,SPFO,24,51,15
San Pablo,A9,FEBRUARY ,Winter ,2023,SPFO,26,58,30
San Pablo,A24,FEBRUARY ,Winter ,2023,SPFO,30,41,20
San Pablo,A24,FEBRUARY ,Winter ,2023,SAPA,25,60,80
San Pablo,A48,FEBRUARY ,Winter ,2023,SAPA,47,69,100
San Pablo,A72,FEBRUARY ,Winter ,2023,SAPA,39,64,95
San Pablo,A150,FEBRUARY ,Winter ,2023,SAPA,31,62,90
San Pablo,B6,FEBRUARY ,Winter ,2023,SPFO,24,56,1
San Pablo,B9,FEBRUARY ,Winter ,2023,SPFO,18,44,5
San Pablo,B12,FEBRUARY ,Winter ,2023,SPFO,22,33,5
San Pablo,B18,FEBRUARY ,Winter ,2023,SPFO,27,36,10
San Pablo,B24,FEBRUARY ,Winter ,2023,SPFO,25,41,30
San Pablo,B24,FEBRUARY ,Winter ,2023,SPFO,20,40,10
San Pablo,B48,FEBRUARY ,Winter ,2023,SAPA,28,44,40
San Pablo,B72,FEBRUARY ,Winter ,2023,SAPA,39,55,95
San Pablo,B150,FEBRUARY ,Winter ,2023,SAPA,25,63,100
San Pablo,C2,FEBRUARY ,Winter ,2023,SPFO,17,35,10
San Pablo,C6,FEBRUARY ,Winter ,2023,SPFO,21,55,20
San Pablo,C12,FEBRUARY ,Winter ,2023,SPFO,16,48,30
San Pablo,C24,FEBRUARY ,Winter ,2023,SPFO,6,20,5
San Pablo,C24,FEBRUARY ,Winter ,2023,SAPA,34,45,10
San Pablo,C48,FEBRUARY ,Winter ,2023,SAPA,24,41,5
San Pablo,C72,FEBRUARY ,Winter ,2023,SAPA,44,64,100
San Pablo,C150,FEBRUARY ,Winter ,2023,SAPA,30,52,100
San Pablo,D2,FEBRUARY ,Winter ,2023,SPFO,20,27,5
San Pablo,D12,FEBRUARY ,Winter ,2023,SPFO,32,44,15
San Pablo,D24,FEBRUARY ,Winter ,2023,SAPA,28,49,30
San Pablo,D48,FEBRUARY ,Winter ,2023,SAPA,40,51,80
San Pablo,D72,FEBRUARY ,Winter ,2023,SAPA,39,60,95
San Pablo,D150,FEBRUARY ,Winter ,2023,SAPA,35,63,95
San Pablo,A0.5,JULY ,Summer ,2023,NA,NA,NA,0
San Pablo,A2,JULY ,Summer ,2023,NA,NA,NA,0
