Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Season,Year,Flux,LOI,duplicate_type
San Pablo,A,0.5,a,6/2/2022,6/30/2022,Spring,2022,34.20182303,NA,na_pair_autoresolved
San Pablo,A,0.5,b,6/2/2022,6/30/2022,Spring,2022,3.028905313,NA,na_pair_autoresolved
San Pablo,A,0.5,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,A,0.5,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,A,2,c,6/2/2022,6/30/2022,Spring,2022,27.61173359,NA,na_pair_autoresolved
San Pablo,A,2,a,6/2/2022,6/30/2022,Spring,2022,13.58382874,NA,na_pair_autoresolved
San Pablo,A,2,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,A,2,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,A,6,b,6/2/2022,6/30/2022,Spring,2022,3.689200547,NA,na_pair_autoresolved
San Pablo,A,6,c,6/2/2022,6/30/2022,Spring,2022,1.824080895,NA,na_pair_autoresolved
San Pablo,A,6,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,A,6,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,0.5,a,6/2/2022,6/30/2022,Spring,2022,2.961528249,NA,na_pair_autoresolved
San Pablo,B,0.5,b,6/2/2022,6/30/2022,Spring,2022,2.734283785,NA,na_pair_autoresolved
San Pablo,B,0.5,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,0.5,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,2,c,6/2/2022,6/30/2022,Spring,2022,13.49868863,NA,na_pair_autoresolved
San Pablo,B,2,a,6/2/2022,6/30/2022,Spring,2022,3.04544332,NA,na_pair_autoresolved
San Pablo,B,2,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,2,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,6,b,6/2/2022,6/30/2022,Spring,2022,8.044821514,NA,na_pair_autoresolved
San Pablo,B,6,c,6/2/2022,6/30/2022,Spring,2022,2.758784536,NA,na_pair_autoresolved
San Pablo,B,6,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,B,6,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,0.5,a,6/2/2022,6/30/2022,Spring,2022,3.049118433,NA,na_pair_autoresolved
San Pablo,C,0.5,b,6/2/2022,6/30/2022,Spring,2022,1.952097317,NA,na_pair_autoresolved
San Pablo,C,0.5,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,0.5,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,2,c,6/2/2022,6/30/2022,Spring,2022,3.112820385,NA,na_pair_autoresolved
San Pablo,C,2,a,6/2/2022,6/30/2022,Spring,2022,1.325490616,NA,na_pair_autoresolved
San Pablo,C,2,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,2,a,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,6,b,6/2/2022,6/30/2022,Spring,2022,1.615211994,NA,na_pair_autoresolved
San Pablo,C,6,c,6/2/2022,6/30/2022,Spring,2022,1.334678398,NA,na_pair_autoresolved
San Pablo,C,6,b,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,C,6,c,6/2/2022,6/30/2022,Spring,2022,NA,NA,na_pair_autoresolved
San Pablo,D,0.5,a,6/2/2022,6/30/2022,Spring,2022,58.37058862,NA,na_pair_autoresolved
San Pablo,D,0.5,a,6/2/2022,6/30/2022,Spring,2022,NA,5.805333235,na_pair_autoresolved
San Pablo,D,6,b,6/2/2022,6/30/2022,Spring,2022,1.419205988,NA,na_pair_autoresolved
San Pablo,D,6,b,6/2/2022,6/30/2022,Spring,2022,NA,6.150614329,na_pair_autoresolved
San Pablo,D,0.5,b,6/2/2022,6/30/2022,Spring,2022,4.651467533,NA,conflicting_values
San Pablo,D,0.5,b,6/2/2022,6/30/2022,Spring,2022,14.65757415,NA,conflicting_values
San Pablo,D,2,c,6/2/2022,6/30/2022,Spring,2022,28.87413478,NA,conflicting_values
San Pablo,D,2,a,6/2/2022,6/30/2022,Spring,2022,5.735013236,NA,conflicting_values
San Pablo,D,2,c,6/2/2022,6/30/2022,Spring,2022,17.15175057,5.400276052,conflicting_values
San Pablo,D,2,a,6/2/2022,6/30/2022,Spring,2022,15.95978905,NA,conflicting_values
San Pablo,D,6,c,6/2/2022,6/30/2022,Spring,2022,2.691407472,NA,conflicting_values
San Pablo,D,6,c,6/2/2022,6/30/2022,Spring,2022,72.50813434,7.73793714,conflicting_values
San Pablo,D,24,a,8/25/2022,9/22/2022,Fall,2022,211.8518667,9.933678615,conflicting_values
San Pablo,D,24,a,8/25/2022,9/22/2022,Fall,2022,214.8593338,NA,conflicting_values
Corte Madera,D,0.5,c,3/23/2023,4/20/2023,Spring,2023,0.567262926,NA,conflicting_values
Corte Madera,D,0.5,c,3/23/2023,4/20/2023,Spring,2023,0.203994119,NA,conflicting_values
Corte Madera,C,0.5,a,5/18/2023,6/20/2023,Spring,2023,2.837465565,NA,conflicting_values
Corte Madera,C,0.5,a,5/18/2023,6/20/2023,Spring,2023,17.61318156,NA,conflicting_values
San Pablo,D,24,b,5/19/2023,6/21/2023,Spring,2023,219.8666191,NA,conflicting_values
San Pablo,D,24,b,5/19/2023,6/21/2023,Spring,2023,307.2714141,NA,conflicting_values
San Pablo,D,24,c,6/21/2023,7/20/2023,Summer,2023,377.3239811,7.737758864,conflicting_values
San Pablo,D,24,c,6/21/2023,7/20/2023,Summer,2023,395.2693448,NA,conflicting_values
