Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Season,Month,Year,Flux,LOI,marsh_edge_type,marsh_orientation,Study.Phase,Phen_Period,Marsh_Loc,Elevation_m,z_star,Species,AvgHt,MaxHt,Cover
CorteMadera,A,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,0.131691535,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SAPA,44,54,60
CorteMadera,A,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,0.131691535,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SPFO,59,79,10
CorteMadera,A,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,0.689696134,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SAPA,44,54,60
CorteMadera,A,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,0.689696134,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SPFO,59,79,10
CorteMadera,A,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,0.62721922,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SAPA,44,54,60
CorteMadera,A,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,0.62721922,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.598,0.69919351,SPFO,59,79,10
CorteMadera,A,2,a,2022-07-27,2022-08-24,Summer,August,2022,5.975733112,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SAPA,26,37,30
CorteMadera,A,2,a,2022-07-27,2022-08-24,Summer,August,2022,5.975733112,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SPFO,54,64,15
CorteMadera,A,2,a,2022-07-27,2022-08-24,Summer,August,2022,5.975733112,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,JACA,9,10,1
CorteMadera,A,2,b,2022-07-27,2022-08-24,Summer,August,2022,3.093219784,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SAPA,26,37,30
CorteMadera,A,2,b,2022-07-27,2022-08-24,Summer,August,2022,3.093219784,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SPFO,54,64,15
CorteMadera,A,2,b,2022-07-27,2022-08-24,Summer,August,2022,3.093219784,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,JACA,9,10,1
CorteMadera,A,2,c,2022-07-27,2022-08-24,Summer,August,2022,2.260194258,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SAPA,26,37,30
CorteMadera,A,2,c,2022-07-27,2022-08-24,Summer,August,2022,2.260194258,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,SPFO,54,64,15
CorteMadera,A,2,c,2022-07-27,2022-08-24,Summer,August,2022,2.260194258,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.684,0.801794321,JACA,9,10,1
CorteMadera,A,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.583604168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SAPA,31,39,5
CorteMadera,A,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.583604168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SPFO,31,45,5
CorteMadera,A,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.583604168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,JACA,19,26,60
CorteMadera,A,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.583604168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,DISP,24,32,30
CorteMadera,A,6,b,2022-07-27,2022-08-24,Summer,August,2022,2.81146115,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SAPA,31,39,5
CorteMadera,A,6,b,2022-07-27,2022-08-24,Summer,August,2022,2.81146115,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SPFO,31,45,5
CorteMadera,A,6,b,2022-07-27,2022-08-24,Summer,August,2022,2.81146115,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,JACA,19,26,60
CorteMadera,A,6,b,2022-07-27,2022-08-24,Summer,August,2022,2.81146115,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,DISP,24,32,30
CorteMadera,A,6,c,2022-07-27,2022-08-24,Summer,August,2022,1.886557809,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SAPA,31,39,5
CorteMadera,A,6,c,2022-07-27,2022-08-24,Summer,August,2022,1.886557809,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,SPFO,31,45,5
CorteMadera,A,6,c,2022-07-27,2022-08-24,Summer,August,2022,1.886557809,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,JACA,19,26,60
CorteMadera,A,6,c,2022-07-27,2022-08-24,Summer,August,2022,1.886557809,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.691,0.81014555,DISP,24,32,30
CorteMadera,A,12,a,2022-07-27,2022-08-24,Summer,August,2022,6.913499347,8.859859018,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SAPA,28,41,10
