Site,Marsh location,Transect,Distance,Plot ID,Easting,Northing,Elev (m),Elev (ft),FID,MSL,MHHW,z_star
Corte Madera,Bay,A,0.5,A0.5,543650.0,4198100,1.598,5.242782152,512,3.32,6.07,0.69919351
Corte Madera,Bay,A,2.0,A2,543648.6,4198100,1.684,5.524934383,512,3.32,6.07,0.801794321
Corte Madera,Bay,A,6.0,A6,543645.1,4198098,1.691,5.547900262,512,3.32,6.07,0.81014555
Corte Madera,Bay,A,12.0,A12,543639.9,4198095,1.705,5.593832021,512,3.32,6.07,0.826848008
Corte Madera,Bay,A,24.0,A24,543629.5,4198089,1.664,5.459317585,512,3.32,6.07,0.777933667
Corte Madera,Bay,A,48.0,A48,543608.9,4198077,1.724,5.656167979,512,3.32,6.07,0.849515629
Corte Madera,Bay,B,0.5,B0.5,543631.3,4198134,1.576,5.170603675,512,3.32,6.07,0.672946791
Corte Madera,Bay,B,2.0,B2,543630.1,4198134,1.605,5.265748031,512,3.32,6.07,0.707544739
Corte Madera,Bay,B,6.0,B6,543626.5,4198132,1.672,5.485564304,512,3.32,6.07,0.787477929
Corte Madera,Bay,B,12.0,B12,543621.2,4198129,1.664,5.459317585,512,3.32,6.07,0.777933667
Corte Madera,Bay,B,24.0,B24,543610.6,4198123,1.642,5.387139108,512,3.32,6.07,0.751686948
Corte Madera,Bay,B,48.0,B48,543589.6,4198112,1.692,5.551181102,512,3.32,6.07,0.811338583
Corte Madera,Channel,C,0.5,C0.5,543453.0,4198193,1.792,5.879265092,512,3.32,6.07,0.930641852
Corte Madera,Channel,C,2.0,C2,543453.3,4198192,1.766,5.793963255,512,3.32,6.07,0.899623002
Corte Madera,Channel,C,6.0,C6,543453.8,4198188,1.796,5.892388451,512,3.32,6.07,0.935413982
Corte Madera,Channel,C,12.0,C12,543454.5,4198182,1.737,5.698818898,512,3.32,6.07,0.865025054
Corte Madera,Channel,C,24.0,C24,543455.9,4198170,1.713,5.62007874,512,3.32,6.07,0.836392269
Corte Madera,Channel,C,48.0,C48,543458.8,4198146,1.73,5.675853018,512,3.32,6.07,0.856673825
Corte Madera,Channel,D,0.5,D0.5,543425.0,4198184,1.842,6.043307087,512,3.32,6.07,0.990293486
Corte Madera,Channel,D,2.0,D2,543424.8,4198182,1.829,6.000656168,512,3.32,6.07,0.974784061
Corte Madera,Channel,D,6.0,D6,543425.0,4198179,1.858,6.095800525,512,3.32,6.07,1.009382009
Corte Madera,Channel,D,12.0,D12,543425.1,4198173,1.791,5.875984252,512,3.32,6.07,0.929448819
Corte Madera,Channel,D,24.0,D24,543425.3,4198161,1.765,5.790682415,512,3.32,6.07,0.898429969
Corte Madera,Channel,D,48.0,D48,543425.9,4198137,1.728,5.669291339,512,3.32,6.07,0.854287759
San Pablo,Bay,A,0.5,A0.5,546134.4,4218696,0.735,2.411417323,152,3.395,6.25,-0.344512321
San Pablo,Bay,A,2.0,A2,546134.0,4218698,0.751,2.463910761,152,3.395,6.25,-0.326125828
San Pablo,Bay,A,6.0,A6,546132.8,4218702,0.889,2.916666667,152,3.395,6.25,-0.167542323
San Pablo,Bay,A,12.0,A12,546131.2,4218707,1.069,3.507217848,152,3.395,6.25,0.039305726
San Pablo,Bay,A,24.0,A24,546127.8,4218719,1.713,5.62007874,152,3.395,6.25,0.779362081
San Pablo,Bay,A,48.0,A48,546121.3,4218742,2.01,6.594488189,152,3.395,6.25,1.120661362
San Pablo,Bay,A,72.0,A72,546114.7,4218765,2.04,6.692913386,152,3.395,6.25,1.155136037
San Pablo,Bay,A,150.0,A150,546094.0,4218840,1.974,6.476377953,152,3.395,6.25,1.079291752
San Pablo,Bay,B,0.5,B0.5,546094.4,4218689,0.774,2.539370079,152,3.395,6.25,-0.299695244
San Pablo,Bay,B,2.0,B2,546094.4,4218690,0.805,2.641076115,152,3.395,6.25,-0.264071413
San Pablo,Bay,B,6.0,B6,546094.1,4218694,0.837,2.746062992,152,3.395,6.25,-0.227298427
San Pablo,Bay,B,12.0,B12,546093.8,4218700,1.042,3.418635171,152,3.395,6.25,0.008278519
San Pablo,Bay,B,24.0,B24,546092.5,4218712,1.563,5.127952756,152,3.395,6.25,0.606988706
San Pablo,Bay,B,48.0,B48,546090.1,4218736,1.978,6.489501312,152,3.395,6.25,1.083888376
San Pablo,Bay,B,72.0,B72,546084.3,4218759,2.012,6.601049869,152,3.395,6.25,1.122959674
San Pablo,Bay,B,150.0,B150,546066.6,4218835,2.014,6.607611549,152,3.395,6.25,1.125257985
San Pablo,Bay,C,0.5,C0.5,544872.2,4218346,0.772,2.532808399,152,3.395,6.25,-0.301993556
San Pablo,Bay,C,2.0,C2,544872.2,4218348,0.834,2.736220472,152,3.395,6.25,-0.230745894
San Pablo,Bay,C,6.0,C6,544871.5,4218352,1.014,3.326771654,152,3.395,6.25,-0.023897845
San Pablo,Bay,C,12.0,C12,544870.8,4218357,1.267,4.156824147,152,3.395,6.25,0.26683858
San Pablo,Bay,C,24.0,C24,544867.7,4218369,1.602,5.255905512,152,3.395,6.25,0.651805783
San Pablo,Bay,C,48.0,C48,544861.4,4218392,1.926,6.318897638,152,3.395,6.25,1.024132272
San Pablo,Bay,C,72.0,C72,544857.1,4218416,2.018,6.620734908,152,3.395,6.25,1.129854609
San Pablo,Bay,C,150.0,C150,544837.9,4218491,1.988,6.522309711,152,3.395,6.25,1.095379934
San Pablo,Bay,D,0.5,D0.5,544839.5,4218340,0.788,2.585301837,152,3.395,6.25,-0.283607062
San Pablo,Bay,D,2.0,D2,544839.2,4218342,0.824,2.703412073,152,3.395,6.25,-0.242237452
San Pablo,Bay,D,6.0,D6,544838.3,4218346,0.961,3.152887139,152,3.395,6.25,-0.084803104
San Pablo,Bay,D,12.0,D12,544836.8,4218352,1.373,4.504593176,152,3.395,6.25,0.388649098
San Pablo,Bay,D,24.0,D24,544833.9,4218363,1.634,5.360892388,152,3.395,6.25,0.68857877
San Pablo,Bay,D,48.0,D48,544827.7,4218386,1.987,6.519028871,152,3.395,6.25,1.094230778
San Pablo,Bay,D,72.0,D72,544821.6,4218409,2.033,6.669947507,152,3.395,6.25,1.147091946
San Pablo,Bay,D,150.0,D150,544800.2,4218484,1.987,6.519028871,152,3.395,6.25,1.094230778
