Season,Study Phase,Site ,Tran,Dist ,Date Measured,Total Percent Covered (%),Percent Covered (%),Percent Covered (Species),"Average Height Total (cm, calc. post field)",Average Height Total (species),Average Height (cm) Q1 ,Average Height (species) Q1 ,Average Height (cm) Q2,Average Height (species) Q2,Average Height (cm) Q3 ,Average Height (species) Q3 ,Average Height (cm) Q4,Average Height (species) Q4,Maximum Height (cm),Maximum Height (Species),Photo Timestamp,Notes
Winter,M7,B,1,0.5,2/21/2026,,20,SPFO,69,SPFO,68,SPFO,65,SPFO,83,SPFO,60.5,SPFO,83,SPFO,9:57 AM,Q3 might be footstep disturbance-took a pic 
Winter,M7,B,1,0.5,2/21/2026,,50,SAPA,48,SAPA,42,SAPA,53.5,SAPA,45,SAPA,51,SAPA,53.5,SAPA,,
Winter,M7,B,1,0.5,2/21/2026,100,30,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,2,2/21/2026,,15,DISP,34,SAPA,38,SAPA,39,SAPA,27.5,SAPA,32,SAPA,39,SAPA,9:45 AM,Q3 might have a human path; distch intertwined with pickleweed 
Winter,M7,B,1,2,2/21/2026,,55,SAPA,NA,,,,,,,,,,0,,,
Winter,M7,B,1,2,2/21/2026,115,45,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,6,2/21/2026,,80,SAPA,31,SAPA,33,SAPA,31,SAPA,32,SAPA,28,SAPA,33,SAPA,9:36 AM,
Winter,M7,B,1,6,2/21/2026,,5,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,1,6,2/21/2026,105,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,12,2/21/2026,,10,Uncovered,NA,,  ,,,,,,,,0,,,
Winter,M7,B,1,12,2/21/2026,100,90,SAPA,34,SAPA,29,SAPA,37,SAPA,30,SAPA,41.5,SAPA,41.5,SAPA,9:27 AM,
Winter,M7,B,1,18,2/21/2026,,15,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,1,18,2/21/2026,,50,TRIG,15,TRIG,18.5,TRIG,12,TRIG,13,TRIG,15,TRIG,18.5,TRIG,9:13 AM,
Winter,M7,B,1,18,2/21/2026,,20,SAPA,25,SAPA,26,SAPA,22,SAPA,14,SAPA,36,SAPA,36,SAPA,,
Winter,M7,B,1,18,2/21/2026,,5,LICA,NA,,,,,,,,,,0,,,
Winter,M7,B,1,18,2/21/2026,,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,18,2/21/2026,135,10,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,1,24,2/21/2026,,30,SAPA,29,SAPA,19,SAPA,36,SAPA,31,SAPA,28.5,SAPA,36,SAPA,8:33 AM,Trig mostly in understor 
