Site,PlotID,Date,Month,Season,Year,Species,Cover,AvgHt,MaxHt
B,T1-0.5,2/21/2026,FEBRUARY,WINTER,2026,SAPA,50,48,53.5
B,T1-0.5,2/21/2026,FEBRUARY,WINTER,2026,SPFO,20,68,83
B,T1-2,2/21/2026,FEBRUARY,WINTER,2026,SAPA,55,34,39
B,T1-2,2/21/2026,FEBRUARY,WINTER,2026,DISP,15,NA,NA
B,T1-6,2/21/2026,FEBRUARY,WINTER,2026,SAPA,80,31,33
B,T1-6,2/21/2026,FEBRUARY,WINTER,2026,DISP,5,NA,NA
B,T1-12,2/21/2026,FEBRUARY,WINTER,2026,SAPA,90,34,41.5
B,T1-18,2/21/2026,FEBRUARY,WINTER,2026,TRIG,50,15,18.5
B,T1-18,2/21/2026,FEBRUARY,WINTER,2026,SAPA,20,25,36
B,T1-18,2/21/2026,FEBRUARY,WINTER,2026,DISP,15,NA,NA
B,T1-18,2/21/2026,FEBRUARY,WINTER,2026,LICA,5,NA,NA
B,T1-18,2/21/2026,FEBRUARY,WINTER,2026,JACA,10,NA,NA
B,T1-24,2/21/2026,FEBRUARY,WINTER,2026,TRIG,55,13,18.5
B,T1-24,2/21/2026,FEBRUARY,WINTER,2026,SAPA,30,29,36
B,T1-24,2/21/2026,FEBRUARY,WINTER,2026,JACA,35,12,15
B,T1-24,2/21/2026,FEBRUARY,WINTER,2026,DISP,15,NA,NA
B,T1-24,2/21/2026,FEBRUARY,WINTER,2026,LICA,20,NA,NA
B,T1-48,2/21/2026,FEBRUARY,WINTER,2026,SAPA,70,36,38
B,T1-48,2/21/2026,FEBRUARY,WINTER,2026,JACA,20,NA,NA
B,T1-48,2/21/2026,FEBRUARY,WINTER,2026,DISP,5,NA,NA
B,T2-0.5,2/21/2026,FEBRUARY,WINTER,2026,JACA,60,26,32
B,T2-0.5,2/21/2026,FEBRUARY,WINTER,2026,SPFO,10,66,75
B,T2-0.5,2/21/2026,FEBRUARY,WINTER,2026,SAPA,40,40,59
B,T2-0.5,2/21/2026,FEBRUARY,WINTER,2026,DISP,10,NA,NA
B,T2-2,2/21/2026,FEBRUARY,WINTER,2026,SAPA,80,35,40
B,T2-2,2/21/2026,FEBRUARY,WINTER,2026,DISP,20,NA,NA
B,T2-2,2/21/2026,FEBRUARY,WINTER,2026,JACA,15,NA,NA
B,T2-6,2/21/2026,FEBRUARY,WINTER,2026,SAPA,80,37,42
B,T2-6,2/21/2026,FEBRUARY,WINTER,2026,DISP,10,NA,NA
B,T2-6,2/21/2026,FEBRUARY,WINTER,2026,JACA,5,NA,NA
B,T2-12,2/21/2026,FEBRUARY,WINTER,2026,SAPA,75,32,35
B,T2-12,2/21/2026,FEBRUARY,WINTER,2026,JACA,10,NA,NA
B,T2-12,2/21/2026,FEBRUARY,WINTER,2026,DISP,25,NA,NA
B,T2-18,2/21/2026,FEBRUARY,WINTER,2026,TRIG,40,16,24
B,T2-18,2/21/2026,FEBRUARY,WINTER,2026,SAPA,20,25,29
B,T2-18,2/21/2026,FEBRUARY,WINTER,2026,DISP,10,NA,NA
B,T2-18,2/21/2026,FEBRUARY,WINTER,2026,JACA,30,NA,NA
B,T2-24,2/21/2026,FEBRUARY,WINTER,2026,SAPA,65,42,55
B,T2-24,2/21/2026,FEBRUARY,WINTER,2026,JACA,25,NA,NA
B,T2-24,2/21/2026,FEBRUARY,WINTER,2026,DISP,20,NA,NA
B,T2-48,2/21/2026,FEBRUARY,WINTER,2026,SAPA,70,38,42
B,T2-48,2/21/2026,FEBRUARY,WINTER,2026,DISP,20,NA,NA
B,T2-48,2/21/2026,FEBRUARY,WINTER,2026,JACA,25,NA,NA
G,T1-0.5,2/20/2026,FEBRUARY,WINTER,2026,DISP,60,15,20.5
G,T1-0.5,2/20/2026,FEBRUARY,WINTER,2026,SAPA,40,26,29
G,T1-0.5,2/20/2026,FEBRUARY,WINTER,2026,DISP,60,15,20.5
